Source Name	Characteristics [stock code]	Characteristics [genetic variation]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [tissue]	Characteristics [genetic background]	Characteristics [time]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [TIME]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM507054 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	10.5 hours after infection	Col-8, 10.5 hai	20% agarose, 110C for 20 min, 10 plants per Petri dish, 25C average, 25C day, 25C night, 100% humidity average, 100% humidity day, 100% humidity night, Murashige & Skoog basal salt mixture.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507054 extract 1	total_RNA	P-GSE20226-5	GSM507054 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507054	A-AFFY-2	P-GSE20226-8	10.5 hours after infection	GSM507054.CEL	GSM507054.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507053 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	10.5 hours after infection	Col-8, 10.5 hai	20% agarose, 110C for 20 min, 10 plants per Petri dish, 25C average, 25C day, 25C night, 100% humidity average, 100% humidity day, 100% humidity night, Murashige & Skoog basal salt mixture.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507053 extract 1	total_RNA	P-GSE20226-5	GSM507053 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507053	A-AFFY-2	P-GSE20226-8	10.5 hours after infection	GSM507053.CEL	GSM507053.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507056 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	30 hours after infection	Col-8, 30 hai	Stratification was performed 2 days at 4C. Seeds were surface sterilised 5 min with sodium hypochlorite (20% commercial bleach; NaOCl, 2.5% active ingredient) and rinsed twice in a 95% ethanol solution.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507056 extract 1	total_RNA	P-GSE20226-5	GSM507056 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507056	A-AFFY-2	P-GSE20226-8	30 hours after infection	GSM507056.CEL	GSM507056.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507049 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	2.5 hours after infection	Col-8, 2.5 hai	20% agarose, 110C for 20 min, 10 plants per Petri dish, 25C average, 25C day, 25C night, 100% humidity average, 100% humidity day, 100% humidity night, Murashige & Skoog basal salt mixture.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507049 extract 1	total_RNA	P-GSE20226-5	GSM507049 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507049	A-AFFY-2	P-GSE20226-8	2.5 hours after infection	GSM507049.CEL	GSM507049.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507052 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	6 hours after infection	Col-8, 6 hai	Stratification was performed 2 days at 4C. Seeds were surface sterilised 5 min with sodium hypochlorite (20% commercial bleach; NaOCl, 2.5% active ingredient) and rinsed twice in a 95% ethanol solution.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507052 extract 1	total_RNA	P-GSE20226-5	GSM507052 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507052	A-AFFY-2	P-GSE20226-8	6 hours after infection	GSM507052.CEL	GSM507052.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507048 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	0 hours after infection	Col-8, control	Stratification was performed 2 days at 4C. Seeds were surface sterilised 5 min with sodium hypochlorite (20% commercial bleach; NaOCl, 2.5% active ingredient) and rinsed twice in a 95% ethanol solution.	P-GSE20226-3	P-GSE20226-2	P-GSE20226-4	GSM507048 extract 1	total_RNA	P-GSE20226-5	GSM507048 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507048	A-AFFY-2	P-GSE20226-8	0 hours after infection	GSM507048.CEL	GSM507048.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507051 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	6 hours after infection	Col-8, 6 hai	20% agarose, 110C for 20 min, 10 plants per Petri dish, 25C average, 25C day, 25C night, 100% humidity average, 100% humidity day, 100% humidity night, Murashige & Skoog basal salt mixture.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507051 extract 1	total_RNA	P-GSE20226-5	GSM507051 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507051	A-AFFY-2	P-GSE20226-8	6 hours after infection	GSM507051.CEL	GSM507051.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507047 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	0 hours after infection	Col-8, control	Stratification was performed 2 days at 4C. Seeds were surface sterilised 5 min with sodium hypochlorite (20% commercial bleach; NaOCl, 2.5% active ingredient) and rinsed twice in a 95% ethanol solution.	P-GSE20226-3	P-GSE20226-2	P-GSE20226-4	GSM507047 extract 1	total_RNA	P-GSE20226-5	GSM507047 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507047	A-AFFY-2	P-GSE20226-8	0 hours after infection	GSM507047.CEL	GSM507047.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507055 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	30 hours after infection	Col-8, 30 hai	Stratification was performed 2 days at 4C. Seeds were surface sterilised 5 min with sodium hypochlorite (20% commercial bleach; NaOCl, 2.5% active ingredient) and rinsed twice in a 95% ethanol solution.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507055 extract 1	total_RNA	P-GSE20226-5	GSM507055 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507055	A-AFFY-2	P-GSE20226-8	30 hours after infection	GSM507055.CEL	GSM507055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
GSM507050 1	CS60000	ecotype	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	roots	Col-0 (Columbia)	2.5 hours after infection	Col-8, 2.5 hai	20% agarose, 110C for 20 min, 10 plants per Petri dish, 25C average, 25C day, 25C night, 100% humidity average, 100% humidity day, 100% humidity night, Murashige & Skoog basal salt mixture.	P-GSE20226-3	P-GSE20226-9	P-GSE20226-4	GSM507050 extract 1	total_RNA	P-GSE20226-5	GSM507050 LE 1	biotin	unknown	P-GSE20226-6	P-GSE20226-7	GSM507050	A-AFFY-2	P-GSE20226-8	2.5 hours after infection	GSM507050.CEL	GSM507050.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.raw.1.zip	P-GSE20226-1	E-GEOD-20226-processed-data-2481662769.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20226/E-GEOD-20226.processed.1.zip
