Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT]	Factor Value [GENOTYPE]
GSE911GSM13791	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13791 sample	GSE911GSM13791 extract	total_RNA	GSE911GSM13791 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Landsberg erecta	A-AFFY-2	P-AFFY-6	Landsberg erecta	GSM13791.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	none	wild_type
GSE911GSM13783	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13783 sample	GSE911GSM13783 extract	total_RNA	GSE911GSM13783 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dexamethasone plus cycloheximide - replicate	A-AFFY-2	P-AFFY-6	Dexamethasone plus cycloheximide - replicate	GSM13783.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	dexamethasone and cycloheximide	LEAFY-GR
GSE911GSM13784	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13784 sample	GSE911GSM13784 extract	total_RNA	GSE911GSM13784 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Cycloheximide - replicate	A-AFFY-2	P-AFFY-6	Cycloheximide - replicate	GSM13784.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	cycloheximide	LEAFY-GR
GSE911GSM13789	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::LFY	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13789 sample	GSE911GSM13789 extract	total_RNA	GSE911GSM13789 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S::LFY	A-AFFY-2	P-AFFY-6	35S::LFY	GSM13789.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	none	35S::LFY
GSE911GSM13793	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13793 sample	GSE911GSM13793 extract	total_RNA	GSE911GSM13793 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Landsberg erecta - replicate	A-AFFY-2	P-AFFY-6	Landsberg erecta - replicate	GSM13793.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	none	wild_type
GSE911GSM13778	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13778 sample	GSE911GSM13778 extract	total_RNA	GSE911GSM13778 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dexamethasone	A-AFFY-2	P-AFFY-6	Dexamethasone	GSM13778.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	dexamethasone	LEAFY-GR
GSE911GSM13792	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	35S::LFY	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13792 sample	GSE911GSM13792 extract	total_RNA	GSE911GSM13792 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	35S::LFY - replicate	A-AFFY-2	P-AFFY-6	35S::LFY - replicate	GSM13792.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	none	35S::LFY
GSE911GSM13780	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13780 sample	GSE911GSM13780 extract	total_RNA	GSE911GSM13780 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Cycloheximide	A-AFFY-2	P-AFFY-6	Cycloheximide	GSM13780.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	cycloheximide	LEAFY-GR
GSE911GSM13781	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13781 sample	GSE911GSM13781 extract	total_RNA	GSE911GSM13781 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Mock	A-AFFY-2	P-AFFY-6	Mock	GSM13781.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	none	LEAFY-GR
GSE911GSM13779	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	LEAFY-GR	seedling	EFO	EFO_0001992	Landsberg erecta	GSE911GSM13779 sample	GSE911GSM13779 extract	total_RNA	GSE911GSM13779 LE.biotin	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Dexamethasone plus cycloheximide	A-AFFY-2	P-AFFY-6	Dexamethasone plus cycloheximide	GSM13779.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.raw.1.zip	E-GEOD-911-processed-data-1446552030.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-911/E-GEOD-911.processed.1.zip	dexamethasone and cycloheximide	LEAFY-GR
