Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics[age]	Unit[time unit]	Characteristics [genotype]	Characteristics [organism part]	Protocol REF	Parameter Value [Location]	Parameter Value [Growth protocol]	Parameter Value [medium]	Parameter Value [growth substrate type]	Parameter Value [sterilisation]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [compound]	Factor Value[dose]	Unit[concentration unit]
Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.26.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	control	  	        
Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.29.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	control	  	        
Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.23.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	control	  	        
Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.7.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1	Sakakibara_1-5_TZ-treatment-mutant_Rep2_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	trans-zeatin	20	micromolar
Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.10.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1	Sakakibara_1-6_TZ-treatment-mutant_Rep3_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	trans-zeatin	20	micromolar
Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	arr10 arr12 double mutant	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.3.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	arr10 arr12 double mutant	trans-zeatin	20	micromolar
Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	wild type	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.13.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	wild type	control	  	        
Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	wild type	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.20.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	wild type	control	  	        
Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	wild type	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.17.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	wild type	control	  	        
Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	2	week	wild type	aerial part	P-TABM-beatrice1.75	Growth chamber	Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks.	Murashige and Skoog basal salt mixture	Agar	Sterilized by treatment with bleach.	P-TABM-beatrice2	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	NASC:ExtractProtocol:3	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-75.35.Hybridization	A-AFFY-2	P-AFFY-6	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-75-processed-data-1359103945.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-75/E-NASC-75.processed.1.zip	wild type	trans-zeatin	20	micromolar
