Comment[ArrayExpressAccession]	E-GEOD-29699							
Public Release Date	2011-06-03							
Investigation Title	Effect of gibberellins on metabolism during rosette growth in Arabidopsis							
Comment[Submitted Name]	Effect of gibberellins on metabolism during rosette growth in Arabidopsis							
Experiment Description	To understand the effect of high and low GA levels on plant metabolism and development in Arabidopsis we made use of the GA biosynthesis inhibitor paclobutrazol (PBZ) and  exogenously applied GA. The whole genome response at the translation level was assessed by immunopurification of polysomes from PBZ- and GA treated plants expressing FLAG-tagged ribosomal protein L18 (RPL18B). Polysomal associated RNA was isolated and subjected to affymterix ATH1 CHIP analysis. A total of 140 genes were statistically determined to be differentially translated after GA treatment whereas 89 genes where affected PBZ treatment. Our analysis revealed that GA and PBZ have opposing effects on the expression of cell wall and wax layer biosynthesis related genes. In addition, many genes involved in secondary metabolism are upregulated upon PBZ treatment. A set of SAUR-like genes important for mediating auxin responses are downregulated by PBZ, which is of interest to coordinatian of GA levels with growth and development. Interestingly, GA treatment induces the upregulation of  transcription factors related to plant defense and senescence, which is in agreement with the early flowering upon GA treatment. Our study provides a first picture of the response of Arabidopsis to altered GA levels at the translation level, and thus will be valuable for understanding gene regulation at the polysome level. Two replicates for each treatment including GA, PBZ and control samples.							
Date of Experiment								
Term Source Name	EFO							
Term Source Version								
Term Source File	http://bar.ebi.ac.uk:8080/trac/browser/branches/curator/ExperimentalFactorOntology/ExFactorInOWL/currentrelease/eforelease/efo.owl							
Person Last Name	Schippers	Ribeiro	Schippers	Mueller-Roeber				
Person First Name	Jos	Dimas	Jozefus	Bernd				
Person Mid Initials		M	H					
Person Email	schippers@mpimp-golm.mpg.de							
Person Affiliation	MPIMP-golm							
Person Phone								
Person Fax								
Person Address	Plant Signaling, MPIMP-golm, Am Muehlenberg 1, Potsdam, Germany							
Person Roles	submitter							
Person Roles Term Source REF								
Person Roles Term Accession Number								
Normalization Type								
Normalization Term Accession Number								
Normalization Term Source REF								
Replicate Type								
Replicate Term Accession Number								
Replicate Term Source REF								
Experimental Design								
Experimental Design Term Accession Number								
Experimental Design Term Source REF								
Quality Control Type								
Quality Control Term Accession Number								
Quality Control Term Source REF								
Protocol Name	P-GSE29699-1	P-GSE29699-6	P-GSE29699-3	P-GSE29699-8	P-GSE29699-7	P-GSE29699-2	P-GSE29699-4	P-GSE29699-5
