Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Characteristics[age]	Unit[time unit]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	FactorValue[age]	Unit[time unit]
dms4-1_1	Arabidopsis thaliana	Col-0	dms4 mutant	seedling	21	day	P-MTAB-4694	P-MTAB-4696	dms4-1_1	total RNA	P-AFFY-2	ArrayExpress	dms4-1_1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	dms4-1_1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	dms41_1_310108.CEL	dms41_1_310108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	dms4 mutant	21	day
dms4-1_2	Arabidopsis thaliana	Col-0	dms4 mutant	seedling	21	day	P-MTAB-4694	P-MTAB-4696	dms4-1_2	total RNA	P-AFFY-2	ArrayExpress	dms4-1_2	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	dms4-1_2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	dms41_2_310108.CEL	dms41_2_310108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	dms4 mutant	21	day
dms4-1_3	Arabidopsis thaliana	Col-0	dms4 mutant	seedling	21	day	P-MTAB-4694	P-MTAB-4696	dms4-1_3	total RNA	P-AFFY-2	ArrayExpress	dms4-1_3	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	dms4-1_3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	dms41_3_310108.CEL	dms41_3_310108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	dms4 mutant	21	day
drd1-1_1	Arabidopsis thaliana	Col-0	drd1-1 mutant	seedling	10	day	P-MTAB-4694	P-MTAB-4695	drd1-1_1	total RNA	P-AFFY-2	ArrayExpress	drd1-1_1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	drd1-1_1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH080906_DRD11.CEL	BH080906_DRD11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	drd1-1 mutant	10	day
drd1-1_2	Arabidopsis thaliana	Col-0	drd1-1 mutant	seedling	10	day	P-MTAB-4694	P-MTAB-4695	drd1-1_2	total RNA	P-AFFY-2	ArrayExpress	drd1-1_2	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	drd1-1_2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH080906_DRD12.CEL	BH080906_DRD12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	drd1-1 mutant	10	day
drd1-6_1	Arabidopsis thaliana	Col-0	drd1-6 mutant	seedling	10	day	P-MTAB-4694	P-MTAB-4695	drd1-6_1	total RNA	P-AFFY-2	ArrayExpress	drd1-6_1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	drd1-6_1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH270906_DRD16_1.CEL	BH270906_DRD16_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	drd1-6 mutant	10	day
drd1-6_2	Arabidopsis thaliana	Col-0	drd1-6 mutant	seedling	10	day	P-MTAB-4694	P-MTAB-4695	drd1-6_2	total RNA	P-AFFY-2	ArrayExpress	drd1-6_2	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	drd1-6_2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH270906_DRD16_2.CEL	BH270906_DRD16_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	drd1-6 mutant	10	day
DT_1	Arabidopsis thaliana	Col-0	DT wild type 	seedling	10	day	P-MTAB-4694	P-MTAB-4695	DT_1	total RNA	P-AFFY-2	ArrayExpress	DT_1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	DT_1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH080906_DT1.CEL	BH080906_DT1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	DT wild type genotype	10	day
DT_2	Arabidopsis thaliana	Col-0	DT wild type 	seedling	10	day	P-MTAB-4694	P-MTAB-4695	DT_2	total RNA	P-AFFY-2	ArrayExpress	DT_2	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	DT_2	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH080906_DT3.CEL	BH080906_DT3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	DT wild type genotype	10	day
DT_4	Arabidopsis thaliana	Col-0	DT wild type 	seedling	10	day	P-MTAB-4694	P-MTAB-4695	DT_4	total RNA	P-AFFY-2	ArrayExpress	DT_4	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	DT_4	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH140907_DT1.CEL	BH140907_DT1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	DT wild type genotype	10	day
DT_3	Arabidopsis thaliana	Col-0	DT wild type 	seedling	10	day	P-MTAB-4694	P-MTAB-4695	DT_3	total RNA	P-AFFY-2	ArrayExpress	DT_3	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	DT_3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	BH140907_DT2.CEL	BH140907_DT2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	DT wild type genotype	10	day
EDT_3	Arabidopsis thaliana	Col-0	EDT wild type 	seedling	21	day	P-MTAB-4694	P-MTAB-4696	EDT_3	total RNA	P-AFFY-2	ArrayExpress	EDT_3	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	EDT_3	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	EDT_3_310108.CEL	EDT_3_310108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	EDT wild type genotype	21	day
EDT_1	Arabidopsis thaliana	Col-0	EDT wild type 	seedling	21	day	P-MTAB-4694	P-MTAB-4696	EDT_1	total RNA	P-AFFY-2	ArrayExpress	EDT_1	biotin	synthetic RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	EDT_1	array assay	A-AFFY-2	P-AFFY-6	ArrayExpress	EDT_1_310108.CEL	EDT_1_310108.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	E-MEXP-2251-processed-data-1770762742.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2251/E-MEXP-2251.processed.1.zip	EDT wild type genotype	21	day
