Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[age]	Unit[time unit]	FactorValue[growth condition]
GSE6176GSM142840	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	2	hour	A-1-Torres-MgCl2_2hr_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.35 Background Stdev (float) = 2.23 Background Max (float) = 91.6 Background Min (float) = 80.5 Noise Avg (float) = 4.55 Noise Stdev (float) = 0.23 Noise Max (float) = 5.4 Noise Min (float) = 3.9 RawQ (float) = 3.15 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 179 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A1-Torres-1N1.DAT. OrganismPart: Whole leaf; Age time point: 2 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-1	P-G6176-7	GSE6176GSM142840 sample	P-G6176-4	GSE6176GSM142840 extract	total_RNA	P-G6176-3	GSE6176GSM142840 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A1-Torres-1N1	A-AFFY-2	P-AFFY-6	MG001_ATH1_A1-Torres-1N1	GSM142840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	2	hour	control
GSE6176GSM142849	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	2	hour	A-2-Torres-MgCl2_2hr_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 71.13 Background Stdev (float) = 1.05 Background Max (float) = 75.2 Background Min (float) = 68.7 Noise Avg (float) = 3.91 Noise Stdev (float) = 0.20 Noise Max (float) = 4.3 Noise Min (float) = 3.5 RawQ (float) = 2.86 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 218 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A2-Torres-1N3.DAT. OrganismPart: Whole leaf; Age time point: 2 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-1	P-G6176-7	GSE6176GSM142849 sample	P-G6176-4	GSE6176GSM142849 extract	total_RNA	P-G6176-3	GSE6176GSM142849 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A2-Torres-1N3	A-AFFY-2	P-AFFY-6	MG001_ATH1_A2-Torres-1N3	GSM142849.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	2	hour	control
GSE6176GSM142850	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	2	hour	A-3-Torres-MgCl2_2hr_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.23 Background Stdev (float) = 2.09 Background Max (float) = 102.2 Background Min (float) = 91.6 Noise Avg (float) = 6.60 Noise Stdev (float) = 0.34 Noise Max (float) = 7.4 Noise Min (float) = 5.5 RawQ (float) = 3.90 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 268 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A3-Torres-1N6.DAT. OrganismPart: Whole leaf; Age time point: 2 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-1	P-G6176-7	GSE6176GSM142850 sample	P-G6176-4	GSE6176GSM142850 extract	total_RNA	P-G6176-3	GSE6176GSM142850 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A3-Torres-1N6	A-AFFY-2	P-AFFY-6	MG001_ATH1_A3-Torres-1N6	GSM142850.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	2	hour	control
GSE6176GSM142855	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	4	hour	A-8-Torres-MgCl2_4hr_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.26 Background Stdev (float) = 1.36 Background Max (float) = 88.6 Background Min (float) = 80.6 Noise Avg (float) = 5.45 Noise Stdev (float) = 1.36 Noise Max (float) = 13.6 Noise Min (float) = 4.4 RawQ (float) = 3.28 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 219 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A8-Torres-3N3.DAT. OrganismPart: Whole leaf; Age time point: 4 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-6	P-G6176-7	GSE6176GSM142855 sample	P-G6176-4	GSE6176GSM142855 extract	total_RNA	P-G6176-3	GSE6176GSM142855 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A8-Torres-3N3	A-AFFY-2	P-AFFY-6	MG001_ATH1_A8-Torres-3N3	GSM142855.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	4	hour	control
GSE6176GSM142854	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	4	hour	A-7-Torres-MgCl2_4hr_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 92.73 Background Stdev (float) = 1.47 Background Max (float) = 96.1 Background Min (float) = 89.3 Noise Avg (float) = 4.68 Noise Stdev (float) = 0.17 Noise Max (float) = 5.2 Noise Min (float) = 4.2 RawQ (float) = 3.49 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 208 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A7-Torres-3N1.DAT. OrganismPart: Whole leaf; Age time point: 4 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-6	P-G6176-7	GSE6176GSM142854 sample	P-G6176-4	GSE6176GSM142854 extract	total_RNA	P-G6176-3	GSE6176GSM142854 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A7-Torres-3N1	A-AFFY-2	P-AFFY-6	MG001_ATH1_A7-Torres-3N1	GSM142854.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	4	hour	control
GSE6176GSM142832	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	4	hour	A-9-Torres-MgCl2_4hr_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 97.84 Background Stdev (float) = 2.34 Background Max (float) = 108.0 Background Min (float) = 93.3 Noise Avg (float) = 5.68 Noise Stdev (float) = 0.49 Noise Max (float) = 7.6 Noise Min (float) = 4.6 RawQ (float) = 3.81 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 179 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GM001_ATH1_A9-Torres-3N6_repeat2.DAT. OrganismPart: Whole leaf; Age time point: 4 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-6	P-G6176-7	GSE6176GSM142832 sample	P-G6176-4	GSE6176GSM142832 extract	total_RNA	P-G6176-3	GSE6176GSM142832 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GM001_ATH1_A9-Torres-3N6_repeat2	A-AFFY-2	P-AFFY-6	GM001_ATH1_A9-Torres-3N6_repeat2	GSM142832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	4	hour	control
GSE6176GSM142843	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	12	hour	A-24-Torres-MgCl2_12hr_Rep3:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.95 Background Stdev (float) = 2.19 Background Max (float) = 94.2 Background Min (float) = 80.3 Noise Avg (float) = 5.60 Noise Stdev (float) = 0.31 Noise Max (float) = 6.8 Noise Min (float) = 4.9 RawQ (float) = 3.49 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 319 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A24-Torres-7N6.DAT. OrganismPart: Whole leaf; Age time point: 12 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-6	P-G6176-8	GSE6176GSM142843 sample	P-G6176-4	GSE6176GSM142843 extract	total_RNA	P-G6176-3	GSE6176GSM142843 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A24-Torres-7N6	A-AFFY-2	P-AFFY-6	MG001_ATH1_A24-Torres-7N6	GSM142843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	12	hour	control
GSE6176GSM142842	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	12	hour	A-23-Torres-MgCl2_12hr_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 81.99 Background Stdev (float) = 1.92 Background Max (float) = 89.1 Background Min (float) = 78.7 Noise Avg (float) = 5.39 Noise Stdev (float) = 0.31 Noise Max (float) = 6.6 Noise Min (float) = 4.5 RawQ (float) = 3.43 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 367 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A23-Torres-7N3.DAT. OrganismPart: Whole leaf; Age time point: 12 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-6	P-G6176-8	GSE6176GSM142842 sample	P-G6176-4	GSE6176GSM142842 extract	total_RNA	P-G6176-3	GSE6176GSM142842 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A23-Torres-7N3	A-AFFY-2	P-AFFY-6	MG001_ATH1_A23-Torres-7N3	GSM142842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	12	hour	control
GSE6176GSM142841	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	12	hour	A-22-Torres-MgCl2_12hr_Rep1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 106.86 Background Stdev (float) = 2.99 Background Max (float) = 117.4 Background Min (float) = 101.9 Noise Avg (float) = 7.04 Noise Stdev (float) = 0.37 Noise Max (float) = 8.4 Noise Min (float) = 6.4 RawQ (float) = 4.16 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 218 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MG001_ATH1_A22-Torres-7N1.DAT. OrganismPart: Whole leaf; Age time point: 12 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-1	P-G6176-8	GSE6176GSM142841 sample	P-G6176-4	GSE6176GSM142841 extract	total_RNA	P-G6176-3	GSE6176GSM142841 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MG001_ATH1_A22-Torres-7N1	A-AFFY-2	P-AFFY-6	MG001_ATH1_A22-Torres-7N1	GSM142841.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	12	hour	control
GSE6176GSM142830	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-5	leaf	3.9	4	hour	A-14-Torres-DC3000_4hr_Rep2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 137.43 Background Stdev (float) = 5.19 Background Max (float) = 150.6 Background Min (float) = 128.0 Noise Avg (float) = 10.22 Noise Stdev (float) = 0.59 Noise Max (float) = 11.7 Noise Min (float) = 8.3 RawQ (float) = 4.68 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 302 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GM001_ATH1_A14-Torres-4N3_repeat2.DAT. OrganismPart: Whole leaf; Age time point: 4 hours; Ecotype: col-5; NASC:Growth Stage: 3.90; NASC:StockCode: N1688	P-G6176-1	P-G6176-5	GSE6176GSM142830 sample	P-G6176-4	GSE6176GSM142830 extract	total_RNA	P-G6176-3	GSE6176GSM142830 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GM001_ATH1_A14-Torres-4N3_repeat2	A-AFFY-2	P-AFFY-6	GM001_ATH1_A14-Torres-4N3_repeat2	GSM142830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.raw.1.zip	E-GEOD-6176-processed-data-1628867423.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6176/E-GEOD-6176.processed.1.zip	4	hour	Pseudomonas syringae DC3000
