Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [antibody]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ANTIBODY]	FactorValue [GENOTYPE]
GSM995519 1	gtl1-1 mutant trichome, biological replicate 3	gtl1-1 mutant trichome	gtl1-3	  	gtl1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995519 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995519 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995519	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995519_SU029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995519_sample_table.txt norm	GSM995519_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	gtl1-1 mutant
GSM995518 1	gtl1-1 mutant trichome, biological replicate 2	gtl1-1 mutant trichome	gtl1-2	  	gtl1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995518 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995518 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995518	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995518_SU028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995518_sample_table.txt norm	GSM995518_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	gtl1-1 mutant
GSM995517 1	gtl1-1 mutant trichome, biological replicate 1	gtl1-1 mutant trichome	gtl1-1	  	gtl1-1 mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995517 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995517 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995517	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995517_SU027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995517_sample_table.txt norm	GSM995517_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	gtl1-1 mutant
GSM995516 1	Wild type trichome, biological replicate 3	Wild type trichome	WT-3	  	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995516 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995516 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995516	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995516_SU026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995516_sample_table.txt norm	GSM995516_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	wild-type
GSM995515 1	Wild type trichome, biological replicate 2	Wild type trichome	WT-2	  	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995515 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995515 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995515	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995515_SU025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995515_sample_table.txt norm	GSM995515_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	wild-type
GSM995514 1	Wild type trichome, biological replicate 1	Wild type trichome	WT-1	  	wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	trichome	P-GSE40520-3	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-4	ArrayExpress	GSM995514 extract 1	total RNA	P-GSE40520-5	ArrayExpress	GSM995514 LE 1	biotin	P-GSE40520-6	ArrayExpress	GSM995514	A-AFFY-2	ArrayExpress	array assay	P-GSE40520-7	ArrayExpress	GSM995514_SU024.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	P-GSE40520-1	ArrayExpress	GSM995514_sample_table.txt norm	GSM995514_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.processed.1.zip	not specified	wild-type
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.At35b_MF_v04_2_Jan2004.NR.bpmap_matscore.bar.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.At35b_MF_v04_2_Jan2004.NR.bpmap_matscore.bar	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_I_2_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
