Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit[time unit]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]
GSM807195 1	Gene expression data from leaves (WT) grown in presence of Na2S	Leaves of 30 days-old plants (WT) in presence of Na2S	leaves WT Na2S rep3	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807195 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807195 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807195	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807195_Wt-SH-3_64.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807195_sample_table.txt norm	GSM807195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	sodium sulfide
GSM807194 1	Gene expression data from leaves (WT) grown in presence of Na2S	Leaves of 30 days-old plants (WT) in presence of Na2S	leaves WT Na2S rep2	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807194 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807194 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807194	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807194_Wt-SH-2_63.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807194_sample_table.txt norm	GSM807194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	sodium sulfide
GSM807193 1	Gene expression data from leaves (WT) grown in presence of Na2S	Leaves of 30 days-old plants (WT) in presence of Na2S	leaves WT Na2S rep1	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807193 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807193 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807193	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807193_Wt-SH-1_62.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807193_sample_table.txt norm	GSM807193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	sodium sulfide
GSM807192 1	Gene expression data from leaves (WT)	Leaves of 30 days-old plants (WT)	leaves WT water rep3	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807192 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807192 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807192	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807192_Wt-3_58.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807192_sample_table.txt norm	GSM807192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	water
GSM807191 1	Gene expression data from leaves (WT)	Leaves of 30 days-old plants (WT)	leaves WT water rep2	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807191 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807191 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807191	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807191_Wt-2_57.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807191_sample_table.txt norm	GSM807191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	water
GSM807190 1	Gene expression data from leaves (WT)	Leaves of 30 days-old plants (WT)	leaves WT water rep1	30 d	day	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807190 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807190 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807190	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807190_Wt-1_56.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807190_sample_table.txt norm	GSM807190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	wild type	water
GSM807189 1	Gene expression data from leaves (des1) grown in presence of Na2S	Leaves of 30 days-old plants (des1) in presence of Na2S	leaves des1 Na2S rep3	30 d	day	Col-0	des1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807189 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807189 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807189	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807189_Des1-SH-3_67.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807189_sample_table.txt norm	GSM807189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	des1	sodium sulfide
GSM807188 1	Gene expression data from leaves (des1) grown in presence of Na2S	Leaves of 30 days-old plants (des1) in presence of Na2S	leaves des1 Na2S rep2	30 d	day	Col-0	des1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807188 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807188 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807188	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807188_Des1-SH-2_66.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807188_sample_table.txt norm	GSM807188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	des1	sodium sulfide
GSM807187 1	Gene expression data from leaves (des1) grown in presence of Na2S	Leaves of 30 days-old plants (des1) in presence of Na2S	leaves des1 Na2S rep1	30 d	day	Col-0	des1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807187 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807187 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807187	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807187_Des1-SH-1_65.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807187_sample_table.txt norm	GSM807187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	des1	sodium sulfide
GSM807186 1	Gene expression data from leaves (des1)	Leaves of 30 days-old plants (des1)	leaves des1 water rep3	30 d	day	Col-0	des1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE32566-2	ArrayExpress	P-GSE32566-3	ArrayExpress	P-GSE32566-4	ArrayExpress	GSM807186 extract 1	total RNA	P-GSE32566-5	ArrayExpress	GSM807186 LE 1	biotin	P-GSE32566-6	ArrayExpress	GSM807186	A-AFFY-2	ArrayExpress	array assay	P-GSE32566-7	ArrayExpress	GSM807186_Des1-3_61.10_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.raw.1.zip	P-GSE32566-1	ArrayExpress	GSM807186_sample_table.txt norm	GSM807186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-32566/E-GEOD-32566.processed.1.zip	des1	water
