Source Name	Characteristics [organism]	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics [genotype]	Comment [seed stock id]	Provider	Protocol REF	Parameter Value [night humidity]	Parameter Value [light hours]	Unit [time unit]	Parameter Value [light intensity]	Parameter Value [light source]	Parameter Value [day temperature]	Unit [temperature unit]	Parameter Value [day humidity]	Parameter Value [media]	Parameter Value [night temperature]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [organism part]
gl3 TRICHOMES1	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	gl3-3	GABI-Kat_545D05	GABI-Kat	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	gl3 TRICHOMES1	P-CAGE-26662	RNA polymerases	total RNA	E_gl3 TRICHOMES1	total_RNA	P-AFFY-2	L_gl3 TRICHOMES1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_gl3 TRICHOMES1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_gl3 TRICHOMES1	MPIZF_MJ_GL3_ATH1_190704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	gl3-3	trichome
gl3 TRICHOMES3	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	gl3-3	GABI-Kat_545D05	GABI-Kat	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	gl3 TRICHOMES3	P-CAGE-26662	RNA polymerases	total RNA	E_gl3 TRICHOMES3	total_RNA	P-AFFY-2	L_gl3 TRICHOMES3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_gl3 TRICHOMES3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_gl3 TRICHOMES3	MPIZF_MJ_Nr4_GL3_030506_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	gl3-3	trichome
gl3 TRICHOMES2	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	gl3-3	GABI-Kat_545D05	GABI-Kat	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	gl3 TRICHOMES2	P-CAGE-26662	RNA polymerases	total RNA	E_gl3 TRICHOMES2	total_RNA	P-AFFY-2	L_gl3 TRICHOMES2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_gl3 TRICHOMES2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_gl3 TRICHOMES2	MPIZF_MJ_Gl3L_11072005_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	gl3-3	trichome
try TRICHOMES2	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	try-JC	John Larkin Lab_try-JC	John Larkin Lab	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	try TRICHOMES2	P-CAGE-26662	RNA polymerases	total RNA	E_try TRICHOMES2	total_RNA	P-AFFY-2	L_try TRICHOMES2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_try TRICHOMES2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_try TRICHOMES2	MPIZF_MJ_Nr2_Try2_030306_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	try-JC	trichome
try TRICHOMES1	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	try-JC	John Larkin Lab_try-JC	John Larkin Lab	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	try TRICHOMES1	P-CAGE-26662	RNA polymerases	total RNA	E_try TRICHOMES1	total_RNA	P-AFFY-2	L_try TRICHOMES1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_try TRICHOMES1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_try TRICHOMES1	MPIZF_MJ_Nr2_TRY1_030506_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	try-JC	trichome
try TRICHOMES3	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	try-JC	John Larkin Lab_try-JC	John Larkin Lab	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	try TRICHOMES3	P-CAGE-26662	RNA polymerases	total RNA	E_try TRICHOMES3	total_RNA	P-AFFY-2	L_try TRICHOMES3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_try TRICHOMES3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_try TRICHOMES3	MPIZF_MJ_Nr3_TRY2_030506_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	try-JC	trichome
Leafs without TRICHOMES3	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	Leafs without TRICHOMES3	P-CAGE-26666	none	total RNA	E_Leafs without TRICHOMES3	total_RNA	P-AFFY-2	L_Leafs without TRICHOMES3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Leafs without TRICHOMES3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Leafs without TRICHOMES3	MPIZF_MJ_Nr5_Bot3_030306_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	leaf without trichomes
TRICHOME2	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	TRICHOME2	P-CAGE-26662	RNA polymerases	total RNA	E_TRICHOME2	total_RNA	P-AFFY-2	L_TRICHOME2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_TRICHOME2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_TRICHOME2	MPIZF_MJ_Col-0_ATH1_190704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	trichome
TRICHOME1	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	TRICHOME1	P-CAGE-26662	RNA polymerases	total RNA	E_TRICHOME1	total_RNA	P-AFFY-2	L_TRICHOME1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_TRICHOME1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_TRICHOME1	MPIZF_MJ_Col-0-200__ATH1_190704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	trichome
Leafs without TRICHOMES1	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	Leafs without TRICHOMES1	P-CAGE-26666	none	total RNA	E_Leafs without TRICHOMES1	total_RNA	P-AFFY-2	L_Leafs without TRICHOMES1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Leafs without TRICHOMES1	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Leafs without TRICHOMES1	MPIZF_MJ_Nr4_Bot2_030306_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	leaf without trichomes
TRICHOME3	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	TRICHOME3	P-CAGE-26662	RNA polymerases	total RNA	E_TRICHOME3	total_RNA	P-AFFY-2	L_TRICHOME3	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_TRICHOME3	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_TRICHOME3	MPIZF_MJ_Nr1_COL_030506_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	trichome
Leafs without TRICHOMES2	Arabidopsis thaliana	1.01 Boyes key	Columbia-0	wild type	CS60000	ABRC	P-CAGE-26661	50	10	hour	100	533	23	degree celsius	50	542	pcr products	Leafs without TRICHOMES2	P-CAGE-26666	none	total RNA	E_Leafs without TRICHOMES2	total_RNA	P-AFFY-2	L_Leafs without TRICHOMES2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_Leafs without TRICHOMES2	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Leafs without TRICHOMES2	MPIZF_MJ_Nr5_BOT_030506_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.raw.1.zip	P-CAGE-26665	normailzed_trichome_data._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-33/E-ATMX-33.processed.1.zip	wild type	leaf without trichomes
