Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [age]	Unit [time unit]	Characteristics[developmental stage]	Characteristics [organism part]	Characteristics [genotype]	Characteristics [RNA interference]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue[dose]	Unit [concentration unit]
GSM989204 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings with 2 hours glucose treatment, replicate 3	Arabidopsis seedlings	tor mutant with glucose treatment, biological rep3	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989204 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989204 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989204	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989204_tor_glc_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989204_sample_table.txt norm	GSM989204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	glucose	15	micromolar
GSM989203 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings with 2 hours glucose treatment, replicate 2	Arabidopsis seedlings	tor mutant with glucose treatment, biological rep2	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989203 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989203 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989203	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989203_tor_glc_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989203_sample_table.txt norm	GSM989203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	glucose	15	micromolar
GSM989202 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings with 2 hours glucose treatment, replicate 1	Arabidopsis seedlings	tor mutant with glucose treatment, biological rep1	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989202 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989202 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989202	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989202_tor_glc_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989202_sample_table.txt norm	GSM989202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	glucose	15	micromolar
GSM989201 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings without treatment, replicate 3	Arabidopsis seedlings	tor mutant without treatment, biological rep3	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989201 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989201 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989201	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989201_tor_ctr_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989201_sample_table.txt norm	GSM989201_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	none	0	micromolar
GSM989200 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings without treatment, replicate 2	Arabidopsis seedlings	tor mutant without treatment, biological rep2	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989200 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989200 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989200	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989200_tor_ctr_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989200_sample_table.txt norm	GSM989200_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	none	0	micromolar
GSM989199 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	tor mutant	tor RNAi	Gene expression data from Arabidopsis tor seedlings without treatment, replicate 1	Arabidopsis seedlings	tor mutant without treatment, biological rep1	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989199 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989199 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989199	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989199_tor_ctr_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989199_sample_table.txt norm	GSM989199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	tor mutant	none	0	micromolar
GSM989198 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings with 2 hours glucose treatment, replicate 3	Arabidopsis seedlings	wild type (Col) glucose treatment, biological rep3	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989198 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989198 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989198	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989198_wt_glc_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989198_sample_table.txt norm	GSM989198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	glucose	15	micromolar
GSM989197 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings with 2 hours glucose treatment, replicate 2	Arabidopsis seedlings	wild type (Col) glucose treatment, biological rep2	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989197 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989197 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989197	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989197_wt_glc_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989197_sample_table.txt norm	GSM989197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	glucose	15	micromolar
GSM989196 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings with 2 hours glucose treatment, replicate 1	Arabidopsis seedlings	wild type (Col) glucose treatment, biological rep1	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989196 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989196 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989196	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989196_wt_glc_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989196_sample_table.txt norm	GSM989196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	glucose	15	micromolar
GSM989195 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings without treatment, replicate 3	Arabidopsis seedlings	wild type (Col) without treatment, biological rep3	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989195 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989195 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989195	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989195_wt_ctr_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989195_sample_table.txt norm	GSM989195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	none	0	micromolar
GSM989194 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings without treatment, replicate 2	Arabidopsis seedlings	wild type (Col) without treatment, biological rep2	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989194 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989194 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989194	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989194_wt_ctr_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989194_sample_table.txt norm	GSM989194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	none	0	micromolar
GSM989193 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	3	day	seedling	whole organism	wild type	none	Gene expression data from Arabidopsis WT seedlings without treatment, replicate 1	Arabidopsis seedlings	wild type (Col) without treatment, biological rep1	P-GSE40245-2	ArrayExpress	P-GSE40245-3	ArrayExpress	P-GSE40245-4	ArrayExpress	GSM989193 extract 1	total RNA	P-GSE40245-5	ArrayExpress	GSM989193 LE 1	biotin	P-GSE40245-6	ArrayExpress	GSM989193	A-AFFY-2	ArrayExpress	array assay	P-GSE40245-7	ArrayExpress	GSM989193_wt_ctr_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.raw.1.zip	P-GSE40245-1	ArrayExpress	GSM989193_sample_table.txt norm	GSM989193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40245/E-GEOD-40245.processed.1.zip	wild type	none	0	micromolar
