Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE11708GSM297386	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297386 sample	P-G11708-2	GSE11708GSM297386 extract	total_RNA	P-G11708-1	GSE11708GSM297386 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R2D8	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R2D8	GSM297386.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	16	hours	ss3 mutant
GSE11708GSM297381	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297381 sample	P-G11708-2	GSE11708GSM297381 extract	total_RNA	P-G11708-1	GSE11708GSM297381 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R1D8	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R1D8	GSM297381.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	16	hours	ss3 mutant
GSE11708GSM297383	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297383 sample	P-G11708-2	GSE11708GSM297383 extract	total_RNA	P-G11708-1	GSE11708GSM297383 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R1L4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R1L4	GSM297383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	4	hours	ss3 mutant
GSE11708GSM297395	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297395 sample	P-G11708-2	GSE11708GSM297395 extract	total_RNA	P-G11708-1	GSE11708GSM297395 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR2D4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR2D4	GSM297395.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	12	hours	wild_type
GSE11708GSM297392	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297392 sample	P-G11708-2	GSE11708GSM297392 extract	total_RNA	P-G11708-1	GSE11708GSM297392 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR1L1	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR1L1	GSM297392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	1	hours	wild_type
GSE11708GSM297382	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297382 sample	P-G11708-2	GSE11708GSM297382 extract	total_RNA	P-G11708-1	GSE11708GSM297382 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R1L1	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R1L1	GSM297382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	1	hours	ss3 mutant
GSE11708GSM297394	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297394 sample	P-G11708-2	GSE11708GSM297394 extract	total_RNA	P-G11708-1	GSE11708GSM297394 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR2D0.5	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR2D0.5	GSM297394.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	8.5	hours	wild_type
GSE11708GSM297387	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297387 sample	P-G11708-2	GSE11708GSM297387 extract	total_RNA	P-G11708-1	GSE11708GSM297387 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R2L1	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R2L1	GSM297387.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	1	hours	ss3 mutant
GSE11708GSM297384	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297384 sample	P-G11708-2	GSE11708GSM297384 extract	total_RNA	P-G11708-1	GSE11708GSM297384 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R2D0.5	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R2D0.5	GSM297384.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	8.5	hours	ss3 mutant
GSE11708GSM297388	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297388 sample	P-G11708-2	GSE11708GSM297388 extract	total_RNA	P-G11708-1	GSE11708GSM297388 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R2L4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R2L4	GSM297388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	4	hours	ss3 mutant
