Source Name	Material Type	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[genotype]	Description	Comment[Sample_source_name]	Comment[Sample_characteristics]	Protocol REF	Protocol REF	Sample Name	Material Type	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Label	Assay Name	Technology Type	Array Design REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Comment[CDF]	FactorValue[genotype]
GSE15105GSM377717	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	wild type genotype	wild type Columbia-0, Gene expression data from young wild type rosette leaves. tissue: Young rosette leaves 2mm to 1cm	wild type Columbia-0	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377717 sample	organism_part	P-G15105-5	GSE15105GSM377717 extract	total RNA	P-G15105-3	GSE15105GSM377717 LE biotin	synthetic RNA	biotin	rosette_leaves_WT_biological rep1	array assay	A-AFFY-2	GSM377717	GSM377717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377717 Norm	GSM377717_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	wild type genotype
GSE15105GSM377718	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	wild type genotype	wild type Columbia-0, Gene expression data from young wild type rosette leaves. tissue: Young rosette leaves 2mm to 1cm	wild type Columbia-0	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377718 sample	organism_part	P-G15105-5	GSE15105GSM377718 extract	total RNA	P-G15105-3	GSE15105GSM377718 LE biotin	synthetic RNA	biotin	rosette_leaves_WT_biological rep2	array assay	A-AFFY-2	GSM377718	GSM377718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377718 Norm	GSM377718_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	wild type genotype
GSE15105GSM377719	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	wild type genotype	wild type Columbia-0, Gene expression data from young wild type rosette leaves. tissue: Young rosette leaves 2mm to 1cm	wild type Columbia-0	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377719 sample	organism_part	P-G15105-5	GSE15105GSM377719 extract	total RNA	P-G15105-3	GSE15105GSM377719 LE biotin	synthetic RNA	biotin	rosette_leaves_WT_biological rep3	array assay	A-AFFY-2	GSM377719	GSM377719.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377719 Norm	GSM377719_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	wild type genotype
GSE15105GSM377720	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	bdg-2 mutant	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006), Gene expression data from young bdg rosette leaves. tissue: Young rosette leaves 2mm to 1cm	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377720 sample	organism_part	P-G15105-5	GSE15105GSM377720 extract	total RNA	P-G15105-3	GSE15105GSM377720 LE biotin	synthetic RNA	biotin	rosette_leaves_bdg_biological rep1	array assay	A-AFFY-2	GSM377720	GSM377720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377720 Norm	GSM377720_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	bdg-2 mutant
GSE15105GSM377721	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	bdg-2 mutant	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006), Gene expression data from young bdg rosette leaves. tissue: Young rosette leaves 2mm to 1cm	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377721 sample	organism_part	P-G15105-5	GSE15105GSM377721 extract	total RNA	P-G15105-3	GSE15105GSM377721 LE biotin	synthetic RNA	biotin	rosette_leaves_bdg_biological rep2	array assay	A-AFFY-2	GSM377721	GSM377721.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377721 Norm	GSM377721_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	bdg-2 mutant
GSE15105GSM377722	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	bdg-2 mutant	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006), Gene expression data from young bdg rosette leaves. tissue: Young rosette leaves 2mm to 1cm	bdg mutant (allele=bdg-2; 7-bp deletion in exon1 from BDG gene; Kurdyukov S. et al., The Plant Cell 18:321-339 (2006)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377722 sample	organism_part	P-G15105-5	GSE15105GSM377722 extract	total RNA	P-G15105-3	GSE15105GSM377722 LE biotin	synthetic RNA	biotin	rosette_leaves_bdg_biological rep3	array assay	A-AFFY-2	GSM377722	GSM377722.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377722 Norm	GSM377722_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	bdg-2 mutant
GSE15105GSM377723	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	fdh-3940 mutant	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999), Gene expression data from young fdh rosette leaves. tissue: Young rosette leaves 2mm to 1cm	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377723 sample	organism_part	P-G15105-5	GSE15105GSM377723 extract	total RNA	P-G15105-3	GSE15105GSM377723 LE biotin	synthetic RNA	biotin	rosette_leaves_fdh_biological rep1	array assay	A-AFFY-2	GSM377723	GSM377723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377723 Norm	GSM377723_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	fdh-3940 mutant
GSE15105GSM377724	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	fdh-3940 mutant	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999), Gene expression data from young fdh rosette leaves. tissue: Young rosette leaves 2mm to 1cm	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377724 sample	organism_part	P-G15105-5	GSE15105GSM377724 extract	total RNA	P-G15105-3	GSE15105GSM377724 LE biotin	synthetic RNA	biotin	rosette_leaves_fdh_biological rep2	array assay	A-AFFY-2	GSM377724	GSM377724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377724 Norm	GSM377724_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	fdh-3940 mutant
GSE15105GSM377725	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	fdh-3940 mutant	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999), Gene expression data from young fdh rosette leaves. tissue: Young rosette leaves 2mm to 1cm	fdh mutant (allele = fdh-3940; 2-bp insertion in exon-1 from FDH gene;Yephremov A. and al., The Plant Cell 11:2187-2202 (1999)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377725 sample	organism_part	P-G15105-5	GSE15105GSM377725 extract	total RNA	P-G15105-3	GSE15105GSM377725 LE biotin	synthetic RNA	biotin	rosette_leaves_fdh_biological rep3	array assay	A-AFFY-2	GSM377725	GSM377725.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377725 Norm	GSM377725_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	fdh-3940 mutant
GSE15105GSM377726	organism part	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	lcr-3P77 mutant	lcr mutant (allele = lcr-3P77; 1,169-bp insertion in the 5' UTR from LCR gene; PNAS 98:9694-9699  (2001), Gene expression data from young lcr rosette leaves. tissue: Young rosette leaves 2mm to 1cm	lcr mutant (allele = lcr-3P77; 1,169-bp insertion in the 5' UTR from LCR gene; PNAS 98:9694-9699  (2001)	tissue: Young rosette leaves 2mm to 1cm	P-G15105-1	P-G15105-2	GSE15105GSM377726 sample	organism_part	P-G15105-5	GSE15105GSM377726 extract	total RNA	P-G15105-3	GSE15105GSM377726 LE biotin	synthetic RNA	biotin	rosette_leaves_lcr_biological rep1	array assay	A-AFFY-2	GSM377726	GSM377726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.raw.1.zip	P-G15105-4	GSE15105GSM377726 Norm	GSM377726_norm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15105/E-GEOD-15105.processed.1.zip	ATH1-121501.CDF	lcr-3P77 mutant
