Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [GrowthCondition]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE3847GSM87745	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87745 sample	P-G3847-5	GSE3847GSM87745 extract	total_RNA	P-G3847-7	GSE3847GSM87745 LE.biotin	biotin	synthetic_RNA	2hr top replicate 1	A-AFFY-2	gravity (top flank)	2hr top replicate 1	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87740	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87740 sample	P-G3847-2	GSE3847GSM87740 extract	total_RNA	P-G3847-7	GSE3847GSM87740 LE.biotin	biotin	synthetic_RNA	2hr lit replicate 2	A-AFFY-2	blue-light (lit flank)	2hr lit replicate 2	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87747	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87747 sample	P-G3847-5	GSE3847GSM87747 extract	total_RNA	P-G3847-7	GSE3847GSM87747 LE.biotin	biotin	synthetic_RNA	2hr top replicate 3	A-AFFY-2	gravity (top flank)	2hr top replicate 3	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87749	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87749 sample	P-G3847-6	GSE3847GSM87749 extract	total_RNA	P-G3847-7	GSE3847GSM87749 LE.biotin	biotin	synthetic_RNA	unstimulated control replicate 2	A-AFFY-2	unstimulated	unstimulated control replicate 2	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87738	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87738 sample	P-G3847-1	GSE3847GSM87738 extract	total_RNA	P-G3847-7	GSE3847GSM87738 LE.biotin	biotin	synthetic_RNA	2hr shaded replicate 3	A-AFFY-2	blue-light (shaded flank)	2hr shaded replicate 3	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87741	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87741 sample	P-G3847-2	GSE3847GSM87741 extract	total_RNA	P-G3847-7	GSE3847GSM87741 LE.biotin	biotin	synthetic_RNA	2hr lit replicate 3	A-AFFY-2	blue-light (lit flank)	2hr lit replicate 3	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87746	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87746 sample	P-G3847-5	GSE3847GSM87746 extract	total_RNA	P-G3847-7	GSE3847GSM87746 LE.biotin	biotin	synthetic_RNA	2hr top replicate 2	A-AFFY-2	gravity (top flank)	2hr top replicate 2	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87748	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87748 sample	P-G3847-6	GSE3847GSM87748 extract	total_RNA	P-G3847-7	GSE3847GSM87748 LE.biotin	biotin	synthetic_RNA	unstimulated control replicate 1	A-AFFY-2	unstimulated	unstimulated control replicate 1	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87737	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87737 sample	P-G3847-1	GSE3847GSM87737 extract	total_RNA	P-G3847-7	GSE3847GSM87737 LE.biotin	biotin	synthetic_RNA	2hr shaded replicate 2	A-AFFY-2	blue-light (shaded flank)	2hr shaded replicate 2	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
GSE3847GSM87744	Brassica oleracea	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3712	frozen_sample	hypocotyl	EFO	EFO_0001931	seedling	EFO	EFO_0001992	GSE3847GSM87744 sample	P-G3847-5	GSE3847GSM87744 extract	total_RNA	P-G3847-7	GSE3847GSM87744 LE.biotin	biotin	synthetic_RNA	2hr bottom replicate 3	A-AFFY-2	gravity (bottom flank)	2hr bottom replicate 3	E-GEOD-3847-processed-data-1442077609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-3847/E-GEOD-3847.processed.1.zip
