Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[TimeUnit]	Characteristics[ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]
GSM744771 1	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, pH 5.7, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 4	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744771 extract 1	total RNA	P-GSE30096-5	GSM744771 LE 1	biotin	P-GSE30096-6	GSM744771	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744771_sample_table.txt norm	GSM744771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 4
GSM744770 1	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, pH 5.7, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 4	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744770 extract 1	total RNA	P-GSE30096-5	GSM744770 LE 1	biotin	P-GSE30096-6	GSM744770	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744770_sample_table.txt norm	GSM744770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 4
GSM744769 1	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, pH 4.6, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 4	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744769 extract 1	total RNA	P-GSE30096-5	GSM744769 LE 1	biotin	P-GSE30096-6	GSM744769	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744769_sample_table.txt norm	GSM744769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 4
GSM744768 1	Gene expression data from root developmental stage zone 4	root tissue	Arabidopsis root section, longitudinal zone 4, pH 4.6, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 4	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744768 extract 1	total RNA	P-GSE30096-5	GSM744768 LE 1	biotin	P-GSE30096-6	GSM744768	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744768_sample_table.txt norm	GSM744768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 4
GSM744767 1	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, pH 5.7, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 3	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744767 extract 1	total RNA	P-GSE30096-5	GSM744767 LE 1	biotin	P-GSE30096-6	GSM744767	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744767_sample_table.txt norm	GSM744767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 3
GSM744766 1	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, pH 5.7, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 3	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744766 extract 1	total RNA	P-GSE30096-5	GSM744766 LE 1	biotin	P-GSE30096-6	GSM744766	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744766.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744766_sample_table.txt norm	GSM744766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 3
GSM744765 1	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, pH 4.6, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 3	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744765 extract 1	total RNA	P-GSE30096-5	GSM744765 LE 1	biotin	P-GSE30096-6	GSM744765	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744765.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744765_sample_table.txt norm	GSM744765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 3
GSM744764 1	Gene expression data from root developmental stage zone 3	root tissue	Arabidopsis root section, longitudinal zone 3, pH 4.6, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 3	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744764 extract 1	total RNA	P-GSE30096-5	GSM744764 LE 1	biotin	P-GSE30096-6	GSM744764	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744764.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744764_sample_table.txt norm	GSM744764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 3
GSM744763 1	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, pH 5.7, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 2	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744763 extract 1	total RNA	P-GSE30096-5	GSM744763 LE 1	biotin	P-GSE30096-6	GSM744763	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744763.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744763_sample_table.txt norm	GSM744763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 2
GSM744762 1	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, pH 5.7, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 2	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744762 extract 1	total RNA	P-GSE30096-5	GSM744762 LE 1	biotin	P-GSE30096-6	GSM744762	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744762_sample_table.txt norm	GSM744762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 2
GSM744761 1	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, pH 4.6, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 2	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744761 extract 1	total RNA	P-GSE30096-5	GSM744761 LE 1	biotin	P-GSE30096-6	GSM744761	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744761_sample_table.txt norm	GSM744761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 2
GSM744760 1	Gene expression data from root developmental stage zone 2	root tissue	Arabidopsis root section, longitudinal zone 2, pH 4.6, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 2	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744760 extract 1	total RNA	P-GSE30096-5	GSM744760 LE 1	biotin	P-GSE30096-6	GSM744760	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744760_sample_table.txt norm	GSM744760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 4.6	root longitudinal zone 2
GSM744759 1	Gene expression data from root developmental stage zone 1	root tissue	Arabidopsis root section, longitudinal zone 1, pH 5.7, replicate 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 1	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744759 extract 1	total RNA	P-GSE30096-5	GSM744759 LE 1	biotin	P-GSE30096-6	GSM744759	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744759.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744759_sample_table.txt norm	GSM744759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 1
GSM744758 1	Gene expression data from root developmental stage zone 1	root tissue	Arabidopsis root section, longitudinal zone 1, pH 5.7, replicate 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	Columbia	root longitudinal zone 1	P-GSE30096-2	P-GSE30096-3	P-GSE30096-4	GSM744758 extract 1	total RNA	P-GSE30096-5	GSM744758 LE 1	biotin	P-GSE30096-6	GSM744758	A-AFFY-2	P-GSE30096-7	P-GSE30096-8	GSM744758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.raw.1.zip	P-GSE30096-1	GSM744758_sample_table.txt norm	GSM744758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30096/E-GEOD-30096.processed.1.zip	pH 5.7	root longitudinal zone 1
