Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM967264 1	7 day old seedlings	Sal 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967264 extract 1	total RNA	P-GSE39385-5	GSM967264 LE 1	biotin	P-GSE39385-6	GSM967264	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967264_Sal_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967264_sample_table.txt norm	GSM967264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10µM salicylic acid
GSM967263 1	7 day old seedlings	Sal 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967263 extract 1	total RNA	P-GSE39385-5	GSM967263 LE 1	biotin	P-GSE39385-6	GSM967263	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967263_Sal_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967263_sample_table.txt norm	GSM967263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10µM salicylic acid
GSM967262 1	7 day old seedlings	B9 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967262 extract 1	total RNA	P-GSE39385-5	GSM967262 LE 1	biotin	P-GSE39385-6	GSM967262	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967262_B9_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967262_sample_table.txt norm	GSM967262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM daminozide
GSM967261 1	7 day old seedlings	B9 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967261 extract 1	total RNA	P-GSE39385-5	GSM967261 LE 1	biotin	P-GSE39385-6	GSM967261	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967261_B9_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967261_sample_table.txt norm	GSM967261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM daminozide
GSM967260 1	7 day old seedlings	Ibup 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967260 extract 1	total RNA	P-GSE39385-5	GSM967260 LE 1	biotin	P-GSE39385-6	GSM967260	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967260_ibup_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967260_sample_table.txt norm	GSM967260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM ibuprofen
GSM967259 1	7 day old seedlings	Ibup 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967259 extract 1	total RNA	P-GSE39385-5	GSM967259 LE 1	biotin	P-GSE39385-6	GSM967259	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967259_ibup_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967259_sample_table.txt norm	GSM967259_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM ibuprofen
GSM967258 1	7 day old seedlings	PNO8 10µM3h (G) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967258 extract 1	total RNA	P-GSE39385-5	GSM967258 LE 1	biotin	P-GSE39385-6	GSM967258	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967258_ColPNO83h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967258_sample_table.txt norm	GSM967258_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM PNO8
GSM967257 1	7 day old seedlings	PNO8 10µM3h (G) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967257 extract 1	total RNA	P-GSE39385-5	GSM967257 LE 1	biotin	P-GSE39385-6	GSM967257	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967257_ColPNO83h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967257_sample_table.txt norm	GSM967257_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM PNO8
GSM967256 1	7 day old seedlings	PNO8 1µM12h (F2) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967256 extract 1	total RNA	P-GSE39385-5	GSM967256 LE 1	biotin	P-GSE39385-6	GSM967256	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967256_pno8_12h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967256_sample_table.txt norm	GSM967256_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	1 µM PNO8
GSM967255 1	7 day old seedlings	PNO8 1µM12h (F2) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967255 extract 1	total RNA	P-GSE39385-5	GSM967255 LE 1	biotin	P-GSE39385-6	GSM967255	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967255_pno8_12h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967255_sample_table.txt norm	GSM967255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	1 µM PNO8
GSM967254 1	7 day old seedlings	PNO8 1µM3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967254 extract 1	total RNA	P-GSE39385-5	GSM967254 LE 1	biotin	P-GSE39385-6	GSM967254	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967254_pno8_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967254_sample_table.txt norm	GSM967254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	1 µM PNO8
GSM967253 1	7 day old seedlings	PNO8 1µM3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967253 extract 1	total RNA	P-GSE39385-5	GSM967253 LE 1	biotin	P-GSE39385-6	GSM967253	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967253_pno8_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967253_sample_table.txt norm	GSM967253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	1 µM PNO8
GSM967252 1	7 day old seedlings	MG132 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967252 extract 1	total RNA	P-GSE39385-5	GSM967252 LE 1	biotin	P-GSE39385-6	GSM967252	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967252_MG132_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967252_sample_table.txt norm	GSM967252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM MG132
GSM967251 1	7 day old seedlings	MG132 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967251 extract 1	total RNA	P-GSE39385-5	GSM967251 LE 1	biotin	P-GSE39385-6	GSM967251	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967251_MG132_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967251_sample_table.txt norm	GSM967251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM MG132
GSM967250 1	7 day old seedlings	CHX 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967250 extract 1	total RNA	P-GSE39385-5	GSM967250 LE 1	biotin	P-GSE39385-6	GSM967250	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967250_CHX_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967250_sample_table.txt norm	GSM967250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM CHX
GSM967249 1	7 day old seedlings	CHX 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967249 extract 1	total RNA	P-GSE39385-5	GSM967249 LE 1	biotin	P-GSE39385-6	GSM967249	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967249_CHX_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967249_sample_table.txt norm	GSM967249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM CHX
GSM967248 1	7 day old seedlings	AVG 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967248 extract 1	total RNA	P-GSE39385-5	GSM967248 LE 1	biotin	P-GSE39385-6	GSM967248	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967248_AVG_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967248_sample_table.txt norm	GSM967248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM AVG
