Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[developmental stage]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE8319GSM206282	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206282 sample	P-G8319-4	GSE8319GSM206282 extract	total_RNA	P-G8319-3	GSE8319GSM206282 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, chitooctaose treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, chitooctaose treatment, biological rep3"	GSM206282.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	chitooctaose
GSE8319GSM206281	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206281 sample	P-G8319-4	GSE8319GSM206281 extract	total_RNA	P-G8319-3	GSE8319GSM206281 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, chitooctaose treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, chitooctaose treatment, biological rep2"	GSM206281.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	chitooctaose
GSE8319GSM206280	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206280 sample	P-G8319-4	GSE8319GSM206280 extract	total_RNA	P-G8319-3	GSE8319GSM206280 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, chitooctaose treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, chitooctaose treatment, biological rep1"	GSM206280.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	chitooctaose
GSE8319GSM206284	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-5	P-G8319-7	GSE8319GSM206284 sample	P-G8319-4	GSE8319GSM206284 extract	total_RNA	P-G8319-3	GSE8319GSM206284 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, water treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, water treatment, biological rep2"	GSM206284.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	water
GSE8319GSM206285	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-5	P-G8319-7	GSE8319GSM206285 sample	P-G8319-4	GSE8319GSM206285 extract	total_RNA	P-G8319-3	GSE8319GSM206285 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, water treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, water treatment, biological rep3"	GSM206285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	water
GSE8319GSM206283	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: Mutant Col-0 with mutation in the chitin receptor; Two-week-old seedlings	chitin receptor mutant	Col-0	2	week	whole organism	seedling	P-G8319-5	P-G8319-7	GSE8319GSM206283 sample	P-G8319-4	GSE8319GSM206283 extract	total_RNA	P-G8319-3	GSE8319GSM206283 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Chitin receptor mutant, water treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"Chitin receptor mutant, water treatment, biological rep1"	GSM206283.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	rlk1 mutant	water
GSE8319GSM206274	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: WT Col-0; Two-week-old seedlings	wild type	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206274 sample	P-G8319-4	GSE8319GSM206274 extract	total_RNA	P-G8319-3	GSE8319GSM206274 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Wild type, chitooctaose treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"Wild type, chitooctaose treatment, biological rep1"	GSM206274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	wild type	chitooctaose
GSE8319GSM206275	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: WT Col-0; Two-week-old seedlings	wild type	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206275 sample	P-G8319-4	GSE8319GSM206275 extract	total_RNA	P-G8319-3	GSE8319GSM206275 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Wild type, chitooctaose treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Wild type, chitooctaose treatment, biological rep2"	GSM206275.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	wild type	chitooctaose
GSE8319GSM206276	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: WT Col-0; Two-week-old seedlings	wild type	Col-0	2	week	whole organism	seedling	P-G8319-1	P-G8319-2	GSE8319GSM206276 sample	P-G8319-4	GSE8319GSM206276 extract	total_RNA	P-G8319-3	GSE8319GSM206276 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Wild type, chitooctaose treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"Wild type, chitooctaose treatment, biological rep3"	GSM206276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	wild type	chitooctaose
GSE8319GSM206278	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Two-week-old whole seedlings of Arabidopsis thaliana:  Gene expression in response to chitooctaose. Genotype: WT Col-0; Two-week-old seedlings	wild type	Col-0	2	week	whole organism	seedling	P-G8319-5	P-G8319-6	GSE8319GSM206278 sample	P-G8319-4	GSE8319GSM206278 extract	total_RNA	P-G8319-3	GSE8319GSM206278 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Wild type, water treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Wild type, water treatment, biological rep2"	GSM206278.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.raw.1.zip	E-GEOD-8319-processed-data-1631363190.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8319/E-GEOD-8319.processed.1.zip	wild type	water
