Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1030605 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 24 hours	IAA 24h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030605 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030605 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030605	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030605_T3-16_88_IAA24_3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030605_sample_table.txt norm	GSM1030605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030604 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 12 hours	IAA 12h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030604 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030604 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030604	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030604_T3-15_87_IAA12_3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030604_sample_table.txt norm	GSM1030604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030603 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 8 hours	IAA 8h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030603 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030603 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030603	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030603_T3-14_86_IAA8_3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030603_sample_table.txt norm	GSM1030603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030602 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 4 hours	IAA 4h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030602 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030602 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030602	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030602_T3-13_85_IAA4_3_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030602_sample_table.txt norm	GSM1030602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030601 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 2 hours	IAA 2h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030601 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030601 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030601	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030601_IAA_2-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030601_sample_table.txt norm	GSM1030601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030600 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 1 hour	IAA 1h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030600 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030600 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030600	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030600_IAA_1-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030600_sample_table.txt norm	GSM1030600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030599 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 30 minutes	IAA 0.5h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030599 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030599 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030599	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030599_IAA_0.5-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030599_sample_table.txt norm	GSM1030599_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030598 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for < 5 minutes	IAA 0h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030598 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030598 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030598	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030598_IAA_0-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030598_sample_table.txt norm	GSM1030598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030597 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 24 hours	control 24h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030597 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030597 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030597	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030597_C_24-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030597_sample_table.txt norm	GSM1030597_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030596 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 12 hours	control 12h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030596 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030596 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030596	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030596_C_12-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030596_sample_table.txt norm	GSM1030596_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
