Source Name	Material Type	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value[GENOTYPE]
caquinof_20090514_VE1542_x_VE1542_1	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1542_1	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1542_1	biotin	  	ArrayExpress	Ler_Ler_1	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1542_1-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(2C)
caquinof_20090514_VE1542_x_VE1542_2	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1542_2	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1542_2	biotin	  	ArrayExpress	Ler_Ler_2	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1542_2-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(2C)
caquinof_20090514_VE1542_x_VE1542_3	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1542_3	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1542_3	biotin	  	ArrayExpress	Ler_Ler_3	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1542_3-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(2C)
caquinof_20090514_VE1542_x_VE1543_1	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(4C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1543_1	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1543_1	biotin	  	ArrayExpress	Ler_4C_1	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1543_1-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(4C)
caquinof_20090514_VE1542_x_VE1543_2	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(4C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1543_2	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1543_2	biotin	  	ArrayExpress	Ler_4C_2	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1543_2-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(4C)
caquinof_20090514_VE1542_x_VE1543_3	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x Ler(4C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1543_3	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1543_3	biotin	  	ArrayExpress	Ler_4C_3	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1543_3-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x Ler(4C)
caquinof_20090514_VE1542_x_VE1544_1	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x jas(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1544_1	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1544_1	biotin	  	ArrayExpress	Ler_jas_1	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1544_1-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x jas(2C)
caquinof_20090514_VE1542_x_VE1544_2	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x jas(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1544_2	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1544_2	biotin	  	ArrayExpress	Ler_jas_2	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1544_2-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x jas(2C)
caquinof_20090514_VE1542_x_VE1544_3	organism_part	Arabidopsis thaliana	seed	6	days	Ler(2C) x jas(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1542_x_VE1544_3	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1542_x_VE1544_3	biotin	  	ArrayExpress	Ler_jas_3	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1542_x_VE1544_3-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	Ler(2C) x jas(2C)
caquinof_20090514_VE1545_x_VE1545_1	organism_part	Arabidopsis thaliana	seed	6	days	fis2(2C) x fis2(2C)	P-MTAB-5173	P-MTAB-5172	P-MTAB-5174	E_caquinof_20090514_VE1545_x_VE1545_1	total_RNA	  	ArrayExpress	L_caquinof_20090514_VE1545_x_VE1545_1	biotin	  	ArrayExpress	fis2_fis2_1	A-AFFY-2	  	ArrayExpress	caquinof_20090514_VE1545_x_VE1545_1-v4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.raw.1.zip	P-MTAB-18778	gcrma.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2316/E-MEXP-2316.processed.1.zip	fis2(2C) x fis2(2C)
