Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5752GSM134346	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134346 sample	GSE5752GSM134346 extract	total_RNA	GSE5752GSM134346 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-7_273b_Col-0_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-7_273b_Col-0_0.02%-silwet_Rep1_ATH1	GSM134346.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
GSE5752GSM134344	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134344 sample	GSE5752GSM134344 extract	total_RNA	GSE5752GSM134344 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-5_325_Col-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-5_325_Col-0_0.02%-silwet_Rep2_ATH1	GSM134344.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
GSE5752GSM134341	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134341 sample	GSE5752GSM134341 extract	total_RNA	GSE5752GSM134341 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-2_331_Col-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-2_331_Col-0_0.02%-silwet_Rep2_ATH1	GSM134341.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
GSE5752GSM134356	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Col-0	GSE5752GSM134356 sample	GSE5752GSM134356 extract	total_RNA	GSE5752GSM134356 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-17_317_Col-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-17_317_Col-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134356.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	salicylic acid
GSE5752GSM134355	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Col-0	GSE5752GSM134355 sample	GSE5752GSM134355 extract	total_RNA	GSE5752GSM134355 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-16_277b_Col-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-16_277b_Col-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134355.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	salicylic acid
GSE5752GSM134352	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Col-0	GSE5752GSM134352 sample	GSE5752GSM134352 extract	total_RNA	GSE5752GSM134352 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-13_287b_Col-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-13_287b_Col-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134352.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	salicylic acid
GSE5752GSM134357	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Col-0	GSE5752GSM134357 sample	GSE5752GSM134357 extract	total_RNA	GSE5752GSM134357 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-18_357-2_Col-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-18_357-2_Col-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134357.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	salicylic acid
GSE5752GSM134348	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134348 sample	GSE5752GSM134348 extract	total_RNA	GSE5752GSM134348 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-9_353_Col-0_0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-9_353_Col-0_0.02%-silwet_Rep3_ATH1	GSM134348.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
GSE5752GSM134342	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134342 sample	GSE5752GSM134342 extract	total_RNA	GSE5752GSM134342 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-3_404_Col-0_0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-3_404_Col-0_0.02%-silwet_Rep3_ATH1	GSM134342.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
GSE5752GSM134340	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Treatment: 0.02% silwet. na	Col-0	GSE5752GSM134340 sample	GSE5752GSM134340 extract	total_RNA	GSE5752GSM134340 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-1_289b_Col-0_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-1_289b_Col-0_0.02%-silwet_Rep1_ATH1	GSM134340.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.raw.1.zip	E-GEOD-5752-processed-data-1628604297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5752/E-GEOD-5752.processed.1.zip	none
