Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSM469780 1	Seeds stratified in 0.1 % Agar for 2-3 days.. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	sid2	Arabidopsis thaliana	4	week	sid2 mutant	Col-0	leaf	P-GSE18978-8	P-GSE18978-3	GSM469780 extract 1	total RNA	P-GSE18978-4	GSM469780 LE 1	biotin	P-GSE18978-5	GSM469780	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469780.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469780_sample_table.txt norm	GSM469780_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	sid2 mutant	Pseudomonas syringae ES4326
GSM469779 1	Seeds stratified in 0.1 % Agar for 2-3 days.. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	sid2	Arabidopsis thaliana	4	week	sid2 mutant	Col-0	leaf	P-GSE18978-8	P-GSE18978-3	GSM469779 extract 1	total RNA	P-GSE18978-4	GSM469779 LE 1	biotin	P-GSE18978-5	GSM469779	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469779.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469779_sample_table.txt norm	GSM469779_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	sid2 mutant	Pseudomonas syringae ES4326
GSM469778 1	Seeds stratified in 0.1 % Agar for 2-3 days.. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	sid2	Arabidopsis thaliana	4	week	sid2 mutant	Col-0	leaf	P-GSE18978-8	P-GSE18978-3	GSM469778 extract 1	total RNA	P-GSE18978-4	GSM469778 LE 1	biotin	P-GSE18978-5	GSM469778	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469778.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469778_sample_table.txt norm	GSM469778_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	sid2 mutant	Pseudomonas syringae ES4326
GSM469777 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad4	Arabidopsis thaliana	4	week	pad4 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469777 extract 1	total RNA	P-GSE18978-4	GSM469777 LE 1	biotin	P-GSE18978-5	GSM469777	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469777.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469777_sample_table.txt norm	GSM469777_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad4 mutant	Pseudomonas syringae ES4326
GSM469776 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad4	Arabidopsis thaliana	4	week	pad4 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469776 extract 1	total RNA	P-GSE18978-4	GSM469776 LE 1	biotin	P-GSE18978-5	GSM469776	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469776.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469776_sample_table.txt norm	GSM469776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad4 mutant	Pseudomonas syringae ES4326
GSM469775 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad4	Arabidopsis thaliana	4	week	pad4 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469775 extract 1	total RNA	P-GSE18978-4	GSM469775 LE 1	biotin	P-GSE18978-5	GSM469775	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469775.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469775_sample_table.txt norm	GSM469775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad4 mutant	Pseudomonas syringae ES4326
GSM469774 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad2	Arabidopsis thaliana	4	week	pad2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469774 extract 1	total RNA	P-GSE18978-4	GSM469774 LE 1	biotin	P-GSE18978-5	GSM469774	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469774_sample_table.txt norm	GSM469774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad2 mutant	Pseudomonas syringae ES4326
GSM469773 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad2	Arabidopsis thaliana	4	week	pad2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469773 extract 1	total RNA	P-GSE18978-4	GSM469773 LE 1	biotin	P-GSE18978-5	GSM469773	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469773_sample_table.txt norm	GSM469773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad2 mutant	Pseudomonas syringae ES4326
GSM469772 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	pad2	Arabidopsis thaliana	4	week	pad2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469772 extract 1	total RNA	P-GSE18978-4	GSM469772 LE 1	biotin	P-GSE18978-5	GSM469772	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469772.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469772_sample_table.txt norm	GSM469772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	pad2 mutant	Pseudomonas syringae ES4326
GSM469771 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	npr1-1	Arabidopsis thaliana	4	week	nor1-1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469771 extract 1	total RNA	P-GSE18978-4	GSM469771 LE 1	biotin	P-GSE18978-5	GSM469771	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469771_sample_table.txt norm	GSM469771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	nor1-1 mutant	Pseudomonas syringae ES4326
