Source Name	Material Type	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[environmental stress]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[time]	Unit[time unit]
KO 20min 1	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 20min 1	total_RNA	P-AFFY-2	ArrayExpress	L_KO 20min 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 20min 1	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-20minHS-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-20minHS-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	20	minute
KO 20min 2	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 20min 2	total_RNA	P-AFFY-2	ArrayExpress	L_KO 20min 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 20min 2	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-20minHS-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-20minHS-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	20	minute
KO 20min 3	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 20min 3	total_RNA	P-AFFY-2	ArrayExpress	L_KO 20min 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 20min 3	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-20minHS-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-20minHS-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	20	minute
KO 60min 1	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 60min 1	total_RNA	P-AFFY-2	ArrayExpress	L_KO 60min 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 60min 1	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-60minHS-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-60minHS-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	60	minute
KO 60min 2	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 60min 2	total_RNA	P-AFFY-2	ArrayExpress	L_KO 60min 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 60min 2	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-60minHS-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-60minHS-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	60	minute
KO 60min 3	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO 60min 3	total_RNA	P-AFFY-2	ArrayExpress	L_KO 60min 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO 60min 3	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-60minHS-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-60minHS-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	60	minute
KO control 1	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO control 1	total_RNA	P-AFFY-2	ArrayExpress	L_KO control 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO control 1	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-control-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-control-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	0	minute
KO control 2	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO control 2	total_RNA	P-AFFY-2	ArrayExpress	L_KO control 2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO control 2	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-control-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-control-2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	0	minute
KO control 3	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	mbf1c mutant	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_KO control 3	total_RNA	P-AFFY-2	ArrayExpress	L_KO control 3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_KO control 3	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_KO-control-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_KO-control-3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	mbf1c mutant	0	minute
WT 20min 1	whole_organism	Arabidopsis thaliana	seedling	11	day	shoot	wild type	Columbia	heat at 40degreeC	P-MTAB-14520	P-MTAB-18780	E_WT 20min 1	total_RNA	P-AFFY-2	ArrayExpress	L_WT 20min 1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	ArrayExpress	H_WT 20min 1	A-AFFY-2	P-AFFY-6	ArrayExpress	RM_9-3-08_Col-20minHS-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	RM_9-3-08_Col-20minHS-1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2760/E-MEXP-2760.processed.1.zip	wild type	20	minute
