Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Comment[genetic variation]	Characteristics[Genotype]	Characteristics[OrganismPart]	Comment[stock code]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [GENOTYPE]
GSM477996 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, PMII	Arabidopsis thaliana	pollen mitosis II (PMII)	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477996 extract 1	total RNA	P-GSE19267-4	GSM477996 LE 1	biotin	P-GSE19267-5	GSM477996	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477996.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477996_sample_table.txt norm	GSM477996_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis II (PMII)	ms35 mutant
GSM477995 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, bicellular	Arabidopsis thaliana	bicellular	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477995 extract 1	total RNA	P-GSE19267-4	GSM477995 LE 1	biotin	P-GSE19267-5	GSM477995	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477995.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477995_sample_table.txt norm	GSM477995_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	bicellular	ms35 mutant
GSM477994 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, PMI	Arabidopsis thaliana	pollen mitosis I (PMI)	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477994 extract 1	total RNA	P-GSE19267-4	GSM477994 LE 1	biotin	P-GSE19267-5	GSM477994	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477994.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477994_sample_table.txt norm	GSM477994_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis I (PMI)	ms35 mutant
GSM477993 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	Glabra, PMII	Arabidopsis thaliana	pollen mitosis II (PMII)	Ler-0	  	wild-type control	anther and filament	N64	P-GSE19267-2	P-GSE19267-3	GSM477993 extract 1	total RNA	P-GSE19267-4	GSM477993 LE 1	biotin	P-GSE19267-5	GSM477993	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477993.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477993_sample_table.txt norm	GSM477993_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis II (PMII)	wild-type control
GSM477992 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	Glabra, bicellular	Arabidopsis thaliana	bicellular	Ler-0	  	wild-type control	anther and filament	N64	P-GSE19267-2	P-GSE19267-3	GSM477992 extract 1	total RNA	P-GSE19267-4	GSM477992 LE 1	biotin	P-GSE19267-5	GSM477992	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477992.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477992_sample_table.txt norm	GSM477992_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	bicellular	wild-type control
GSM477991 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	Glabra, PMI	Arabidopsis thaliana	pollen mitosis I (PMI)	Ler-0	  	wild-type control	anther and filament	N64	P-GSE19267-2	P-GSE19267-3	GSM477991 extract 1	total RNA	P-GSE19267-4	GSM477991 LE 1	biotin	P-GSE19267-5	GSM477991	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477991.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477991_sample_table.txt norm	GSM477991_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis I (PMI)	wild-type control
GSM477990 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, PMII	Arabidopsis thaliana	pollen mitosis II (PMII)	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477990 extract 1	total RNA	P-GSE19267-4	GSM477990 LE 1	biotin	P-GSE19267-5	GSM477990	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477990.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477990_sample_table.txt norm	GSM477990_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis II (PMII)	ms35 mutant
GSM477989 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, bicellular	Arabidopsis thaliana	bicellular	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477989 extract 1	total RNA	P-GSE19267-4	GSM477989 LE 1	biotin	P-GSE19267-5	GSM477989	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477989.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477989_sample_table.txt norm	GSM477989_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	bicellular	ms35 mutant
GSM477988 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	ms35, PMI	Arabidopsis thaliana	pollen mitosis I (PMI)	Ler-0	gene_knock_out	ms35 mutant	anther and filament	  	P-GSE19267-2	P-GSE19267-3	GSM477988 extract 1	total RNA	P-GSE19267-4	GSM477988 LE 1	biotin	P-GSE19267-5	GSM477988	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477988.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477988_sample_table.txt norm	GSM477988_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis I (PMI)	ms35 mutant
GSM477987 1	Growth Room Commercial soil: a mixture of Levington M3 (The Scotts Company, UK), John Innes No.3 (E A Groundrey & Son Ltd. UK), vermiculite and perlite in the proportion 6:6:1:1	Glabra, PMII	Arabidopsis thaliana	pollen mitosis II (PMII)	Ler-0	  	wild-type control	anther and filament	N64	P-GSE19267-2	P-GSE19267-3	GSM477987 extract 1	total RNA	P-GSE19267-4	GSM477987 LE 1	biotin	P-GSE19267-5	GSM477987	A-AFFY-2	P-GSE19267-6	P-GSE19267-7	GSM477987.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.raw.1.zip	P-GSE19267-1	GSM477987_sample_table.txt norm	GSM477987_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19267/E-GEOD-19267.processed.1.zip	pollen mitosis II (PMII)	wild-type control
