Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [BioSourceType]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [growth condition]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
CHIP_303_B	30	days	sowing	apical meristem	EFO	EFO_0000267	wild_type	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_303_B	P-MEXP-16736	P-MEXP-16737	E_CHIP_303_B	total_RNA	P-MEXP-16738	L_CHIP_303_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_303_B	A-AFFY-2	P-AFFY-6	shifted to long day	wild_type	H_CHIP_303_B	Chip_303_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_304_A	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_304_A	P-MEXP-16736	P-MEXP-16737	E_CHIP_304_A	total_RNA	P-MEXP-16738	L_CHIP_304_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_304_A	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant	H_CHIP_304_A	Chip_304_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_302_B	30	days	sowing	apical meristem	EFO	EFO_0000267	wild_type	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16739	CHIP_302_B	P-MEXP-16736	P-MEXP-16737	E_CHIP_302_B	total_RNA	P-MEXP-16738	L_CHIP_302_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_302_B	A-AFFY-2	P-AFFY-6	short day	wild_type	H_CHIP_302_B	Chip_302_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_308_B	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant; Leanworthia crassa LFY genomic locus	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_308_B	P-MEXP-16736	P-MEXP-16737	E_CHIP_308_B	total_RNA	P-MEXP-16738	L_CHIP_308_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_308_B	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant; Leanworthia crassa LFY genomic locus	H_CHIP_308_B	Chip_308_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_303_A	30	days	sowing	apical meristem	EFO	EFO_0000267	wild_type	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_303_A	P-MEXP-16736	P-MEXP-16737	E_CHIP_303_A	total_RNA	P-MEXP-16738	L_CHIP_303_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_303_A	A-AFFY-2	P-AFFY-6	shifted to long day	wild_type	H_CHIP_303_A	Chip_303_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_305_B	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant; arabidopsis LFY genomic locus	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_305_B	P-MEXP-16736	P-MEXP-16737	E_CHIP_305_B	total_RNA	P-MEXP-16738	L_CHIP_305_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_305_B	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant; arabidopsis LFY genomic locus	H_CHIP_305_B	Chip_305_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_308_A	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant; Leanworthia crassa LFY genomic locus	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_308_A	P-MEXP-16736	P-MEXP-16737	E_CHIP_308_A	total_RNA	P-MEXP-16738	L_CHIP_308_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_308_A	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant; Leanworthia crassa LFY genomic locus	H_CHIP_308_A	Chip_308_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_302_A	30	days	sowing	apical meristem	EFO	EFO_0000267	wild_type	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16739	CHIP_302_A	P-MEXP-16736	P-MEXP-16737	E_CHIP_302_A	total_RNA	P-MEXP-16738	L_CHIP_302_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_302_A	A-AFFY-2	P-AFFY-6	short day	wild_type	H_CHIP_302_A	Chip_302_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_304_B	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_304_B	P-MEXP-16736	P-MEXP-16737	E_CHIP_304_B	total_RNA	P-MEXP-16738	L_CHIP_304_B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_304_B	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant	H_CHIP_304_B	Chip_304_B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
CHIP_305_A	30	days	sowing	apical meristem	EFO	EFO_0000267	lfy-6 mutant; arabidopsis LFY genomic locus	adult	EFO	EFO_0001272	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Landsberg erecta	frozen_sample	P-MEXP-16733	P-MEXP-16735	CHIP_305_A	P-MEXP-16736	P-MEXP-16737	E_CHIP_305_A	total_RNA	P-MEXP-16738	L_CHIP_305_A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_CHIP_305_A	A-AFFY-2	P-AFFY-6	shifted to long day	lfy-6 mutant; arabidopsis LFY genomic locus	H_CHIP_305_A	Chip_305_A.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-682-processed-data-1343525027.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-682/E-MEXP-682.processed.1.zip
