Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]
GSE12403GSM311291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	linear-cotyledon stage	Arabidopsis linear-cotyledon stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311291 sample	P-G12403-4	GSE12403GSM311291 extract	total_RNA	P-G12403-3	GSE12403GSM311291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 1	GSM311291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	chalazal endosperm
GSE12403GSM311287	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	linear-cotyledon stage	Arabidopsis linear-cotyledon stage embryo proper captured by LCM:  Embryo proper collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311287 sample	P-G12403-4	GSE12403GSM311287 extract	total_RNA	P-G12403-3	GSE12403GSM311287 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 1	GSM311287.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	embryo proper
GSE12403GSM311292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	linear-cotyledon stage	Arabidopsis linear-cotyledon stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311292 sample	P-G12403-4	GSE12403GSM311292 extract	total_RNA	P-G12403-3	GSE12403GSM311292 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 2	GSM311292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	chalazal endosperm
GSE12403GSM311294	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	linear-cotyledon stage	Arabidopsis linear-cotyledon stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311294 sample	P-G12403-4	GSE12403GSM311294 extract	total_RNA	P-G12403-3	GSE12403GSM311294 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 2	GSM311294.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	chalazal seed coat
GSE12403GSM311293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	linear-cotyledon stage	Arabidopsis linear-cotyledon stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311293 sample	P-G12403-4	GSE12403GSM311293 extract	total_RNA	P-G12403-3	GSE12403GSM311293 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 1	GSM311293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	chalazal seed coat
GSE12403GSM311296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	general seed coat	linear-cotyledon stage	Arabidopsis linear-cotyledon stage general seed coat captured by LCM:  General seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311296 sample	P-G12403-4	GSE12403GSM311296 extract	total_RNA	P-G12403-3	GSE12403GSM311296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 2	GSM311296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	general seed coat
GSE12403GSM311288	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	linear-cotyledon stage	Arabidopsis linear-cotyledon stage embryo proper captured by LCM:  Embryo proper collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311288 sample	P-G12403-4	GSE12403GSM311288 extract	total_RNA	P-G12403-3	GSE12403GSM311288 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the linear-cotyledon stage, biological replicate 2	GSM311288.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	embryo proper
GSE12403GSM311290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cellularized endosperm	linear-cotyledon stage	Arabidopsis linear-cotyledon stage cellularized endosperm captured by LCM:  Cellularized endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311290 sample	P-G12403-4	GSE12403GSM311290 extract	total_RNA	P-G12403-3	GSE12403GSM311290 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 2	GSM311290.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	cellularized endosperm
GSE12403GSM311295	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	general seed coat	linear-cotyledon stage	Arabidopsis linear-cotyledon stage general seed coat captured by LCM:  General seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311295 sample	P-G12403-4	GSE12403GSM311295 extract	total_RNA	P-G12403-3	GSE12403GSM311295 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the linear-cotyledon stage, biological replicate 1	GSM311295.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	general seed coat
GSE12403GSM311289	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cellularized endosperm	linear-cotyledon stage	Arabidopsis linear-cotyledon stage cellularized endosperm captured by LCM:  Cellularized endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12403-2	P-G12403-1	GSE12403GSM311289 sample	P-G12403-4	GSE12403GSM311289 extract	total_RNA	P-G12403-3	GSE12403GSM311289 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) cellularized endosperm at the linear-cotyledon stage, biological replicate 1	GSM311289.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12403-processed-data-1679275346.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12403/E-GEOD-12403.processed.1.zip	cellularized endosperm
