Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE5638GSM131801	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-1	GSE5638GSM131801 sample	GSE5638GSM131801 extract	total_RNA	GSE5638GSM131801 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A4_3-2hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A4_3-2hr_Rep1_ATH1	GSM131801.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	2	hour
GSE5638GSM131811	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-10	GSE5638GSM131811 sample	GSE5638GSM131811 extract	total_RNA	GSE5638GSM131811 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A38_3-12hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A38_3-12hr_Rep2_ATH1	GSM131811.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	12	hour
GSE5638GSM131812	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-11	GSE5638GSM131812 sample	GSE5638GSM131812 extract	total_RNA	GSE5638GSM131812 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A42_3-24hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A42_3-24hr_Rep2_ATH1	GSM131812.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	24	hour
GSE5638GSM131813	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-12	GSE5638GSM131813 sample	GSE5638GSM131813 extract	total_RNA	GSE5638GSM131813 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A46_3-48hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A46_3-48hr_Rep2_ATH1	GSM131813.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	48	hour
GSE5638GSM131814	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-13	GSE5638GSM131814 sample	GSE5638GSM131814 extract	total_RNA	GSE5638GSM131814 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A50_3-96hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A50_3-96hr_Rep2_ATH1	GSM131814.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	96	hour
GSE5638GSM131815	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-14	GSE5638GSM131815 sample	GSE5638GSM131815 extract	total_RNA	GSE5638GSM131815 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A56_3-2hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A56_3-2hr_Rep3_ATH1	GSM131815.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	2	hour
GSE5638GSM131816	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-15	GSE5638GSM131816 sample	GSE5638GSM131816 extract	total_RNA	GSE5638GSM131816 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A60_3-4hr-Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A60_3-4hr-Rep3_ATH1	GSM131816.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	4	hour
GSE5638GSM131817	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-16	GSE5638GSM131817 sample	GSE5638GSM131817 extract	total_RNA	GSE5638GSM131817 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A64_3-12hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A64_3-12hr_Rep3_ATH1	GSM131817.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	12	hour
GSE5638GSM131818	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-17	GSE5638GSM131818 sample	GSE5638GSM131818 extract	total_RNA	GSE5638GSM131818 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A68_3-24hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A68_3-24hr_Rep3_ATH1	GSM131818.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	24	hour
GSE5638GSM131819	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-18	GSE5638GSM131819 sample	GSE5638GSM131819 extract	total_RNA	GSE5638GSM131819 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A72_3-48hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A72_3-48hr_Rep3_ATH1	GSM131819.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	48	hour
