Source Name	Comment [Sample_characteristics]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM362095 1	T-DNA insertion in ACS2,4,5,6,7,9 and miRNA for ACS8 and 11	n/a	10-day old, light grown seedlings	miR mutant, biological rep3 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362095 extract 1	total RNA	P-GSE14496-4	GSM362095 LE 1	biotin	P-GSE14496-5	GSM362095	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362095.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362095_sample_table.txt norm	GSM362095_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362094 1	T-DNA insertion in ACS2,4,5,6,7,9 and miRNA for ACS8 and 11	n/a	10-day old, light grown seedlings	miR mutant, biological rep2 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362094 extract 1	total RNA	P-GSE14496-4	GSM362094 LE 1	biotin	P-GSE14496-5	GSM362094	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362094.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362094_sample_table.txt norm	GSM362094_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362093 1	T-DNA insertion in ACS2,4,5,6,7,9 and miRNA for ACS8 and 11	n/a	10-day old, light grown seedlings	miR mutant, biological rep1 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362093 extract 1	total RNA	P-GSE14496-4	GSM362093 LE 1	biotin	P-GSE14496-5	GSM362093	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362093.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362093_sample_table.txt norm	GSM362093_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362092 1	T-DNA insertion in ACS1,2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hepta mutant, biological rep3 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362092 extract 1	total RNA	P-GSE14496-4	GSM362092 LE 1	biotin	P-GSE14496-5	GSM362092	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362092.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362092_sample_table.txt norm	GSM362092_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362091 1	T-DNA insertion in ACS1,2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hepta mutant, biological rep2 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362091 extract 1	total RNA	P-GSE14496-4	GSM362091 LE 1	biotin	P-GSE14496-5	GSM362091	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362091.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362091_sample_table.txt norm	GSM362091_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362090 1	T-DNA insertion in ACS1,2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hepta mutant, biological rep1 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362090 extract 1	total RNA	P-GSE14496-4	GSM362090 LE 1	biotin	P-GSE14496-5	GSM362090	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362090.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362090_sample_table.txt norm	GSM362090_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362089 1	T-DNA insertion in ACS2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hexa mutant, biological rep3 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362089 extract 1	total RNA	P-GSE14496-4	GSM362089 LE 1	biotin	P-GSE14496-5	GSM362089	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362089.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362089_sample_table.txt norm	GSM362089_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362088 1	T-DNA insertion in ACS2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hexa mutant, biological rep2 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362088 extract 1	total RNA	P-GSE14496-4	GSM362088 LE 1	biotin	P-GSE14496-5	GSM362088	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362088.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362088_sample_table.txt norm	GSM362088_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362087 1	T-DNA insertion in ACS2,4,5,6,7 and 9	n/a	10-day old, light grown seedlings	hexa mutant, biological rep1 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362087 extract 1	total RNA	P-GSE14496-4	GSM362087 LE 1	biotin	P-GSE14496-5	GSM362087	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362087.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362087_sample_table.txt norm	GSM362087_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
GSM362086 1	T-DNA insertion in ACS2,4,5,6 and9	n/a	10-day old, light grown seedlings	penta mutant, biological rep3 (higher order mutant)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-GSE14496-2	P-GSE14496-3	GSM362086 extract 1	total RNA	P-GSE14496-4	GSM362086 LE 1	biotin	P-GSE14496-5	GSM362086	A-AFFY-2	  	P-GSE14496-6	P-GSE14496-7	GSM362086.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.raw.1.zip	P-GSE14496-1	GSM362086_sample_table.txt norm	GSM362086_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14496/E-GEOD-14496.processed.1.zip
