Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[infection]	FactorValue[time]	Unit[time unit]
GSE13739GSM345326	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 0h:  Gene expression data from 0h uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 0h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345326 sample	P-G13739-4	GSE13739GSM345326 extract	total_RNA	P-G13739-3	GSE13739GSM345326 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 0h UI, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345326.CEL	GSM345326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	0	day
GSE13739GSM345327	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 0h:  Gene expression data from 0h uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 0h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345327 sample	P-G13739-4	GSE13739GSM345327 extract	total_RNA	P-G13739-3	GSE13739GSM345327 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 0h UI, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345327.CEL	GSM345327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	0	day
GSE13739GSM345325	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 0h:  Gene expression data from 0h uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 0h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345325 sample	P-G13739-4	GSE13739GSM345325 extract	total_RNA	P-G13739-3	GSE13739GSM345325 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 0h UI, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345325.CEL	GSM345325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	0	day
GSE13739GSM345328	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf uninfected 0h:  Gene expression data from 0h uninfected mutant whole mature leaves. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf uninfected 0h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345328 sample	P-G13739-4	GSE13739GSM345328 extract	total_RNA	P-G13739-3	GSE13739GSM345328 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 0h UI, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345328.CEL	GSM345328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	none	0	day
GSE13739GSM345300	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 0h:  Gene expression data from 0h uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 0h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345300 sample	P-G13739-4	GSE13739GSM345300 extract	total_RNA	P-G13739-3	GSE13739GSM345300 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 0h UI, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345300.CEL	GSM345300.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	0	day
GSE13739GSM345298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 0h:  Gene expression data from 0h uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 0h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345298 sample	P-G13739-4	GSE13739GSM345298 extract	total_RNA	P-G13739-3	GSE13739GSM345298 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 0h UI, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345298.CEL	GSM345298.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	0	day
GSE13739GSM345297	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 0h:  Gene expression data from 0h uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 0h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345297 sample	P-G13739-4	GSE13739GSM345297 extract	total_RNA	P-G13739-3	GSE13739GSM345297 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 0h UI, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345297.CEL	GSM345297.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	0	day
GSE13739GSM345299	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf uninfected 0h:  Gene expression data from 0h uninfected wild type whole mature leaves. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf uninfected 0h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345299 sample	P-G13739-4	GSE13739GSM345299 extract	total_RNA	P-G13739-3	GSE13739GSM345299 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 0h UI, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345299.CEL	GSM345299.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	none	0	day
GSE13739GSM345331	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from mutant whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 6h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345331 sample	P-G13739-4	GSE13739GSM345331 extract	total_RNA	P-G13739-3	GSE13739GSM345331 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 6hpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345331.CEL	GSM345331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	0.25	day
GSE13739GSM345329	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from mutant whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 6h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345329 sample	P-G13739-4	GSE13739GSM345329 extract	total_RNA	P-G13739-3	GSE13739GSM345329 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 6hpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345329.CEL	GSM345329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	0.25	day
