Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Comment[stock code]	Comment [Sample_description]	Comment [Sample_source_name]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[organism part]	FactorValue[genotype]
GSM507068 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	lug-3 mutant	  	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, flowers	P-GSE20227-2	P-GSE20227-3	GSM507068 extract 1	total RNA	P-GSE20227-4	GSM507068 LE 1	biotin	P-GSE20227-5	GSM507068	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	  	  	GSM507068.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507068_sample_table.txt norm	GSM507068_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	lug-3 mutant
GSM507067 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	lug-3 mutant	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, flowers	P-GSE20227-2	P-GSE20227-3	GSM507067 extract 1	total RNA	P-GSE20227-4	GSM507067 LE 1	biotin	P-GSE20227-5	GSM507067	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507067.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507067_sample_table.txt norm	GSM507067_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	lug-3 mutant
GSM507066 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	lug-3 mutant	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, flowers	P-GSE20227-2	P-GSE20227-3	GSM507066 extract 1	total RNA	P-GSE20227-4	GSM507066 LE 1	biotin	P-GSE20227-5	GSM507066	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507066.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507066_sample_table.txt norm	GSM507066_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	lug-3 mutant
GSM507065 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	wild type	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) Wild type plants from the Landsberg erecta ecotype (Ler-0) have blunt siliques, upright stems, and bunched flowers; short petioles, usually upright stems and a compact inflorescence.	Ler-0 background, WT, flowers	P-GSE20227-2	P-GSE20227-3	GSM507065 extract 1	total RNA	P-GSE20227-4	GSM507065 LE 1	biotin	P-GSE20227-5	GSM507065	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507065.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507065_sample_table.txt norm	GSM507065_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	wild type
GSM507064 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	wild type	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) Wild type plants from the Landsberg erecta ecotype (Ler-0) have blunt siliques, upright stems, and bunched flowers; short petioles, usually upright stems and a compact inflorescence.	Ler-0 background, WT, flowers	P-GSE20227-2	P-GSE20227-3	GSM507064 extract 1	total RNA	P-GSE20227-4	GSM507064 LE 1	biotin	P-GSE20227-5	GSM507064	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507064.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507064_sample_table.txt norm	GSM507064_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	wild type
GSM507063 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	FL.04 end of flowering stage	flower	wild type	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) Wild type plants from the Landsberg erecta ecotype (Ler-0) have blunt siliques, upright stems, and bunched flowers; short petioles, usually upright stems and a compact inflorescence.	Ler-0 background, WT, flowers	P-GSE20227-2	P-GSE20227-3	GSM507063 extract 1	total RNA	P-GSE20227-4	GSM507063 LE 1	biotin	P-GSE20227-5	GSM507063	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507063.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507063_sample_table.txt norm	GSM507063_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	flower	wild type
GSM507062 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	rosette growth complete stage	rosette leaf	lug-3 mutant	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) every two days with tap water lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, leaves	P-GSE20227-2	P-GSE20227-3	GSM507062 extract 1	total RNA	P-GSE20227-4	GSM507062 LE 1	biotin	P-GSE20227-5	GSM507062	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507062.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507062_sample_table.txt norm	GSM507062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	rosette leaf	lug-3 mutant
GSM507061 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	rosette growth complete stage	rosette leaf	lug-3 mutant	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) every two days with tap water lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, leaves	P-GSE20227-2	P-GSE20227-3	GSM507061 extract 1	total RNA	P-GSE20227-4	GSM507061 LE 1	biotin	P-GSE20227-5	GSM507061	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	P-GSE20227-8	P-GSE20227-10	GSM507061_truncated.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507061_sample_table.txt norm	GSM507061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	rosette leaf	lug-3 mutant
GSM507060 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	rosette growth complete stage	rosette leaf	lug-3 mutant	 	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions. Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed. Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) every two days with tap water lug-3 flowers show characteristic class A floral homeotic gene mutation defects ; sepals are staminoid/carpeloid, second whorl petals are either staminoid or absent and third-whorl stamens are fewer in number. The fourth whorl gynoecium exhibits unfused carpels with valves forming hornlike protrusions at the apex. These defects in floral organ identity and floral organ number were previously explained to be caused by ectopic expression of AG mRNA. AG independent defects are displayed by LUG mutants, and include abnormal carpel and ovule development, reduced female and male fertility, and narrower leaves and floral organs, suggesting that LUG has a wider role in floral development and a function in vegetative development. Further defects in vegetative development include first leaves variable in size between individuals, in the majority of the cases being smaller than wild type, possibly as a result of a retarded seedling development. Mature rosette leaves generally have longer petioles than wild type leaves. Plants are shorter with increased shoot branching, and develop between 6-10 lateral inflorescences from the rosette, which result in the development of many more inflorescences than wild type plants.	lug-3 in Ler-0 background, leaves	P-GSE20227-2	P-GSE20227-3	GSM507060 extract 1	total RNA	P-GSE20227-4	GSM507060 LE 1	biotin	P-GSE20227-5	GSM507060	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507060.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507060_sample_table.txt norm	GSM507060_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	rosette leaf	lug-3 mutant
GSM507059 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler-0	rosette growth complete stage	rosette leaf	wild type	NW20	Seeds were sown in soil, incubated at 4°C for 4 days in the dark, and then placed in constant conditions Seeds were surface sterilised 10 minutes with 50% bleach, 0.2% SDS and rinsed 5 times with sterile water before sowed Growth Room Commercial soil Levington M2 professional growing medium from The Scotts company (UK) Ltd (Paper Mill lane, Bramford, Ipswich, Suffolk, IP8 4BZ) every two days with tap water Wild type plants from the Landsberg erecta ecotype (Ler-0) have blunt siliques, upright stems, and bunched flowers; short petioles, usually upright stems and a compact inflorescence	Ler-0 background, WT, leaves	P-GSE20227-2	P-GSE20227-3	GSM507059 extract 1	total RNA	P-GSE20227-4	GSM507059 LE 1	biotin	P-GSE20227-5	GSM507059	A-AFFY-2	P-GSE20227-6	P-GSE20227-7	 	 	GSM507059.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.raw.1.zip	P-GSE20227-1	GSM507059_sample_table.txt norm	GSM507059_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20227/E-GEOD-20227.processed.1.zip	rosette leaf	wild type
