Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[infect]	FactorValue[time]	Unit[time unit]
GSE5684GSM133025	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-1	GSE5684GSM133025 sample	GSE5684GSM133025 extract	total_RNA	GSE5684GSM133025 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC181-1	A-AFFY-2	P-AFFY-6	BC181-1	GSM133025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	18	hour
GSE5684GSM133026	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-1	GSE5684GSM133026 sample	GSE5684GSM133026 extract	total_RNA	GSE5684GSM133026 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC181-2	A-AFFY-2	P-AFFY-6	BC181-2	GSM133026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	18	hour
GSE5684GSM133027	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-1	GSE5684GSM133027 sample	GSE5684GSM133027 extract	total_RNA	GSE5684GSM133027 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC182-1	A-AFFY-2	P-AFFY-6	BC182-1	GSM133027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	18	hour
GSE5684GSM133028	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-2	GSE5684GSM133028 sample	GSE5684GSM133028 extract	total_RNA	GSE5684GSM133028 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC481-1	A-AFFY-2	P-AFFY-6	BC481-1	GSM133028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	48	hour
GSE5684GSM133030	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-2	GSE5684GSM133030 sample	GSE5684GSM133030 extract	total_RNA	GSE5684GSM133030 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC482-2	A-AFFY-2	P-AFFY-6	BC482-2	GSM133030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	48	hour
GSE5684GSM133029	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-2	GSE5684GSM133029 sample	GSE5684GSM133029 extract	total_RNA	GSE5684GSM133029 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	BC482-1	A-AFFY-2	P-AFFY-6	BC482-1	GSM133029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	Botrytis cinerea	48	hour
GSE5684GSM133032	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-3	GSE5684GSM133032 sample	GSE5684GSM133032 extract	total_RNA	GSE5684GSM133032 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CT181-2	A-AFFY-2	P-AFFY-6	CT181-2	GSM133032.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	none	18	hour
GSE5684GSM133031	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-3	GSE5684GSM133031 sample	GSE5684GSM133031 extract	total_RNA	GSE5684GSM133031 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CT181-1	A-AFFY-2	P-AFFY-6	CT181-1	GSM133031.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	none	18	hour
GSE5684GSM133033	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-3	GSE5684GSM133033 sample	GSE5684GSM133033 extract	total_RNA	GSE5684GSM133033 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CT182-1	A-AFFY-2	P-AFFY-6	CT182-1	GSM133033.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	none	18	hour
GSE5684GSM133035	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Stock Code: N6673; Developmental stage: 4-week old rosette-stage plants; Tissue: leaves	Col-0	4	week	rosette stage	leaf	P-G5684-4	GSE5684GSM133035 sample	GSE5684GSM133035 extract	total_RNA	GSE5684GSM133035 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CT482-1	A-AFFY-2	P-AFFY-6	CT482-1	GSM133035.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.raw.1.zip	E-GEOD-5684-processed-data-1628533381.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5684/E-GEOD-5684.processed.1.zip	none	48	hour
