Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [StrainOrLine]	Protocol REF	Parameter Value [Media]	Parameter Value [Light]	Parameter Value [Genetic Background]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [ORGANISM PART]	FactorValue[STRAIN OR LINE]	FactorValue[GENETIC BACKGROUND]
Birnbaum_1-8_StageII-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.30 mm from the root tip	Stage II	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-8_StageII-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-8_StageII-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-8_StageII-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.36.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-8_StageII-1_Rep1_ATH1	Birnbaum_1-8_StageII-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.30 mm from the root tip	Stage II	Columbia
Birnbaum_1-12_StageIII-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.45 to 2 mm from the root tip	Stage III	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-12_StageIII-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-12_StageIII-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-12_StageIII-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.49.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-12_StageIII-1_Rep1_ATH1	Birnbaum_1-12_StageIII-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.45 to 2 mm from the root tip	Stage III	Columbia
Birnbaum_1-3_src5-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Landsberg	Birnbaum_1-3_src5-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-3_src5-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-3_src5-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.20.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-3_src5-3_Rep3_ATH1	Birnbaum_1-3_src5-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	Landsberg
Birnbaum_1-18_wol-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root stele to elongation zone	WOL:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-18_wol-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-18_wol-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-18_wol-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.69.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-18_wol-3_Rep3_ATH1	Birnbaum_1-18_wol-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	root stele to elongation zone	WOL:GFP	Columbia
Birnbaum_1-13_StageIII-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.45 to 2 mm from the root tip	Stage III	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-13_StageIII-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-13_StageIII-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-13_StageIII-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.53.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-13_StageIII-2_Rep2_ATH1	Birnbaum_1-13_StageIII-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.45 to 2 mm from the root tip	Stage III	Columbia
Birnbaum_1-11_StageII-4_Rep4_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.30 mm from the root tip	Stage II	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-11_StageII-4_Rep4_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-11_StageII-4_Rep4_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-11_StageII-4_Rep4_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.46.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-11_StageII-4_Rep4_ATH1	Birnbaum_1-11_StageII-4_Rep4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.30 mm from the root tip	Stage II	Columbia
Birnbaum_1-9_StageII-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.30 mm from the root tip	Stage II	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-9_StageII-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-9_StageII-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-9_StageII-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.40.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-9_StageII-2_Rep2_ATH1	Birnbaum_1-9_StageII-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.30 mm from the root tip	Stage II	Columbia
Birnbaum_1-21_LRC-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lateral root cap and epidermis	J3411:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	C24	Birnbaum_1-21_LRC-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-21_LRC-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-21_LRC-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.10.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-21_LRC-3_Rep3_ATH1	Birnbaum_1-21_LRC-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	lateral root cap and epidermis	J3411:GFP	C24
Birnbaum_1-10_StageII-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.30 mm from the root tip	Stage II	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-10_StageII-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-10_StageII-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-10_StageII-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.43.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-10_StageII-3_Rep3_ATH1	Birnbaum_1-10_StageII-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.30 mm from the root tip	Stage II	Columbia
Birnbaum_1-19_LRC-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lateral root cap and epidermis	J3411:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	C24	Birnbaum_1-19_LRC-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-19_LRC-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-19_LRC-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.3.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-19_LRC-1_Rep1_ATH1	Birnbaum_1-19_LRC-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	lateral root cap and epidermis	J3411:GFP	C24
