Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[growth condition]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSM743213 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	pif3 seedlings at D1, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743213 extract 1	total RNA	P-GSE30030-4	GSM743213 LE 1	Biotin	P-GSE30030-5	GSM743213	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743213.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743213_sample_table.txt norm	GSM743213_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	pif3 mutant
GSM743212 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	pif3 seedlings at D1, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743212 extract 1	total RNA	P-GSE30030-4	GSM743212 LE 1	Biotin	P-GSE30030-5	GSM743212	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743212.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743212_sample_table.txt norm	GSM743212_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	pif3 mutant
GSM743211 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	pif3 seedlings at D1, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743211 extract 1	total RNA	P-GSE30030-4	GSM743211 LE 1	Biotin	P-GSE30030-5	GSM743211	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743211.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743211_sample_table.txt norm	GSM743211_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	pif3 mutant
GSM743210 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	pif3 seedlings at D0, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743210 extract 1	total RNA	P-GSE30030-4	GSM743210 LE 1	Biotin	P-GSE30030-5	GSM743210	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743210.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743210_sample_table.txt norm	GSM743210_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	pif3 mutant
GSM743209 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	pif3 seedlings at D0, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743209 extract 1	total RNA	P-GSE30030-4	GSM743209 LE 1	Biotin	P-GSE30030-5	GSM743209	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743209.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743209_sample_table.txt norm	GSM743209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	pif3 mutant
GSM743208 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	pif3 seedlings at D0, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	pif3 mutant	seedling	P-GSE30030-2	P-GSE30030-3	GSM743208 extract 1	total RNA	P-GSE30030-4	GSM743208 LE 1	Biotin	P-GSE30030-5	GSM743208	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743208.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743208_sample_table.txt norm	GSM743208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	pif3 mutant
GSM743207 1	Gene expression data from seedlings grown in dark for 4 days+18h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 18 hour  in Red continuous light	wild type seedlings at R18, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 18 hours in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743207 extract 1	total RNA	P-GSE30030-4	GSM743207 LE 1	Biotin	P-GSE30030-5	GSM743207	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743207.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743207_sample_table.txt norm	GSM743207_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 18 hours in red continuous light	wild type
GSM743206 1	Gene expression data from seedlings grown in dark for 4 days+18h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 18 hour  in Red continuous light	wild type seedlings at R18, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 18 hours in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743206 extract 1	total RNA	P-GSE30030-4	GSM743206 LE 1	Biotin	P-GSE30030-5	GSM743206	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743206_sample_table.txt norm	GSM743206_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 18 hours in red continuous light	wild type
GSM743205 1	Gene expression data from seedlings grown in dark for 4 days+18h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 18 hour  in Red continuous light	wild type seedlings at R18, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 18 hours in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743205 extract 1	total RNA	P-GSE30030-4	GSM743205 LE 1	Biotin	P-GSE30030-5	GSM743205	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743205.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743205_sample_table.txt norm	GSM743205_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 18 hours in red continuous light	wild type
GSM743204 1	Gene expression data from seedlings grown in dark for 4 days+1h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 1 hour  in Red continuous light	wild type seedlings at R1, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 1 hour in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743204 extract 1	total RNA	P-GSE30030-4	GSM743204 LE 1	Biotin	P-GSE30030-5	GSM743204	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743204.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743204_sample_table.txt norm	GSM743204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 1 hour in red continuous light	wild type
