Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	FactorValue [organism part]	Term Source REF	Term Accession Number
GSM1504066 1	excised meristem only as control for jkd meristem	meristem only of jkd plants	shuai-JT3_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504066 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504066 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504066	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504066_shuai-JT3_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504066_sample_table.txt norm	GSM1504066_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504065 1	excised meristem only as control for jkd meristem	meristem only of jkd plants	shuai-JT2_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504065 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504065 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504065	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504065_shuai-JT2_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504065_sample_table.txt norm	GSM1504065_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504064 1	excised meristem only as control for jkd meristem	meristem only of jkd plants	shuai-JT1_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504064 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504064 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504064	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504064_shuai-JT1_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504064_sample_table.txt norm	GSM1504064_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504063 1	excised meristem only as control for jkd meristem	meristem only of WT plants	Shuai-CT3_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504063 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504063 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504063	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504063_Shuai-CT3_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504063_sample_table.txt norm	GSM1504063_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504062 1	excised meristem only as control for jkd meristem	meristem only of WT plants	Shuai-CT2_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504062 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504062 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504062	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504062_Shuai-CT2_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504062_sample_table.txt norm	GSM1504062_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504061 1	excised meristem only as control for jkd meristem	meristem only of WT plants	Shuai-CT1_WR	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	meristem	EFO	EFO_0000990	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504061 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504061 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504061	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504061_Shuai-CT1_WR.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504061_sample_table.txt norm	GSM1504061_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	meristem	EFO	EFO_0000990
GSM1504060 1	harvested separately for a QC-specific cell type transcriptome	wild type sorted QC using WOX5 promoter	Shuai WOX5-3	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504060 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504060 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504060	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504060_Shuai_WOX5-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504060_sample_table.txt norm	GSM1504060_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504059 1	harvested separately for a QC-specific cell type transcriptome	wild type sorted QC using WOX5 promoter	Shuai WOX5-2	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504059 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504059 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504059	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504059_Shuai_WOX5-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504059_sample_table.txt norm	GSM1504059_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504058 1	harvested separately for a QC-specific cell type transcriptome	wild type sorted QC using WOX5 promoter	Shuai WOX5-1	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504058 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504058 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504058	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504058_Shuai_WOX5-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504058_sample_table.txt norm	GSM1504058_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504057 1	treated with 2,4-D for four days	pSCR::GFP sorted cells; 96hr auxin treatment	SCR 96hr-S3	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504057 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504057 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504057	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504057_SCR_96hr-S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504057_sample_table.txt norm	GSM1504057_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
