Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM738883 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed solely of guard cells	scrm-D seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738883 extract 1	total RNA	P-GSE29814-5	GSM738883 LE 1	biotin	P-GSE29814-6	GSM738883	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738883_R4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738883_sample_table.txt norm	GSM738883_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D
GSM738882 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed solely of guard cells	scrm-D seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738882 extract 1	total RNA	P-GSE29814-5	GSM738882 LE 1	biotin	P-GSE29814-6	GSM738882	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738882_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738882_sample_table.txt norm	GSM738882_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D
GSM738881 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed solely of guard cells	scrm-D seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738881 extract 1	total RNA	P-GSE29814-5	GSM738881 LE 1	biotin	P-GSE29814-6	GSM738881	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738881_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738881_sample_table.txt norm	GSM738881_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D
GSM738880 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed almost entirely of meristemoids	scrm-D;mute seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D;mute	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738880 extract 1	total RNA	P-GSE29814-5	GSM738880 LE 1	biotin	P-GSE29814-6	GSM738880	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738880_M4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738880_sample_table.txt norm	GSM738880_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D;mute
GSM738879 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed almost entirely of meristemoids	scrm-D;mute seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D;mute	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738879 extract 1	total RNA	P-GSE29814-5	GSM738879 LE 1	biotin	P-GSE29814-6	GSM738879	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738879_M3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738879_sample_table.txt norm	GSM738879_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D;mute
GSM738878 1	gene expression data from scrm-D;mute seedlings that have an epidermis solely composed almost entirely of meristemoids	scrm-D;mute seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	scrm-D;mute	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738878 extract 1	total RNA	P-GSE29814-5	GSM738878 LE 1	biotin	P-GSE29814-6	GSM738878	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738878_M2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738878_sample_table.txt norm	GSM738878_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	scrm-D;mute
GSM738877 1	gene expression data from spch seedlings that have an epidermis solely composed of pavement cells	spch seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	spch	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738877 extract 1	total RNA	P-GSE29814-5	GSM738877 LE 1	biotin	P-GSE29814-6	GSM738877	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738877_S4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738877_sample_table.txt norm	GSM738877_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	spch
GSM738876 1	gene expression data from spch seedlings that have an epidermis solely composed of pavement cells	spch seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	spch	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738876 extract 1	total RNA	P-GSE29814-5	GSM738876 LE 1	biotin	P-GSE29814-6	GSM738876	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738876_S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738876_sample_table.txt norm	GSM738876_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	spch
GSM738875 1	gene expression data from spch seedlings that have an epidermis solely composed of pavement cells	spch seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	spch	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738875 extract 1	total RNA	P-GSE29814-5	GSM738875 LE 1	biotin	P-GSE29814-6	GSM738875	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738875_S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738875_sample_table.txt norm	GSM738875_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	spch
GSM738874 1	gene expression data from Col-0 WT seedlings	Col-0 WT seedling at 5 dpg	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5	day	germination	Col-0	wild type	seedling	whole organism	P-GSE29814-2	P-GSE29814-3	P-GSE29814-4	GSM738874 extract 1	total RNA	P-GSE29814-5	GSM738874 LE 1	biotin	P-GSE29814-6	GSM738874	A-AFFY-2	P-GSE29814-7	P-GSE29814-8	GSM738874_C4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.raw.1.zip	P-GSE29814-1	GSM738874_sample_table.txt norm	GSM738874_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29814/E-GEOD-29814.processed.1.zip	wild_type
