Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[germplasm]	Characteristics[genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE6158GSM142687	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-01-grevi-CC1_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.99 Background Stdev (float) = 1.37 Background Max (float) = 99.1 Background Min (float) = 90.4 Noise Avg (float) = 5.75 Noise Stdev (float) = 0.24 Noise Max (float) = 6.4 Noise Min (float) = 5.1 RawQ (float) = 3.82 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 267 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A1-grevi-CC1.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-1	GSE6158GSM142687 sample	P-G6158-3	GSE6158GSM142687 extract	total_RNA	P-G6158-2	GSE6158GSM142687 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A1-grevi-CC1	A-AFFY-2	P-AFFY-6	MH001_ATH1_A1-grevi-CC1	GSM142687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142692	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	acn1-2	Greville_A-06-grevi-AC3_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 100.42 Background Stdev (float) = 2.47 Background Max (float) = 106.6 Background Min (float) = 92.5 Noise Avg (float) = 6.14 Noise Stdev (float) = 0.62 Noise Max (float) = 9.9 Noise Min (float) = 5.2 RawQ (float) = 3.85 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 375 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A6-grevi-AC3.DAT. OrganismPart: whole seedling; Ecotype: col-7; GeneticModification: T-DNA insert into At3g16910; NASC:StockCode:; StrainOrLine: ACN1-2	P-G6158-4	GSE6158GSM142692 sample	P-G6158-3	GSE6158GSM142692 extract	total_RNA	P-G6158-2	GSE6158GSM142692 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A6-grevi-AC3	A-AFFY-2	P-AFFY-6	MH001_ATH1_A6-grevi-AC3	GSM142692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	acn1-2
GSE6158GSM142695	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-09-grevi-CT3_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.17 Background Stdev (float) = 2.86 Background Max (float) = 104.3 Background Min (float) = 88.3 Noise Avg (float) = 6.04 Noise Stdev (float) = 0.36 Noise Max (float) = 7.4 Noise Min (float) = 5.2 RawQ (float) = 3.71 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 395 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A9-grevi-CT3.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-5	GSE6158GSM142695 sample	P-G6158-3	GSE6158GSM142695 extract	total_RNA	P-G6158-2	GSE6158GSM142695 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A9-grevi-CT3	A-AFFY-2	P-AFFY-6	MH001_ATH1_A9-grevi-CT3	GSM142695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142689	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-03-grevi-CC3_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 96.32 Background Stdev (float) = 1.96 Background Max (float) = 102.6 Background Min (float) = 91.6 Noise Avg (float) = 5.85 Noise Stdev (float) = 0.25 Noise Max (float) = 6.6 Noise Min (float) = 5.0 RawQ (float) = 3.73 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 237 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A3-grevi-CC3.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-1	GSE6158GSM142689 sample	P-G6158-3	GSE6158GSM142689 extract	total_RNA	P-G6158-2	GSE6158GSM142689 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A3-grevi-CC3	A-AFFY-2	P-AFFY-6	MH001_ATH1_A3-grevi-CC3	GSM142689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142688	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-02-grevi-CC2_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 103.61 Background Stdev (float) = 2.37 Background Max (float) = 111.7 Background Min (float) = 99.2 Noise Avg (float) = 6.60 Noise Stdev (float) = 0.40 Noise Max (float) = 7.6 Noise Min (float) = 5.6 RawQ (float) = 4.12 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 303 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A2-grevi-CC2.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-1	GSE6158GSM142688 sample	P-G6158-3	GSE6158GSM142688 extract	total_RNA	P-G6158-2	GSE6158GSM142688 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A2-grevi-CC2	A-AFFY-2	P-AFFY-6	MH001_ATH1_A2-grevi-CC2	GSM142688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142694	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-08-grevi-CT2_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 110.82 Background Stdev (float) = 2.54 Background Max (float) = 117.4 Background Min (float) = 104.5 Noise Avg (float) = 7.00 Noise Stdev (float) = 0.81 Noise Max (float) = 12.7 Noise Min (float) = 6.0 RawQ (float) = 3.96 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 265 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A8-grevi-CT2.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-5	GSE6158GSM142694 sample	P-G6158-3	GSE6158GSM142694 extract	total_RNA	P-G6158-2	GSE6158GSM142694 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A8-grevi-CT2	A-AFFY-2	P-AFFY-6	MH001_ATH1_A8-grevi-CT2	GSM142694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142697	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	acn1-2	Greville_A-11-grevi-AT2_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 96.46 Background Stdev (float) = 1.98 Background Max (float) = 103.0 Background Min (float) = 91.1 Noise Avg (float) = 6.04 Noise Stdev (float) = 0.27 Noise Max (float) = 6.9 Noise Min (float) = 5.3 RawQ (float) = 3.63 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 179 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A11-grevi-AT2.DAT. OrganismPart: whole seedling; Ecotype: col-7; GeneticModification: T-DNA insert into At3g16910; NASC:StockCode:; StrainOrLine: ACN1-2	P-G6158-5	GSE6158GSM142697 sample	P-G6158-3	GSE6158GSM142697 extract	total_RNA	P-G6158-2	GSE6158GSM142697 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A11-grevi-AT2	A-AFFY-2	P-AFFY-6	MH001_ATH1_A11-grevi-AT2	GSM142697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	acn1-2
GSE6158GSM142690	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	acn1-2	Greville_A-04-grevi-AC1_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 69.28 Background Stdev (float) = 2.00 Background Max (float) = 75.4 Background Min (float) = 64.6 Noise Avg (float) = 4.29 Noise Stdev (float) = 0.25 Noise Max (float) = 5.1 Noise Min (float) = 3.8 RawQ (float) = 2.85 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 557 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A4-grevi-AC1.DAT. OrganismPart: whole seedling; Ecotype: col-7; GeneticModification: T-DNA insert into At3g16910; NASC:StockCode:; StrainOrLine: ACN1-2	P-G6158-4	GSE6158GSM142690 sample	P-G6158-3	GSE6158GSM142690 extract	total_RNA	P-G6158-2	GSE6158GSM142690 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A4-grevi-AC1	A-AFFY-2	P-AFFY-6	MH001_ATH1_A4-grevi-AC1	GSM142690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	acn1-2
GSE6158GSM142693	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	wild type	Greville_A-07-grevi-CT1_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 98.05 Background Stdev (float) = 1.85 Background Max (float) = 103.4 Background Min (float) = 92.3 Noise Avg (float) = 6.41 Noise Stdev (float) = 0.27 Noise Max (float) = 7.2 Noise Min (float) = 5.7 RawQ (float) = 3.77 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 157 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A7-grevi-CT1.DAT. OrganismPart: whole seedling; Ecotype: col-7; NASC:StockCode: N3731	P-G6158-5	GSE6158GSM142693 sample	P-G6158-3	GSE6158GSM142693 extract	total_RNA	P-G6158-2	GSE6158GSM142693 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A7-grevi-CT1	A-AFFY-2	P-AFFY-6	MH001_ATH1_A7-grevi-CT1	GSM142693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	wild type
GSE6158GSM142698	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	Col-7	acn1-2	Greville_A-12-grevi-AT3_EXT:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 95.84 Background Stdev (float) = 2.23 Background Max (float) = 102.3 Background Min (float) = 91.8 Noise Avg (float) = 5.87 Noise Stdev (float) = 0.28 Noise Max (float) = 6.5 Noise Min (float) = 5.2 RawQ (float) = 3.72 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 516 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: MH001_ATH1_A12-grevi-AT3.DAT. OrganismPart: whole seedling; Ecotype: col-7; GeneticModification: T-DNA insert into At3g16910; NASC:StockCode:; StrainOrLine: ACN1-2	P-G6158-5	GSE6158GSM142698 sample	P-G6158-3	GSE6158GSM142698 extract	total_RNA	P-G6158-2	GSE6158GSM142698 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	MH001_ATH1_A12-grevi-AT3	A-AFFY-2	P-AFFY-6	MH001_ATH1_A12-grevi-AT3	GSM142698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.raw.1.zip	E-GEOD-6158-processed-data-1628820214.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6158/E-GEOD-6158.processed.1.zip	acn1-2
