Source Name	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Characteristics [ABRC seed stock id]	Term Source REF	Characteristics [Organism]	Term Source REF	Characteristics [DiseaseState]	Provider	Protocol REF	Protocol REF	Parameter Value [light intensity]	Parameter Value [light hours]	Unit [TimeUnit]	Parameter Value [night humidity]	Parameter Value [night temperature]	Unit [TemperatureUnit]	Parameter Value [media]	Parameter Value [day humidity]	Parameter Value [day temperature]	Parameter Value [light source]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [compound]	Factor Value [dose]	Unit [ConcentrationUnit]	Factor Value [time]	Unit [TimeUnit]
Col-0-30-2	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-30-2	P-CAGE-24644	total RNA	none	E_Col-0-30-2	total_RNA	P-AFFY-2	L_Col-0-30-2_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-30-2_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-30-2_1	Col-0-30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	Mock-treated	0	micromolar	30	minute
ARR7ox-BA120-2	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	ARR7ox-4-11	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	ARR7ox-BA120-2	P-CAGE-24644	total RNA	none	E_ARR7ox-BA120-2	total_RNA	P-AFFY-2	L_ARR7ox-BA120-2_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ARR7ox-BA120-2_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_ARR7ox-BA120-2_1	ARR7-4-11-BA120-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	6-benzylaminopurine	5	micromolar	120	minute
Col-0-BA30-1	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-BA30-1	P-CAGE-24644	total RNA	none	E_Col-0-BA30-1	total_RNA	P-AFFY-2	L_Col-0-BA30-1_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-BA30-1_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-BA30-1_1	Col-0-BA30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	6-benzylaminopurine	5	micromolar	30	minute
Col-0-120-1	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-120-1	P-CAGE-24644	total RNA	none	E_Col-0-120-1	total_RNA	P-AFFY-2	L_Col-0-120-1_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-120-1_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-120-1_1	Col-0-120-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	Mock-treated	0	micromolar	120	minute
Col-0-BA120-1	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-BA120-1	P-CAGE-24644	total RNA	none	E_Col-0-BA120-1	total_RNA	P-AFFY-2	L_Col-0-BA120-1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-BA120-1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-BA120-1	Col-0-BA120-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	6-benzylaminopurine	5	micromolar	120	minute
ARR7ox-120-1	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	ARR7ox-4-11	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	ARR7ox-120-1	P-CAGE-24644	total RNA	none	E_ARR7ox-120-1	total_RNA	P-AFFY-2	L_ARR7ox-120-1_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ARR7ox-120-1_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_ARR7ox-120-1_1	ARR7-4-11-120-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	Mock-treated	0	micromolar	120	minute
ARR7ox-BA30-1	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	ARR7ox-4-11	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	ARR7ox-BA30-1	P-CAGE-24644	total RNA	none	E_ARR7ox-BA30-1	total_RNA	P-AFFY-2	L_ARR7ox-BA30-1_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ARR7ox-BA30-1_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_ARR7ox-BA30-1_1	ARR7-4-11-BA30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	6-benzylaminopurine	5	micromolar	30	minute
ARR7ox-120-2	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	ARR7ox-4-11	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	ARR7ox-120-2	P-CAGE-24644	total RNA	none	E_ARR7ox-120-2	total_RNA	P-AFFY-2	L_ARR7ox-120-2_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ARR7ox-120-2_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_ARR7ox-120-2_1	ARR7-4-11-120-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	Mock-treated	0	micromolar	120	minute
Col-0-BA120-2	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-BA120-2	P-CAGE-24644	total RNA	none	E_Col-0-BA120-2	total_RNA	P-AFFY-2	L_Col-0-BA120-2_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-BA120-2_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-BA120-2_1	Col-0-BA120-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	6-benzylaminopurine	5	micromolar	120	minute
Col-0-120-2	1.01 Boyes key	Columbia-0	CS60000	abrc_stock	Arabidopsis thaliana	ncbitax	  	ABRC	P-CAGE-24643	P-CAGE-24642	120	16	hour	60-70	pcr products	degrees_C	542	60-70%	23	530	Col-0-120-2	P-CAGE-24644	total RNA	none	E_Col-0-120-2	total_RNA	P-AFFY-2	L_Col-0-120-2_1	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_Col-0-120-2_1	A-AFFY-2	ArrayExpress	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	H_Col-0-120-2_1	Col-0-120-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-ATMX-3-processed-data-1343526443.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/ATMX/E-ATMX-3/E-ATMX-3.processed.1.zip	Mock-treated	0	micromolar	120	minute
