Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [organism part]	FactorValue[growth condition]
GSM445727 1	The 3rd and 4th rosette leaves were used.	petiole in FRD	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445727 extract 1	total RNA	P-GSE17845-5	GSM445727 LE 1	Biotin	P-GSE17845-6	GSM445727	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445727_sample_table.txt norm	GSM445727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	far-red light pulse followed by darkness
GSM445726 1	The 3rd and 4th rosette leaves were used.	petiole in FRD	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445726 extract 1	total RNA	P-GSE17845-5	GSM445726 LE 1	Biotin	P-GSE17845-6	GSM445726	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445726_sample_table.txt norm	GSM445726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	far-red light pulse followed by darkness
GSM445725 1	The 3rd and 4th rosette leaves were used.	petiole in FRD	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445725 extract 1	total RNA	P-GSE17845-5	GSM445725 LE 1	Biotin	P-GSE17845-6	GSM445725	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445725.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445725_sample_table.txt norm	GSM445725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	far-red light pulse followed by darkness
GSM445724 1	The 3rd and 4th rosette leaves were used.	petiole in D	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445724 extract 1	total RNA	P-GSE17845-5	GSM445724 LE 1	Biotin	P-GSE17845-6	GSM445724	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445724_sample_table.txt norm	GSM445724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant darkness
GSM445723 1	The 3rd and 4th rosette leaves were used.	petiole in D	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445723 extract 1	total RNA	P-GSE17845-5	GSM445723 LE 1	Biotin	P-GSE17845-6	GSM445723	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445723_sample_table.txt norm	GSM445723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant darkness
GSM445722 1	The 3rd and 4th rosette leaves were used.	petiole in D	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445722 extract 1	total RNA	P-GSE17845-5	GSM445722 LE 1	Biotin	P-GSE17845-6	GSM445722	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445722.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445722_sample_table.txt norm	GSM445722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant darkness
GSM445721 1	The 3rd and 4th rosette leaves were used.	petiole in WL	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445721 extract 1	total RNA	P-GSE17845-5	GSM445721 LE 1	Biotin	P-GSE17845-6	GSM445721	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445721.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445721_sample_table.txt norm	GSM445721_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant white light
GSM445720 1	The 3rd and 4th rosette leaves were used.	petiole in WL	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445720 extract 1	total RNA	P-GSE17845-5	GSM445720 LE 1	Biotin	P-GSE17845-6	GSM445720	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445720_sample_table.txt norm	GSM445720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant white light
GSM445719 1	The 3rd and 4th rosette leaves were used.	petiole in WL	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	petiole	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445719 extract 1	total RNA	P-GSE17845-5	GSM445719 LE 1	Biotin	P-GSE17845-6	GSM445719	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445719.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445719_sample_table.txt norm	GSM445719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	petiole	constant white light
GSM445718 1	The 3rd and 4th rosette leaves were used.	leaf blade in FRD	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia	leaf blade	P-GSE17845-2	P-GSE17845-3	P-GSE17845-4	GSM445718 extract 1	total RNA	P-GSE17845-5	GSM445718 LE 1	Biotin	P-GSE17845-6	GSM445718	A-AFFY-2	P-GSE17845-7	P-GSE17845-8	GSM445718.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.raw.1.zip	P-GSE17845-1	GSM445718_sample_table.txt norm	GSM445718_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17845/E-GEOD-17845.processed.1.zip	leave without petiole	far-red light pulse followed by darkness
