Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [stop time]	Parameter Value [min temperature]	Parameter Value [max temperature]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [GrowthCondition]	Factor Value [time]	Unit [TimeUnit]	Factor Value [ecotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
ler_16_short day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	7	22	  	ler_16_short day	P-MEXP-101652	total RNA	none	ler_16_short day	total_RNA	P-AFFY-2	ler_16_short day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_16_short day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8hr light:16hr dark	16	h	ler	ler_16_short day	shortday_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_16_LL_LDHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102789	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_16_LL_LDHC	P-MEXP-101652	total RNA	none	col_16_LL_LDHC	total_RNA	P-AFFY-2	col_16_LL_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_16_LL_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark then continuous light, hot/cold	16	h	col	col_16_LL_LDHC	LL_LDHC_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_20_LL_LLHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102790	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_20_LL_LLHC	P-MEXP-101652	total RNA	none	col_20_LL_LLHC	total_RNA	P-AFFY-2	col_20_LL_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_20_LL_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	20	h	col	col_20_LL_LLHC	LL_LLHC_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_0_LLHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102782	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_0_LLHC	P-MEXP-101652	total RNA	none	col_0_LLHC	total_RNA	P-AFFY-2	col_0_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_0_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	0	h	col	col_0_LLHC	LLHC_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_20_short day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	7	22	  	ler_20_short day	P-MEXP-101652	total RNA	none	ler_20_short day	total_RNA	P-AFFY-2	ler_20_short day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_20_short day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8hr light:16hr dark	20	h	ler	ler_20_short day	shortday_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_16_LDHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102787	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_16_LDHC	P-MEXP-101652	total RNA	none	col_16_LDHC	total_RNA	P-AFFY-2	col_16_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_16_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark, hot/cold	16	h	col	col_16_LDHC	LDHC_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_0_short day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	7	22	  	ler_0_short day	P-MEXP-101652	total RNA	none	ler_0_short day	total_RNA	P-AFFY-2	ler_0_short day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_0_short day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8hr light:16hr dark	0	h	ler	ler_0_short day	shortday_00.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_12_long day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102788	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	22	  	ler_12_long day	P-MEXP-101652	total RNA	none	ler_12_long day	total_RNA	P-AFFY-2	ler_12_long day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_12_long day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	16hr light:8hr dark	12	h	ler	ler_12_long day	longday_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_36_LL_LDHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102789	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_36_LL_LDHC	P-MEXP-101652	total RNA	none	col_36_LL_LDHC	total_RNA	P-AFFY-2	col_36_LL_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_36_LL_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark then continuous light, hot/cold	36	h	col	col_36_LL_LDHC	LL_LDHC_36.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_12_DD_DDHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102792	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	12	22	col_12_DD_DDHC	P-MEXP-101652	total RNA	none	col_12_DD_DDHC	total_RNA	P-AFFY-2	col_12_DD_DDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_12_DD_DDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous dark, hot/cold	12	h	col	col_12_DD_DDHC	DD_DDHC_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
