Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Comment [submitted genotype]	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1240620 1	aerial parts of 3-week old plants	tt4_3	CHS mutant (Col-0 background)	3	week	tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240620 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240620 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240620	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240620_SK133.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240620_sample_table.txt norm	GSM1240620_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	tt4
GSM1240619 1	aerial parts of 3-week old plants	tt4_2	CHS mutant (Col-0 background)	3	week	tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240619 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240619 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240619	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240619_SK132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240619_sample_table.txt norm	GSM1240619_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	tt4
GSM1240618 1	aerial parts of 3-week old plants	tt4_1	CHS mutant (Col-0 background)	3	week	tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240618 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240618 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240618	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240618_SK131.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240618_sample_table.txt norm	GSM1240618_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	tt4
GSM1240617 1	aerial parts of 3-week old plants	pap1-D/tt4_3	crossing of pap1-D and tt4 (homogygous)	3	week	pap1-D/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240617 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240617 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240617	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240617_SK130.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240617_sample_table.txt norm	GSM1240617_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D/tt4
GSM1240616 1	aerial parts of 3-week old plants	pap1-D/tt4_2	crossing of pap1-D and tt4 (homogygous)	3	week	pap1-D/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240616 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240616 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240616	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240616_SK129.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240616_sample_table.txt norm	GSM1240616_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D/tt4
GSM1240615 1	aerial parts of 3-week old plants	pap1-D/tt4_1	crossing of pap1-D and tt4 (homogygous)	3	week	pap1-D/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240615 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240615 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240615	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240615_SK128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240615_sample_table.txt norm	GSM1240615_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D/tt4
GSM1240614 1	aerial parts of 3-week old plants	MYB12OX/tt4_3	crossing of MYB12OX and tt4 (homogygous)	3	week	MYB12OX/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240614 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240614 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240614	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240614_SK127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240614_sample_table.txt norm	GSM1240614_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX/tt4
GSM1240613 1	aerial parts of 3-week old plants	MYB12OX/tt4_2	crossing of MYB12OX and tt4 (homogygous)	3	week	MYB12OX/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240613 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240613 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240613	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240613_SK126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240613_sample_table.txt norm	GSM1240613_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX/tt4
GSM1240612 1	aerial parts of 3-week old plants	MYB12OX/tt4_1	crossing of MYB12OX and tt4 (homogygous)	3	week	MYB12OX/tt4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240612 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240612 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240612	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240612_SK125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240612_sample_table.txt norm	GSM1240612_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX/tt4
GSM1240611 1	aerial parts of 3-week old plants	WOX1-2_3	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240611 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240611 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240611	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240611_SK124.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240611_sample_table.txt norm	GSM1240611_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-2
