Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM967203 1	7 day old seedling	det2+BL 3h (A9) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967203 extract 1	total RNA	P-GSE39384-5	GSM967203 LE 1	biotin	P-GSE39384-6	GSM967203	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967203_det2BL3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967203_sample_table.txt norm	GSM967203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	3 h	10 nM BL
GSM967202 1	7 day old seedling	det2+BL 3h (A9) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967202 extract 1	total RNA	P-GSE39384-5	GSM967202 LE 1	biotin	P-GSE39384-6	GSM967202	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967202_det2BL3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967202_sample_table.txt norm	GSM967202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	3 h	10 nM BL
GSM967201 1	7 day old seedling	det2mock 3h (A9) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967201 extract 1	total RNA	P-GSE39384-5	GSM967201 LE 1	biotin	P-GSE39384-6	GSM967201	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967201_det2m3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967201_sample_table.txt norm	GSM967201_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	3 h	mock
GSM967200 1	7 day old seedling	det2mock 3h (A9) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967200 extract 1	total RNA	P-GSE39384-5	GSM967200 LE 1	biotin	P-GSE39384-6	GSM967200	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967200_det2m3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967200_sample_table.txt norm	GSM967200_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	3 h	mock
GSM967199 1	7 day old seedling	det2+BL 1h (A8) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967199 extract 1	total RNA	P-GSE39384-5	GSM967199 LE 1	biotin	P-GSE39384-6	GSM967199	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967199_det2BL1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967199_sample_table.txt norm	GSM967199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	1 h	10 nM BL
GSM967198 1	7 day old seedling	det2+BL 1h (A8) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967198 extract 1	total RNA	P-GSE39384-5	GSM967198 LE 1	biotin	P-GSE39384-6	GSM967198	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967198_det2BL1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967198_sample_table.txt norm	GSM967198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	1 h	10 nM BL
GSM967197 1	7 day old seedling	det2mock 1h (A8) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967197 extract 1	total RNA	P-GSE39384-5	GSM967197 LE 1	biotin	P-GSE39384-6	GSM967197	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967197_det2m1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967197_sample_table.txt norm	GSM967197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	1 h	mock
GSM967196 1	7 day old seedling	det2mock 1h (A8) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967196 extract 1	total RNA	P-GSE39384-5	GSM967196 LE 1	biotin	P-GSE39384-6	GSM967196	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967196_det2m1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967196_sample_table.txt norm	GSM967196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	1 h	mock
GSM967195 1	7 day old seedling	det2+BL 30m (A7) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967195 extract 1	total RNA	P-GSE39384-5	GSM967195 LE 1	biotin	P-GSE39384-6	GSM967195	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967195_det2BL30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967195_sample_table.txt norm	GSM967195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	30 min	10 nM BL
GSM967194 1	7 day old seedling	det2+BL 30m (A7) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967194 extract 1	total RNA	P-GSE39384-5	GSM967194 LE 1	biotin	P-GSE39384-6	GSM967194	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967194_det2BL30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967194_sample_table.txt norm	GSM967194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	30 min	10 nM BL
