Source Name	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]	Factor Value [compound]	Factor Value [dose]	Unit [concentration]
control cP0-1	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP0-1	total_RNA	P-AFFY-2	L_control cP0-1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_control cP0-1	A-AFFY-2	P-AFFY-6	MCT2_WS1P0.CEL	MCT2_WS1P0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	none	  	        
control cP0-2	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP0-2	total_RNA	P-AFFY-2	L_control cP0-2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_control cP0-2	A-AFFY-2	P-AFFY-6	MCT6_WS3P0.CEL	MCT6_WS3P0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	none	  	        
control cP0-3	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP0-3	total_RNA	P-AFFY-2	L_control cP0-3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_control cP0-3	A-AFFY-2	P-AFFY-6	MCT21_WS2P0.CEL	MCT21_WS2P0.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	none	  	        
split spP0-3	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_split spP0-3	total_RNA	P-AFFY-2	L_split spP0-3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_split spP0-3	A-AFFY-2	P-AFFY-6	MCT24_WS4P0spARN16.CEL	MCT24_WS4P0spARN16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	split root	none	  	        
split spP0-1	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_split spP0-1	total_RNA	P-AFFY-2	L_split spP0-1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_split spP0-1	A-AFFY-2	P-AFFY-6	MCT4_WS1P0sp.CEL	MCT4_WS1P0sp.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	split root	none	  	        
split spP0-2	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_split spP0-2	total_RNA	P-AFFY-2	L_split spP0-2	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_split spP0-2	A-AFFY-2	P-AFFY-6	MCT8_WS3P0sp.CEL	MCT8_WS3P0sp.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	split root	none	  	        
control cP500-2	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP500-2	total_RNA	P-AFFY-2	L_control cP500-2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_control cP500-2	A-AFFY-2	P-AFFY-6	MCT5_WS3P500.CEL	MCT5_WS3P500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	phosphate	500	micromolar
control cP500-3	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP500-3	total_RNA	P-AFFY-2	L_control cP500-3	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_control cP500-3	A-AFFY-2	P-AFFY-6	MCT22_WS4P500ARN13.CEL	MCT22_WS4P500ARN13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	phosphate	500	micromolar
control cP500-1	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_control cP500-1	total_RNA	P-AFFY-2	L_control cP500-1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_control cP500-1	A-AFFY-2	P-AFFY-6	MCT1_WS1P500.CEL	MCT1_WS1P500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	control	phosphate	500	micromolar
split spP500-1	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-12703	P-MTAB-12701	P-MTAB-12702	E_split spP500-1	total_RNA	P-AFFY-2	L_split spP500-1	biotin	unknown	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	H_split spP500-1	A-AFFY-2	P-AFFY-6	MCT3_WS1P500sp-p2.CEL	MCT3_WS1P500sp-p2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-2601-processed-data-2200922072.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2601/E-MEXP-2601.processed.1.zip	split root	phosphate	500	micromolar
