Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Factor Value [OrganismPart]	Term Source REF	Term Accession Number	Factor Value [GrowthCondition]	Scan Name	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE607GSM9223	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	GSE607GSM9223 sample	GSE607GSM9223 extract	total_RNA	GSE607GSM9223 LE.biotin	biotin	synthetic_RNA	Leaf_GC2	A-AFFY-2	leaf	EFO	EFO_0000993	growth chamber	Leaf_GC2	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9232	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flower	  	  	GSE607GSM9232 sample	GSE607GSM9232 extract	total_RNA	GSE607GSM9232 LE.biotin	biotin	synthetic_RNA	FLOWER_GH5	A-AFFY-2	flower	  	  	greenhouse	FLOWER_GH5	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9231	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flower	  	  	GSE607GSM9231 sample	GSE607GSM9231 extract	total_RNA	GSE607GSM9231 LE.biotin	biotin	synthetic_RNA	FLOWER_GC6	A-AFFY-2	flower	  	  	growth chamber	FLOWER_GC6	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9226	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	stem	EFO	EFO_0001040	GSE607GSM9226 sample	GSE607GSM9226 extract	total_RNA	GSE607GSM9226 LE.biotin	biotin	synthetic_RNA	STEM_GC7	A-AFFY-2	stem	EFO	EFO_0001040	growth chamber	STEM_GC7	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9228	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	stem	EFO	EFO_0001040	GSE607GSM9228 sample	GSE607GSM9228 extract	total_RNA	GSE607GSM9228 LE.biotin	biotin	synthetic_RNA	STEM_GH7	A-AFFY-2	stem	EFO	EFO_0001040	greenhouse	STEM_GH7	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9229	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	stem	EFO	EFO_0001040	GSE607GSM9229 sample	GSE607GSM9229 extract	total_RNA	GSE607GSM9229 LE.biotin	biotin	synthetic_RNA	STEM_GH8	A-AFFY-2	stem	EFO	EFO_0001040	greenhouse	STEM_GH8	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9227	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	stem	EFO	EFO_0001040	GSE607GSM9227 sample	GSE607GSM9227 extract	total_RNA	GSE607GSM9227 LE.biotin	biotin	synthetic_RNA	STEM_GC8	A-AFFY-2	stem	EFO	EFO_0001040	growth chamber	STEM_GC8	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9233	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flower	  	  	GSE607GSM9233 sample	GSE607GSM9233 extract	total_RNA	GSE607GSM9233 LE.biotin	biotin	synthetic_RNA	FLOWER_GH6	A-AFFY-2	flower	  	  	greenhouse	FLOWER_GH6	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9230	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	flower	  	  	GSE607GSM9230 sample	GSE607GSM9230 extract	total_RNA	GSE607GSM9230 LE.biotin	biotin	synthetic_RNA	FLOWER_GC5	A-AFFY-2	flower	  	  	growth chamber	FLOWER_GC5	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
GSE607GSM9224	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	GSE607GSM9224 sample	GSE607GSM9224 extract	total_RNA	GSE607GSM9224 LE.biotin	biotin	synthetic_RNA	Leaf_GH1	A-AFFY-2	leaf	EFO	EFO_0000993	greenhouse	Leaf_GH1	E-GEOD-607-processed-data-1442076342.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-607/E-GEOD-607.processed.1.zip
