Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE5701GSM133319	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-5	GSE5701GSM133319 sample	GSE5701GSM133319 extract	total_RNA	GSE5701GSM133319 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI5A	A-AFFY-2	P-AFFY-6	RIKEN-LI5A	GSM133319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	gibberellin	6	hours
GSE5701GSM133322	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-6	GSE5701GSM133322 sample	GSE5701GSM133322 extract	total_RNA	GSE5701GSM133322 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI6B	A-AFFY-2	P-AFFY-6	RIKEN-LI6B	GSM133322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	gibberellin	9	hours
GSE5701GSM133312	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-1	GSE5701GSM133312 sample	GSE5701GSM133312 extract	total_RNA	GSE5701GSM133312 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI1B	A-AFFY-2	P-AFFY-6	RIKEN-LI1B	GSM133312.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	water	3	hours
GSE5701GSM133317	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-4	GSE5701GSM133317 sample	GSE5701GSM133317 extract	total_RNA	GSE5701GSM133317 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI4A	A-AFFY-2	P-AFFY-6	RIKEN-LI4A	GSM133317.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	gibberellin	3	hours
GSE5701GSM133318	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-4	GSE5701GSM133318 sample	GSE5701GSM133318 extract	total_RNA	GSE5701GSM133318 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI4B	A-AFFY-2	P-AFFY-6	RIKEN-LI4B	GSM133318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	gibberellin	3	hours
GSE5701GSM133315	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-3	GSE5701GSM133315 sample	GSE5701GSM133315 extract	total_RNA	GSE5701GSM133315 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI3A	A-AFFY-2	P-AFFY-6	RIKEN-LI3A	GSM133315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	water	9	hours
GSE5701GSM133320	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-5	GSE5701GSM133320 sample	GSE5701GSM133320 extract	total_RNA	GSE5701GSM133320 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI5B	A-AFFY-2	P-AFFY-6	RIKEN-LI5B	GSM133320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	gibberellin	6	hours
GSE5701GSM133314	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-2	GSE5701GSM133314 sample	GSE5701GSM133314 extract	total_RNA	GSE5701GSM133314 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI2B	A-AFFY-2	P-AFFY-6	RIKEN-LI2B	GSM133314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	water	6	hours
GSE5701GSM133316	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-3	GSE5701GSM133316 sample	GSE5701GSM133316 extract	total_RNA	GSE5701GSM133316 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI3B	A-AFFY-2	P-AFFY-6	RIKEN-LI3B	GSM133316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	water	9	hours
GSE5701GSM133313	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	na:  na. Stock Code: N3742; Developmental stage: seeds; Tissue: seeds; Genetic background: Ler	Landsberg erecta	whole organism	seed	P-G5701-2	GSE5701GSM133313 sample	GSE5701GSM133313 extract	total_RNA	GSE5701GSM133313 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	RIKEN-LI2A	A-AFFY-2	P-AFFY-6	RIKEN-LI2A	GSM133313.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.raw.1.zip	E-GEOD-5701-processed-data-1628549210.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5701/E-GEOD-5701.processed.1.zip	water	6	hours
