Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[compound]	FactorValue[sampling time point]	Unit[time unit]	FactorValue[genotype]
GSE6150GSM142613	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-8_GA4-etr1-30min_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 92.64 Background Stdev (float) = 3.10 Background Max (float) = 101.0 Background Min (float) = 84.7 Noise Avg (float) = 6.25 Noise Stdev (float) = 0.31 Noise Max (float) = 7.1 Noise Min (float) = 5.5 RawQ (float) = 3.44 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 432 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A8-degra-Egh.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-12	GSE6150GSM142613 sample	P-G6150-4	GSE6150GSM142613 extract	total_RNA	P-G6150-3	GSE6150GSM142613 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A8-degra-Egh	A-AFFY-2	P-AFFY-6	DV001_ATH1_A8-degra-Egh	GSM142613.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	30	minute	etr1-1
GSE6150GSM142622	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-9_GA4-etr1-1hr_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 93.63 Background Stdev (float) = 2.53 Background Max (float) = 100.5 Background Min (float) = 87.3 Noise Avg (float) = 5.38 Noise Stdev (float) = 0.33 Noise Max (float) = 6.6 Noise Min (float) = 4.5 RawQ (float) = 3.49 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 177 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV002_ATH1_A9-degra-Eg1b.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-13	GSE6150GSM142622 sample	P-G6150-4	GSE6150GSM142622 extract	total_RNA	P-G6150-3	GSE6150GSM142622 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV002_ATH1_A9-degra-Eg1b	A-AFFY-2	P-AFFY-6	DV002_ATH1_A9-degra-Eg1b	GSM142622.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	60	minute	etr1-1
GSE6150GSM142614	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-9_GA4-etr1-1hr_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 109.95 Background Stdev (float) = 4.21 Background Max (float) = 123.2 Background Min (float) = 102.1 Noise Avg (float) = 5.96 Noise Stdev (float) = 0.32 Noise Max (float) = 7.3 Noise Min (float) = 5.3 RawQ (float) = 4.02 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 681 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A9-degra-Eg1_repeat2.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-13	GSE6150GSM142614 sample	P-G6150-4	GSE6150GSM142614 extract	total_RNA	P-G6150-3	GSE6150GSM142614 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A9-degra-Eg1_repeat2	A-AFFY-2	P-AFFY-6	DV001_ATH1_A9-degra-Eg1_repeat2	GSM142614.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	60	minute	etr1-1
GSE6150GSM142621	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-9_GA4-etr1-1hr_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 87.91 Background Stdev (float) = 3.65 Background Max (float) = 98.2 Background Min (float) = 81.4 Noise Avg (float) = 5.02 Noise Stdev (float) = 0.36 Noise Max (float) = 6.2 Noise Min (float) = 4.4 RawQ (float) = 3.47 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 219 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV002_ATH1_A9-degra-Eg1a.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-17	GSE6150GSM142621 sample	P-G6150-4	GSE6150GSM142621 extract	total_RNA	P-G6150-3	GSE6150GSM142621 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV002_ATH1_A9-degra-Eg1a	A-AFFY-2	P-AFFY-6	DV002_ATH1_A9-degra-Eg1a	GSM142621.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	60	minute	etr1-1
GSE6150GSM142605	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-10_GA4-etr1-3hr_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 100.09 Background Stdev (float) = 3.91 Background Max (float) = 113.5 Background Min (float) = 94.1 Noise Avg (float) = 6.70 Noise Stdev (float) = 0.53 Noise Max (float) = 8.4 Noise Min (float) = 5.8 RawQ (float) = 3.81 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 381 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A10-degra-Eg3_repeat2.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-2	GSE6150GSM142605 sample	P-G6150-4	GSE6150GSM142605 extract	total_RNA	P-G6150-3	GSE6150GSM142605 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A10-degra-Eg3_repeat2	A-AFFY-2	P-AFFY-6	DV001_ATH1_A10-degra-Eg3_repeat2	GSM142605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	180	minute	etr1-1
GSE6150GSM142611	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-6_water-etr1-0hr_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 118.23 Background Stdev (float) = 5.90 Background Max (float) = 134.4 Background Min (float) = 109.9 Noise Avg (float) = 6.78 Noise Stdev (float) = 0.55 Noise Max (float) = 8.2 Noise Min (float) = 5.8 RawQ (float) = 4.28 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 695 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A6-degra-Ec0_repeat2.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-10	GSE6150GSM142611 sample	P-G6150-4	GSE6150GSM142611 extract	total_RNA	P-G6150-3	GSE6150GSM142611 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A6-degra-Ec0_repeat2	A-AFFY-2	P-AFFY-6	DV001_ATH1_A6-degra-Ec0_repeat2	GSM142611.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	water	0	minute	etr1-1
GSE6150GSM142612	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-7_water-etr1-1hr_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 84.70 Background Stdev (float) = 1.31 Background Max (float) = 89.5 Background Min (float) = 81.1 Noise Avg (float) = 5.68 Noise Stdev (float) = 0.28 Noise Max (float) = 6.3 Noise Min (float) = 4.8 RawQ (float) = 3.30 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 377 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A7-degra-Ec1.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-11	GSE6150GSM142612 sample	P-G6150-4	GSE6150GSM142612 extract	total_RNA	P-G6150-3	GSE6150GSM142612 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A7-degra-Ec1	A-AFFY-2	P-AFFY-6	DV001_ATH1_A7-degra-Ec1	GSM142612.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	water	60	minute	etr1-1
GSE6150GSM142620	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-7_water-etr1-1hr_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 85.43 Background Stdev (float) = 2.78 Background Max (float) = 91.9 Background Min (float) = 79.2 Noise Avg (float) = 4.71 Noise Stdev (float) = 0.20 Noise Max (float) = 5.3 Noise Min (float) = 4.4 RawQ (float) = 3.17 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 275 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV002_ATH1_A7-degra-Ec1b.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-11	GSE6150GSM142620 sample	P-G6150-4	GSE6150GSM142620 extract	total_RNA	P-G6150-3	GSE6150GSM142620 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV002_ATH1_A7-degra-Ec1b	A-AFFY-2	P-AFFY-6	DV002_ATH1_A7-degra-Ec1b	GSM142620.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	water	60	minute	etr1-1
GSE6150GSM142619	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	etr1-1	De Grauwe_1-7_water-etr1-1hr_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.07 Background Stdev (float) = 1.99 Background Max (float) = 91.7 Background Min (float) = 80.6 Noise Avg (float) = 5.17 Noise Stdev (float) = 0.21 Noise Max (float) = 6.0 Noise Min (float) = 4.7 RawQ (float) = 3.43 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 510 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV002_ATH1_A7-degra-Ec1a.DAT. OrganismPart: Whole plant; Ecotype: Col; NASC:Growth Stage: 14days; NASC:StockCode: N237; StrainOrLine: etr1-1	P-G6150-1	P-G6150-16	GSE6150GSM142619 sample	P-G6150-4	GSE6150GSM142619 extract	total_RNA	P-G6150-3	GSE6150GSM142619 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV002_ATH1_A7-degra-Ec1a	A-AFFY-2	P-AFFY-6	DV002_ATH1_A7-degra-Ec1a	GSM142619.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	water	60	minute	etr1-1
GSE6150GSM142608	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	whole organism	14	day	wild type	De Grauwe_1-3_GA4-Col0-30min_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 96.82 Background Stdev (float) = 0.90 Background Max (float) = 99.7 Background Min (float) = 93.3 Noise Avg (float) = 5.73 Noise Stdev (float) = 0.21 Noise Max (float) = 6.3 Noise Min (float) = 5.2 RawQ (float) = 3.69 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 515 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: DV001_ATH1_A3-degra-Cgh_repeat2.DAT. OrganismPart: Whole plant; Ecotype: Col-0; NASC:Growth Stage: 14days; NASC:StockCode: N1092	P-G6150-1	P-G6150-7	GSE6150GSM142608 sample	P-G6150-4	GSE6150GSM142608 extract	total_RNA	P-G6150-3	GSE6150GSM142608 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	DV001_ATH1_A3-degra-Cgh_repeat2	A-AFFY-2	P-AFFY-6	DV001_ATH1_A3-degra-Cgh_repeat2	GSM142608.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.raw.1.zip	E-GEOD-6150-processed-data-1628810393.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6150/E-GEOD-6150.processed.1.zip	gibberellin A4	30	minute	wild type
