Source Name	Material Type	Characteristics[organism part]	Characteristics [age]	Unit[time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[growth condition]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1526989 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	sdg8_pC_pL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526989 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526989 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526989	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526989_LD_flowering_3-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526989_sample_table.txt norm	GSM1526989_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, 70 uE light
GSM1526988 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	sdg8_mC_pL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526988 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526988 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526988	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526988_LD_flowering_3-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526988_sample_table.txt norm	GSM1526988_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, 70 uE light
GSM1526987 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	sdg8_pC_mL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526987 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526987 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526987	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526987_LD_flowering_3-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526987_sample_table.txt norm	GSM1526987_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, dark
GSM1526986 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	sdg8_mC_mL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526986 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526986 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526986	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526986_LD_flowering_3-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526986_sample_table.txt norm	GSM1526986_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, dark
GSM1526985 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	WT_pC_pL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526985 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526985 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526985	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526985_LD_flowering_3-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526985_sample_table.txt norm	GSM1526985_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, 70 uE light
GSM1526984 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	WT_mC_pL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526984 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526984 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526984	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526984_LD_flowering_3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526984_sample_table.txt norm	GSM1526984_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, 70 uE light
GSM1526983 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	WT_pC_mL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526983 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526983 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526983	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526983_LD_flowering_3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526983_sample_table.txt norm	GSM1526983_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, dark
GSM1526982 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	WT_mC_mL_rep3	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526982 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526982 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526982	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526982_LD_flowering_3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526982_sample_table.txt norm	GSM1526982_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, dark
GSM1526981 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	sdg8_pC_pL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526981 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526981 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526981	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526981_LD_flowering_2-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526981_sample_table.txt norm	GSM1526981_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, 70 uE light
GSM1526980 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	sdg8_mC_pL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526980 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526980 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526980	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526980_LD_flowering_2-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526980_sample_table.txt norm	GSM1526980_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, 70 uE light
