Comment[ArrayExpressAccession]	E-GEOD-34231
Public Release Date	2012-03-30							
Investigation Title	Dynamics of mRNA abundance and translation in response to darkness and reillumination							
Comment[Submitted Name]	Dynamics of mRNA abundance and translation in response to darkness and reillumination
Experiment Description	Gene expression analysis of 14d-old Arabidopsis seedlings exposed to 1h darkness and 10 min reillumination after 1 h darkness to evaluate the regulation of gene expression at the level of translation. 12 samples, 3 conditions (1h light control, 1 h darkness treatment, 1 h darkness plus 10 min reillumination), 2 RNA pools (Total mRNA and polysomal mRNA), 2 bioreplicates							
Date of Experiment								
Term Source Name	EFO
Term Source Version								
Term Source File	http://www.ebi.ac.uk/efo/efo.owl							
Person Last Name	Juntawong	Juntawong	Bailey-Serres					
Person First Name	Piyada	Piyada	Julia					
Person Mid Initials								
Person Email	piyada.juntawong@ucr.edu							
Person Affiliation	University of California Riverside							
Person Phone								
Person Fax								
Person Address	Botany and Plant Sciences, University of California Riverside, 900 University ave, Riverside, CA, USA							
Person Roles	submitter							
Person Roles Term Source REF								
Person Roles Term Accession Number								
Normalization Type								
Normalization Term Accession Number								
Normalization Term Source REF								
Replicate Type								
Replicate Term Accession Number								
Replicate Term Source REF								
Experimental Design								
Experimental Design Term Accession Number								
Experimental Design Term Source REF								
Quality Control Type								
Quality Control Term Accession Number								
Quality Control Term Source REF								
Protocol Name	P-GSE34231-1	P-GSE34231-6	P-GSE34231-3	P-GSE34231-8	P-GSE34231-7	P-GSE34231-2	P-GSE34231-4	P-GSE34231-5
