Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[ecotype]	Characteristics[organism part]	Characteristics[variation]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TREATMENT]
GSM845194 1	10 min reillumination IP mRNA	14d-old Arabidopsis Seedling, 10min Reillumination, IP RNA, rep2	10min Reillumination IP RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845194 extract 1	other	P-GSE34231-5	GSM845194 LE 1	Biotin	P-GSE34231-6	GSM845194	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845194.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845194_sample_table.txt norm	GSM845194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness plus 10 min reillumination
GSM845193 1	1 h dark IP mRNA	14d-old Arabidopsis Seedling, 1h dark, IP RNA, rep2	1h Dark IP RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845193 extract 1	other	P-GSE34231-5	GSM845193 LE 1	Biotin	P-GSE34231-6	GSM845193	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845193_sample_table.txt norm	GSM845193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness
GSM845192 1	1 h light IP mRNA	14d-old Arabidopsis Seedling, 1h light, IP RNA, rep2	1 h Light IP RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845192 extract 1	other	P-GSE34231-5	GSM845192 LE 1	Biotin	P-GSE34231-6	GSM845192	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845192.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845192_sample_table.txt norm	GSM845192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h light control
GSM845191 1	10 min reillumination total mRNA	14d-old Arabidopsis Seedling, 10min Reillumination, total RNA, rep2	10min Reillumination Total RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845191 extract 1	total RNA	P-GSE34231-5	GSM845191 LE 1	Biotin	P-GSE34231-6	GSM845191	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845191.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845191_sample_table.txt norm	GSM845191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness plus 10 min reillumination
GSM845190 1	1 h dark total mRNA	14d-old Arabidopsis Seedling, 1h dark, total RNA, rep2	1h Dark Total RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845190 extract 1	total RNA	P-GSE34231-5	GSM845190 LE 1	Biotin	P-GSE34231-6	GSM845190	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845190.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845190_sample_table.txt norm	GSM845190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness
GSM845189 1	1 h light total mRNA	14d-old Arabidopsis Seedling, 1h light, total RNA, rep2	1 h Light Total RNA Rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845189 extract 1	total RNA	P-GSE34231-5	GSM845189 LE 1	Biotin	P-GSE34231-6	GSM845189	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845189.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845189_sample_table.txt norm	GSM845189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h light control
GSM845188 1	10 min reillumination IP mRNA	14d-old Arabidopsis Seedling, 10min Reillumination, IP RNA, rep1	10min Reillumination IP RNA Rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845188 extract 1	other	P-GSE34231-5	GSM845188 LE 1	Biotin	P-GSE34231-6	GSM845188	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845188.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845188_sample_table.txt norm	GSM845188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness plus 10 min reillumination
GSM845187 1	1 h dark IP mRNA	14d-old Arabidopsis Seedling, 1h dark, IP RNA, rep1	1h Dark IP RNA Rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845187 extract 1	other	P-GSE34231-5	GSM845187 LE 1	Biotin	P-GSE34231-6	GSM845187	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845187.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845187_sample_table.txt norm	GSM845187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness
GSM845186 1	1 h light IP mRNA	14d-old Arabidopsis Seedling, 1h light, IP RNA, rep1	1 h Light IP RNA Rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845186 extract 1	other	P-GSE34231-5	GSM845186 LE 1	Biotin	P-GSE34231-6	GSM845186	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845186.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845186_sample_table.txt norm	GSM845186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h light control
GSM845185 1	10 min reillumination total mRNA	14d-old Arabidopsis Seedling, 10min Reillumination, total RNA, rep1	10min Reillumination Total RNA Rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14d-old	Col-0	whole seedlings	35S:HF-RPL18B	P-GSE34231-3	P-GSE34231-2	P-GSE34231-4	GSM845185 extract 1	total RNA	P-GSE34231-5	GSM845185 LE 1	Biotin	P-GSE34231-6	GSM845185	A-AFFY-2	  	P-GSE34231-7	P-GSE34231-8	GSM845185.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.raw.1.zip	P-GSE34231-1	GSM845185_sample_table.txt norm	GSM845185_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-34231/E-GEOD-34231.processed.1.zip	1 h darkness plus 10 min reillumination
