Source Name	Characteristics [Age]	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [GENOTYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
wild-type_3	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	  	  	P-MTAB-5836	wild-type_3	total_RNA	P-AFFY-2	wild-type_3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	wild-type_3	A-AFFY-2	P-AFFY-6	wild_type	TD062.CEL	TD062.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
myb46 myb83 dKO_1	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	myb46 myb83 double knock-out	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	P-MTAB-5836	myb46 myb83 dKO_1	total_RNA	P-AFFY-2	myb46 myb83 dKO_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	myb46 myb83 dKO_1	A-AFFY-2	P-AFFY-6	myb46 myb83 double knock-out	TD063.CEL	TD063.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
MYB83 ox_2	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYB83 over-expressor	seedling	EFO	EFO_0001992	gene_knock_in	  	  	P-MTAB-5836	MYB83 ox_2	total_RNA	P-AFFY-2	MYB83 ox_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	MYB83 ox_2	A-AFFY-2	P-AFFY-6	MYB83 over-expressor	TD061.CEL	TD061.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
MYB46 ox_2	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYB46 over-expressor	seedling	EFO	EFO_0001992	gene_knock_in	  	  	P-MTAB-5836	MYB46 ox_2	total_RNA	P-AFFY-2	MYB46 ox_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	MYB46 ox_2	A-AFFY-2	P-AFFY-6	MYB46 over-expressor	TD060.CEL	TD060.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
wild-type_4	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	  	  	P-MTAB-5836	wild-type_4	total_RNA	P-AFFY-2	wild-type_4	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	wild-type_4	A-AFFY-2	P-AFFY-6	wild_type	TD064.CEL	TD064.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
wild-type_2	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	  	  	P-MTAB-5836	wild-type_2	total_RNA	P-AFFY-2	wild-type_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	wild-type_2	A-AFFY-2	P-AFFY-6	wild_type	TD059.CEL	TD059.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
myb46 myb83 dKO_2	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	myb46 myb83 double knock-out	seedling	EFO	EFO_0001992	gene_knock_out	EFO	EFO_0000506	P-MTAB-5836	myb46 myb83 dKO_2	total_RNA	P-AFFY-2	myb46 myb83 dKO_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	myb46 myb83 dKO_2	A-AFFY-2	P-AFFY-6	myb46 myb83 double knock-out	TD065.CEL	TD065.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
MYB46 ox_1	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYB46 over-expressor	seedling	EFO	EFO_0001992	gene_knock_in	  	  	P-MTAB-5836	MYB46 ox_1	total_RNA	P-AFFY-2	MYB46 ox_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	MYB46 ox_1	A-AFFY-2	P-AFFY-6	MYB46 over-expressor	TD055.CEL	TD055.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
wild-type_1	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	seedling	EFO	EFO_0001992	  	  	  	P-MTAB-5836	wild-type_1	total_RNA	P-AFFY-2	wild-type_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	wild-type_1	A-AFFY-2	P-AFFY-6	wild_type	TD054.CEL	TD054.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
MYB83 ox_1	11 days	fresh_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	MYB83 over-expressor	seedling	EFO	EFO_0001992	gene_knock_in	  	  	P-MTAB-5836	MYB83 ox_1	total_RNA	P-AFFY-2	MYB83 ox_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	MYB83 ox_1	A-AFFY-2	P-AFFY-6	MYB83 over-expressor	TD056.CEL	TD056.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	E-MEXP-2445-processed-data-1824888065.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2445/E-MEXP-2445.processed.1.zip
