Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [supplement]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [SUPPLEMENT]	FactorValue [TIME]
GSM1192739 1	Plants overexpressing WRKY6 transcription factor supplemented with arsenate 30μM (1.5 hours). Replicate 3	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours. Rep3	Col-0	EFO	EFO_0005148	OXW6	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192739 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192739 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192739	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192739_511839A12_OXW6-As-3_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192739_sample_table.txt norm	GSM1192739_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	OXW6	Arsenate (30μM)	1.5 hours
GSM1192738 1	Plants overexpressing WRKY6 transcription factor supplemented with arsenate 30μM (1.5 hours). Replicate 2	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours. Rep2	Col-0	EFO	EFO_0005148	OXW6	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192738 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192738 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192738	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192738_511839A11_OXW6-As-2_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192738_sample_table.txt norm	GSM1192738_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	OXW6	Arsenate (30μM)	1.5 hours
GSM1192737 1	Plants overexpressing WRKY6 transcription factor supplemented with arsenate 30μM (1.5 hours). Replicate 1	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours	Plants overexpressing WRKY6, arsenate 30μM, 1.5 hours. Rep1	Col-0	EFO	EFO_0005148	OXW6	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192737 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192737 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192737	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192737_511839A10_OXW6-As-1_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192737_sample_table.txt norm	GSM1192737_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	OXW6	Arsenate (30μM)	1.5 hours
GSM1192736 1	Wild type plants supplemented with 30μM arsenate (1.5 hours). Replicate 3	Wild type, 30μM arsenate, 1.5 hours	Wild type, 30μM arsenate, 1.5 hours. Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192736 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192736 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192736	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192736_511839A06_Col-As-3_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192736_sample_table.txt norm	GSM1192736_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	1.5 hours
GSM1192735 1	Wild type plants supplemented with 30μM arsenate (1.5 hours). Replicate 2	Wild type, 30μM arsenate, 1.5 hours	Wild type, 30μM arsenate, 1.5 hours. Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192735 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192735 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192735	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192735_511839A05_Col-As-2_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192735_sample_table.txt norm	GSM1192735_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	1.5 hours
GSM1192734 1	Wild type plants supplemented with 30μM arsenate (1.5 hours). Replicate 1	Wild type, 30μM arsenate, 1.5 hours	Wild type, 30μM arsenate, 1.5 hours. Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192734 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192734 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192734	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192734_511839A04_Col-As-1_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192734_sample_table.txt norm	GSM1192734_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	1.5 hours
GSM1192733 1	Wild type plants control (not supplemented). Replicate 3	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192733 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192733 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192733	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192733_511839A03_Col-P-3_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192733_sample_table.txt norm	GSM1192733_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	1.5 hours
GSM1192732 1	Wild type plants control (not supplemented). Replicate 2	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192732 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192732 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192732	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192732_511839A02_Col-P-2_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192732_sample_table.txt norm	GSM1192732_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	1.5 hours
GSM1192731 1	Wild type plants control (not supplemented). Replicate 1	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192731 extract 1	total RNA	P-GSE49037-9	ArrayExpress	GSM1192731 LE 1	Cy3	P-GSE49037-10	ArrayExpress	GSM1192731	A-GEOD-13970	ArrayExpress	array assay	P-GSE49037-11	ArrayExpress	GSM1192731_511839A01_Col-P-1_532.pair	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-2	ArrayExpress	GSM1192731_sample_table.txt norm	GSM1192731_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	1.5 hours
GSM1192730 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 3	Wild type, 1mM phosphate, 8 hours	Wild type, 1mM phosphate, 8 hours. Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (1mM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192730 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192730 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192730	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192730_Col_+P_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192730_sample_table.txt norm	GSM1192730_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (1mM)	8 hours
