Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Comment [BioSourceType]	Protocol REF	Parameter Value [start time]	Parameter Value [stop time]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [infect]	Factor Value [sampling site]
MockZone0rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone0rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT5	total RNA	P-MEXP-9807	none	biotin	10	LABEL5	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID5	A-AFFY-2	P-AFFY-6	HYBRID5	22_1_Mock010-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 0
MockZone0rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone0rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT13	total RNA	P-MEXP-9807	none	biotin	10	LABEL13	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID13	A-AFFY-2	P-AFFY-6	HYBRID13	18_9_Mock010-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 0
MockZone0rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone0rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT21	total RNA	P-MEXP-9807	none	biotin	10	LABEL21	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID21	A-AFFY-2	P-AFFY-6	HYBRID21	21_17_Mock010-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 0
MockZone1rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone1rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT6	total RNA	P-MEXP-9807	none	biotin	10	LABEL6	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID6	A-AFFY-2	P-AFFY-6	HYBRID6	6_2_Mock110-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 1
MockZone1rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone1rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT14	total RNA	P-MEXP-9807	none	biotin	10	LABEL14	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID14	A-AFFY-2	P-AFFY-6	HYBRID14	24_10_Mock110-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 1
MockZone1rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone1rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT22	total RNA	P-MEXP-9807	none	biotin	10	LABEL22	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID22	A-AFFY-2	P-AFFY-6	HYBRID22	10_18_Mock110-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 1
MockZone2rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone2rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT15	total RNA	P-MEXP-9807	none	biotin	10	LABEL15	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID15	A-AFFY-2	P-AFFY-6	HYBRID15	14_11_Mock210-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 2
MockZone2rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone2rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT23	total RNA	P-MEXP-9807	none	biotin	10	LABEL23	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID23	A-AFFY-2	P-AFFY-6	HYBRID23	11_19_Mock210-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 2
MockZone2rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone2rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT7	total RNA	P-MEXP-9807	none	biotin	10	LABEL7	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID7	A-AFFY-2	P-AFFY-6	HYBRID7	7_3_Mock210-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 2
MockZone3rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone3rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT24	total RNA	P-MEXP-9807	none	biotin	10	LABEL24	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID24	A-AFFY-2	P-AFFY-6	HYBRID24	20_20_Mock310-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 3
