Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[time]	Unit[time unit]	FactorValue[organism part]
GSE5636GSM131755	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-7	GSE5636GSM131755 sample	GSE5636GSM131755 extract	total_RNA	GSE5636GSM131755 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A28_1-2hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A28_1-2hr_Rep2_ATH1	GSM131755.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	2	hour	developing leaf insertions
GSE5636GSM131749	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-1	GSE5636GSM131749 sample	GSE5636GSM131749 extract	total_RNA	GSE5636GSM131749 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A2_1-2hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A2_1-2hr_Rep1_ATH1	GSM131749.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	2	hour	developing leaf insertions
GSE5636GSM131767	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-19	GSE5636GSM131767 sample	GSE5636GSM131767 extract	total_RNA	GSE5636GSM131767 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A80_1-2hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A80_1-2hr_Rep4_ATH1	GSM131767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	2	hour	developing leaf insertions
GSE5636GSM131761	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-13	GSE5636GSM131761 sample	GSE5636GSM131761 extract	total_RNA	GSE5636GSM131761 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A54_1-2hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A54_1-2hr_Rep3_ATH1	GSM131761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	2	hour	developing leaf insertions
GSE5636GSM131762	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-14	GSE5636GSM131762 sample	GSE5636GSM131762 extract	total_RNA	GSE5636GSM131762 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A58_1-4hr-Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A58_1-4hr-Rep3_ATH1	GSM131762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	4	hour	developing leaf insertions
GSE5636GSM131750	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-2	GSE5636GSM131750 sample	GSE5636GSM131750 extract	total_RNA	GSE5636GSM131750 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A6_1-4hr-Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A6_1-4hr-Rep1_ATH1	GSM131750.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	4	hour	developing leaf insertions
GSE5636GSM131768	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-20	GSE5636GSM131768 sample	GSE5636GSM131768 extract	total_RNA	GSE5636GSM131768 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A84_1-4hr-Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A84_1-4hr-Rep4_ATH1	GSM131768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	4	hour	developing leaf insertions
GSE5636GSM131756	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-8	GSE5636GSM131756 sample	GSE5636GSM131756 extract	total_RNA	GSE5636GSM131756 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A32_1-4hr-Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A32_1-4hr-Rep2_ATH1	GSM131756.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	4	hour	developing leaf insertions
GSE5636GSM131763	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-15	GSE5636GSM131763 sample	GSE5636GSM131763 extract	total_RNA	GSE5636GSM131763 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A62_1-12hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A62_1-12hr_Rep3_ATH1	GSM131763.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	12	hour	developing leaf insertions
GSE5636GSM131769	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-21	GSE5636GSM131769 sample	GSE5636GSM131769 extract	total_RNA	GSE5636GSM131769 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A88_1-12hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A88_1-12hr_Rep4_ATH1	GSM131769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	12	hour	developing leaf insertions
