Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[days after germination]	Characteristics[genotype]	Characteristics[growth]	Characteristics[GrowthCondition]	Characteristics[minutes after dawn day 4]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DAYS AFTER GERMINATION]	FactorValue [GENOTYPE]	FactorValue [GROWTH]	FactorValue [LIGHT]	FactorValue [MINUTES AFTER DAWN DAY 4]
GSM540952 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 30 ATH1.CEL	Sample name: D10	"pif4 pil5 seedlings, dark, 3160 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	pif4 pil5	not growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540952 extract 1	total RNA	P-GSE21684-4	  	GSM540952 LE 1	biotin	P-GSE21684-5	  	GSM540952	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540952_sample_table.txt norm	GSM540952_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	pif4 pil5	not growing	dark	3160
GSM540951 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 29 ATH1.CEL	Sample name: D6	"pif4 pil5 seedlings, dark, 1720 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	pif4 pil5	not growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540951 extract 1	total RNA	P-GSE21684-4	  	GSM540951 LE 1	biotin	P-GSE21684-5	  	GSM540951	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540951.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540951_sample_table.txt norm	GSM540951_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	pif4 pil5	not growing	dark	1720
GSM540950 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 28 ATH1.CEL	Sample name: D2	"pif4 pil5 seedlings, dark, 280 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	pif4 pil5	not growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540950 extract 1	total RNA	P-GSE21684-4	  	GSM540950 LE 1	biotin	P-GSE21684-5	  	GSM540950	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540950.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540950_sample_table.txt norm	GSM540950_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	pif4 pil5	not growing	dark	280
GSM540949 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 27 ATH1.CEL	Sample name: C10	"pif4 pil5 seedlings, dark, 3160 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	pif4 pil5	not growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540949 extract 1	total RNA	P-GSE21684-4	  	GSM540949 LE 1	biotin	P-GSE21684-5	  	GSM540949	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540949.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540949_sample_table.txt norm	GSM540949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	pif4 pil5	not growing	dark	3160
GSM540948 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 26 ATH1.CEL	Sample name: C6	"pif4 pil5 seedlings, dark, 1720 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	pif4 pil5	not growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540948 extract 1	total RNA	P-GSE21684-4	  	GSM540948 LE 1	biotin	P-GSE21684-5	  	GSM540948	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540948.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540948_sample_table.txt norm	GSM540948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	pif4 pil5	not growing	dark	1720
GSM540947 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 25 ATH1.CEL	Sample name: C2	"pif4 pil5 seedlings, dark, 280 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	pif4 pil5	not growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540947 extract 1	total RNA	P-GSE21684-4	  	GSM540947 LE 1	biotin	P-GSE21684-5	  	GSM540947	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540947_sample_table.txt norm	GSM540947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	pif4 pil5	not growing	dark	280
GSM540946 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 23 ATH1.CEL	Sample name: B23	"CCA1OX seedlings, light, 3960 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	CCA1OX	not growing	light	3960	P-GSE21684-2	  	P-GSE21684-3	  	GSM540946 extract 1	total RNA	P-GSE21684-4	  	GSM540946 LE 1	biotin	P-GSE21684-5	  	GSM540946	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540946.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540946_sample_table.txt norm	GSM540946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	not growing	light	3960
GSM540945 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 22 ATH1.CEL	Sample name: B22	"CCA1OX seedlings, dark, 3160 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	CCA1OX	growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540945 extract 1	total RNA	P-GSE21684-4	  	GSM540945 LE 1	biotin	P-GSE21684-5	  	GSM540945	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540945_sample_table.txt norm	GSM540945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	growing	dark	3160
GSM540944 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 20 ATH1.CEL	Sample name: B20	"CCA1OX seedlings, dark, 2680 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	CCA1OX	growing	dark	2680	P-GSE21684-2	  	P-GSE21684-3	  	GSM540944 extract 1	total RNA	P-GSE21684-4	  	GSM540944 LE 1	biotin	P-GSE21684-5	  	GSM540944	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540944.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540944_sample_table.txt norm	GSM540944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	growing	dark	2680
GSM540943 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 18 ATH1.CEL	Sample name: B18	"CCA1OX seedlings, dark, 1720 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	CCA1OX	growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540943 extract 1	total RNA	P-GSE21684-4	  	GSM540943 LE 1	biotin	P-GSE21684-5	  	GSM540943	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540943_sample_table.txt norm	GSM540943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	growing	dark	1720
