Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE10646GSM269484	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269484 sample	P-G10646-4	GSE10646GSM269484 extract	total_RNA	P-G10646-3	GSE10646GSM269484 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, no-treatment, rep-C"	A-AFFY-2	P-AFFY-6	"mkk1, no-treatment, rep-C"	GSM269484.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	none
GSE10646GSM268009	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), before BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM268009 sample	P-G10646-4	GSE10646GSM268009 extract	total_RNA	P-G10646-3	GSE10646GSM268009 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, Time 0, rep-B"	A-AFFY-2	P-AFFY-6	"Col-0, Time 0, rep-B"	GSM268009.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	none
GSE10646GSM269493	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269493 sample	P-G10646-4	GSE10646GSM269493 extract	total_RNA	P-G10646-3	GSE10646GSM269493 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, 24h after BTH, rep-C"	A-AFFY-2	P-AFFY-6	"mkk2, 24h after BTH, rep-C"	GSM269493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269478	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM269478 sample	P-G10646-4	GSE10646GSM269478 extract	total_RNA	P-G10646-3	GSE10646GSM269478 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, 24h after BTH, rep-C"	A-AFFY-2	P-AFFY-6	"Col-0, 24h after BTH, rep-C"	GSM269478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269487	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269487 sample	P-G10646-4	GSE10646GSM269487 extract	total_RNA	P-G10646-3	GSE10646GSM269487 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, 24h after BTH, rep-C"	A-AFFY-2	P-AFFY-6	"mkk1, 24h after BTH, rep-C"	GSM269487.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2,  no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269495 sample	P-G10646-4	GSE10646GSM269495 extract	total_RNA	P-G10646-3	GSE10646GSM269495 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, no-treatment, rep-B"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, no-treatment, rep-B"	GSM269495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	none
GSE10646GSM269482	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269482 sample	P-G10646-4	GSE10646GSM269482 extract	total_RNA	P-G10646-3	GSE10646GSM269482 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, no-treatment, rep-A"	A-AFFY-2	P-AFFY-6	"mkk1, no-treatment, rep-A"	GSM269482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	none
GSE10646GSM269499	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2, 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269499 sample	P-G10646-4	GSE10646GSM269499 extract	total_RNA	P-G10646-3	GSE10646GSM269499 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, 24h after BTH, rep-C"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, 24h after BTH, rep-C"	GSM269499.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM268008	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), before BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM268008 sample	P-G10646-4	GSE10646GSM268008 extract	total_RNA	P-G10646-3	GSE10646GSM268008 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, Time 0, rep-A"	A-AFFY-2	P-AFFY-6	"Col-0, Time 0, rep-A"	GSM268008.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	none
GSE10646GSM269486	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269486 sample	P-G10646-4	GSE10646GSM269486 extract	total_RNA	P-G10646-3	GSE10646GSM269486 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, 24h after BTH, rep-B"	A-AFFY-2	P-AFFY-6	"mkk1, 24h after BTH, rep-B"	GSM269486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
