Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [treatment]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_characteristics]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [AGE]	Factor Value [TREATMENT]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSM351326 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days	grown in dark	wild type grown in dark	Col seedling	  	P-GSE14788-2	GSM351326 extract 1	total_RNA	P-GSE14788-3	GSM351326 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351326	A-AFFY-2	  	7 days	grown in dark	GSM351326	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM344726 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14 day seedling	  	BR deficient mutant,14 days seedling grown in light to 8 hours dark response	det2_seedling_14 days	BR deficient mutant grown in light to 8 hours dark response	P-GSE14788-2	GSM344726 extract 1	total_RNA	P-GSE14788-7	GSM344726 LE 1	Biotin	unknown	P-GSE14788-8	P-GSE14788-5	GSM344726	A-AFFY-2	P-GSE14788-6	14 day seedling	not specified	GSM344726.CEL	GSM344726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.raw.1.zip	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM351327 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7days	grown in dark	wild type grown in dark	seedlings	  	P-GSE14788-2	GSM351327 extract 1	total_RNA	P-GSE14788-3	GSM351327 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351327	A-AFFY-2	  	7days	grown in dark	GSM351327	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM344727 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days seedling	  	BR deficient mutant,7 days seedling grown in light	det2_seedling_7 days	BR deficient mutant grown in light	P-GSE14788-9	GSM344727 extract 1	total_RNA	P-GSE14788-3	GSM344727 LE 1	biotin	unknown	P-GSE14788-4	P-GSE14788-5	GSM344727	A-AFFY-2	P-GSE14788-6	7 days seedling	not specified	GSM344727.CEL	GSM344727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.raw.1.zip	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM351333 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7days	grown in dark then 2 hours light response	wild type grown in dark then 2 hours light response	seedlings	  	P-GSE14788-2	GSM351333 extract 1	total_RNA	P-GSE14788-3	GSM351333 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351333	A-AFFY-2	  	7days	grown in dark then 2 hours light response	GSM351333	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM344724 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day seedling	  	BR deficient mutant, 7 days seedling grown in dark	det2_seedling_7 days	BR deficient mutant grown in dark	P-GSE14788-2	GSM344724 extract 1	total_RNA	P-GSE14788-7	GSM344724 LE 1	Biotin	unknown	P-GSE14788-4	P-GSE14788-5	GSM344724	A-AFFY-2	P-GSE14788-6	7 day seedling	not specified	GSM344724.CEL	GSM344724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.raw.1.zip	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM344728 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days seedling	  	BR deficient mutant,7 days seedling grown in light	det2_seedling_7 days	BR deficient mutant grown in light	P-GSE14788-9	GSM344728 extract 1	total_RNA	P-GSE14788-3	GSM344728 LE 1	Biotin	unknown	P-GSE14788-4	P-GSE14788-5	GSM344728	A-AFFY-2	P-GSE14788-6	7 days seedling	not specified	GSM344728.CEL	GSM344728.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.raw.1.zip	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM351329 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7days	grown in dark treated with BR	wild type grown in dark treated with BR	seedlings	  	P-GSE14788-2	GSM351329 extract 1	total_RNA	P-GSE14788-3	GSM351329 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351329	A-AFFY-2	  	7days	grown in dark treated with BR	GSM351329	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM351330 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7days	grown in dark treated with BR then 2 hours light response	wild type grown in dark treated with BR then 2 hours light response	seedlings	  	P-GSE14788-2	GSM351330 extract 1	total_RNA	P-GSE14788-3	GSM351330 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351330	A-AFFY-2	  	7days	grown in dark treated with BR then 2 hours light response	GSM351330	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
GSM351328 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days	grown in dark treated with BR	wild type grown in dark treated with BR	seedlings	  	P-GSE14788-2	GSM351328 extract 1	total_RNA	P-GSE14788-3	GSM351328 LE 1	biotin	unknown	P-GSE14788-4	  	GSM351328	A-AFFY-2	  	7 days	grown in dark treated with BR	GSM351328	  	  	P-GSE14788-1	E-GEOD-14788-processed-data-2196667091.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14788/E-GEOD-14788.processed.1.zip
