Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype/background]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [time after induction]	Characteristics [vector]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time after induction]	FactorValue [treatment]	Term Source REF	Term Accession Number	FactorValue [vector]
GSM2044943 1	t48.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 48h	VND7 plants with DEX treatment at T48, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	48h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044943 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044943 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044943	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044943_t48.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044943_sample_table.txt norm	GSM2044943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	48h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044942 1	t48.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 48h	VND7 plants with DEX treatment at T48, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	48h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044942 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044942 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044942	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044942_t48.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044942_sample_table.txt norm	GSM2044942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	48h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044941 1	t48.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 48h	VND7 plants with DEX treatment at T48, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	48h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044941 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044941 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044941	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044941_t48.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044941_sample_table.txt norm	GSM2044941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	48h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044940 1	t30.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 30h	VND7 plants with DEX treatment at T30, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	30h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044940 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044940 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044940	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044940_t30.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044940_sample_table.txt norm	GSM2044940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	30h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044939 1	t30.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 30h	VND7 plants with DEX treatment at T30, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	30h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044939 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044939 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044939	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044939_t30.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044939_sample_table.txt norm	GSM2044939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	30h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044938 1	t30.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 30h	VND7 plants with DEX treatment at T30, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	30h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044938 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044938 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044938	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044938_t30.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044938_sample_table.txt norm	GSM2044938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	30h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044937 1	t24.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 24h	VND7 plants with DEX treatment at T24, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	24h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044937 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044937 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044937	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044937_t24.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044937_sample_table.txt norm	GSM2044937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	24h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044936 1	t24.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 24h	VND7 plants with DEX treatment at T24, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	24h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044936 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044936 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044936	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044936_t24.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044936_sample_table.txt norm	GSM2044936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	24h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044935 1	t24.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 24h	VND7 plants with DEX treatment at T24, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	24h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044935 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044935 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044935	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044935_t24.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044935_sample_table.txt norm	GSM2044935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	24h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044934 1	t12.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 12h	VND7 plants with DEX treatment at T12, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	12h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044934 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044934 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044934	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044934_t12.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044934_sample_table.txt norm	GSM2044934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	12h	dexamethasone (DEX)	  	  	VND7-VP16-GR
