Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[GENOTYPE]
GSE14578GSM361977	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA, Root tip total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361977 sample	P-G14578-5	GSE14578GSM361977 extract	total_RNA	P-G14578-3	GSE14578GSM361977 LE biotin	biotin	synthetic_RNA	roottip_control_total_rep2	A-AFFY-2	P-AFFY-6	GSM361977.cel	GSM361977.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361976	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA, Root tip total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling root tips, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361976 sample	P-G14578-5	GSE14578GSM361976 extract	total_RNA	P-G14578-3	GSE14578GSM361976 LE biotin	biotin	synthetic_RNA	roottip_control_total_rep1	A-AFFY-2	P-AFFY-6	GSM361976.cel	GSM361976.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361981	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA, Root tip polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361981 sample	P-G14578-5	GSE14578GSM361981 extract	total_RNA	P-G14578-3	GSE14578GSM361981 LE biotin	biotin	synthetic_RNA	roottip_control_p35S_rep2	A-AFFY-2	P-AFFY-6	GSM361981.cel	GSM361981.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361980	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA, Root tip polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	7 day old Arabidopsis Seedling roottips, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: control	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361980 sample	P-G14578-5	GSE14578GSM361980 extract	total_RNA	P-G14578-3	GSE14578GSM361980 LE biotin	biotin	synthetic_RNA	roottip_control_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM361980.cel	GSM361980.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361982	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA, Root tip polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361982 sample	P-G14578-5	GSE14578GSM361982 extract	total_RNA	P-G14578-3	GSE14578GSM361982 LE biotin	biotin	synthetic_RNA	roottip_hypoxia_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM361982.cel	GSM361982.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361983	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA, Root tip polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling roottips, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361983 sample	P-G14578-5	GSE14578GSM361983 extract	total_RNA	P-G14578-3	GSE14578GSM361983 LE biotin	biotin	synthetic_RNA	roottip_hypoxia_p35S_rep2	A-AFFY-2	P-AFFY-6	GSM361983.cel	GSM361983.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361979	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA, Root tip total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361979 sample	P-G14578-5	GSE14578GSM361979 extract	total_RNA	P-G14578-3	GSE14578GSM361979 LE biotin	biotin	synthetic_RNA	roottip_hypoxia_total_rep2	A-AFFY-2	P-AFFY-6	GSM361979.cel	GSM361979.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM361978	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA, Root tip total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	7 day old Arabidopsis Seedling root tips, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: 1 cm root tip; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root tip	7	days	seedling	Col-0	P-G14578-2	P-G14578-1	GSE14578GSM361978 sample	P-G14578-5	GSE14578GSM361978 extract	total_RNA	P-G14578-3	GSE14578GSM361978 LE biotin	biotin	synthetic_RNA	roottip_hypoxia_total_rep1	A-AFFY-2	P-AFFY-6	GSM361978.cel	GSM361978.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root tip	p35S:HisFLAG-RPL18B
GSE14578GSM362176	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362176 sample	P-G14578-8	GSE14578GSM362176 extract	total_RNA	P-G14578-7	GSE14578GSM362176 LE biotin	biotin	synthetic_RNA	root_control_p35S_rep2	A-AFFY-2	P-AFFY-6	GSM362176.CEL	GSM362176.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362169	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362169 sample	P-G14578-8	GSE14578GSM362169 extract	total_RNA	P-G14578-7	GSE14578GSM362169 LE biotin	biotin	synthetic_RNA	root_control_total_rep2	A-AFFY-2	P-AFFY-6	GSM362169.CEL	GSM362169.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
