Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[DEVELOPMENTAL STAGE]
GSE5634GSM131707	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 10, w/o siliques	Col-0	seed	10	GSE5634GSM131707 sample	GSE5634GSM131707 extract	total_RNA	GSE5634GSM131707 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_84_B	A-AFFY-2	P-AFFY-6	ATGE_84_B	GSM131707.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	10
GSE5634GSM131690	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 4	Col-0	silique	4	GSE5634GSM131690 sample	GSE5634GSM131690 extract	total_RNA	GSE5634GSM131690 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_77_F	A-AFFY-2	P-AFFY-6	ATGE_77_F	GSM131690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	4
GSE5634GSM131696	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 6, w/o siliques	Col-0	seed	6	GSE5634GSM131696 sample	GSE5634GSM131696 extract	total_RNA	GSE5634GSM131696 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_79_C	A-AFFY-2	P-AFFY-6	ATGE_79_C	GSM131696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	6
GSE5634GSM131693	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 5	Col-0	silique	5	GSE5634GSM131693 sample	GSE5634GSM131693 extract	total_RNA	GSE5634GSM131693 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_78_F	A-AFFY-2	P-AFFY-6	ATGE_78_F	GSM131693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	5
GSE5634GSM131695	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 6, w/o siliques	Col-0	seed	6	GSE5634GSM131695 sample	GSE5634GSM131695 extract	total_RNA	GSE5634GSM131695 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_79_B	A-AFFY-2	P-AFFY-6	ATGE_79_B	GSM131695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	6
GSE5634GSM131701	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 8, w/o siliques	Col-0	seed	8	GSE5634GSM131701 sample	GSE5634GSM131701 extract	total_RNA	GSE5634GSM131701 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_82_B	A-AFFY-2	P-AFFY-6	ATGE_82_B	GSM131701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	8
GSE5634GSM131687	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Photoperiod: long day Relative humidity: 50-60% Substrate: soil Temperature: 23oC. Tissue: siliques, w/  seeds stage 3	Col-0	silique	3	GSE5634GSM131687 sample	GSE5634GSM131687 extract	total_RNA	GSE5634GSM131687 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_76_C	A-AFFY-2	P-AFFY-6	ATGE_76_C	GSM131687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	long day	silique	3
GSE5634GSM131697	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 7, w/o siliques	Col-0	seed	7	GSE5634GSM131697 sample	GSE5634GSM131697 extract	total_RNA	GSE5634GSM131697 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_81_A	A-AFFY-2	P-AFFY-6	ATGE_81_A	GSM131697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	7
GSE5634GSM131700	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 8, w/o siliques	Col-0	seed	8	GSE5634GSM131700 sample	GSE5634GSM131700 extract	total_RNA	GSE5634GSM131700 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_82_A	A-AFFY-2	P-AFFY-6	ATGE_82_A	GSM131700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	8
GSE5634GSM131685	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Photoperiod: long day Relative humidity: 50-60% Substrate: soil Temperature: 23oC. Tissue: siliques, w/  seeds stage 3	Col-0	silique	3	GSE5634GSM131685 sample	GSE5634GSM131685 extract	total_RNA	GSE5634GSM131685 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_76_A	A-AFFY-2	P-AFFY-6	ATGE_76_A	GSM131685.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	long day	silique	3
