Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1296383 1	Gene expression data from c3h14c3h15 plants	plants in glasshouse	c3h14c3h15 double mutants, biological rep3	Col-0	EFO	EFO_0005148	c3h14c3h15 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296383 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296383 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296383	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296383_c3h14c3h15-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296383_sample_table.txt norm	GSM1296383_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	c3h14c3h15 double mutant
GSM1296382 1	Gene expression data from c3h14c3h15 plants	plants in glasshouse	c3h14c3h15 double mutants, biological rep2	Col-0	EFO	EFO_0005148	c3h14c3h15 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296382 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296382 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296382	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296382_c3h14c3h15-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296382_sample_table.txt norm	GSM1296382_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	c3h14c3h15 double mutant
GSM1296381 1	Gene expression data from c3h14c3h15 plants	plants in glasshouse	c3h14c3h15 double mutants, biological rep1	Col-0	EFO	EFO_0005148	c3h14c3h15 double mutant	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296381 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296381 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296381	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296381_c3h14c3h15-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296381_sample_table.txt norm	GSM1296381_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	c3h14c3h15 double mutant
GSM1296380 1	Gene expression data from C3H15 overexpressors	plants in glasshouse	C3H15 overexpressing plants, biological rep3	Col-0	EFO	EFO_0005148	C3H15 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296380 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296380 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296380	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296380_C3H15OE-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296380_sample_table.txt norm	GSM1296380_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H15 overexpressor
GSM1296379 1	Gene expression data from C3H15 overexpressors	plants in glasshouse	C3H15 overexpressing plants, biological rep2	Col-0	EFO	EFO_0005148	C3H15 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296379 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296379 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296379	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296379_C3H15OE-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296379_sample_table.txt norm	GSM1296379_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H15 overexpressor
GSM1296378 1	Gene expression data from C3H15 overexpressors	plants in glasshouse	C3H15 overexpressing plants, biological rep1	Col-0	EFO	EFO_0005148	C3H15 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296378 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296378 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296378	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296378_C3H15OE-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296378_sample_table.txt norm	GSM1296378_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H15 overexpressor
GSM1296377 1	Gene expression data from C3H14 overexpressors	plants in glasshouse	C3H14 overexpressing plants, biological rep3	Col-0	EFO	EFO_0005148	C3H14 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296377 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296377 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296377	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296377_C3H14OE-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296377_sample_table.txt norm	GSM1296377_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H14 overexpressor
GSM1296376 1	Gene expression data from C3H14 overexpressors	plants in glasshouse	C3H14 overexpressing plants, biological rep2	Col-0	EFO	EFO_0005148	C3H14 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296376 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296376 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296376	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296376_C3H14OE-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296376_sample_table.txt norm	GSM1296376_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H14 overexpressor
GSM1296375 1	Gene expression data from C3H14 overexpressors	plants in glasshouse	C3H14 overexpressing plants, biological rep1	Col-0	EFO	EFO_0005148	C3H14 overexpressor	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296375 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296375 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296375	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296375_C3H14OE-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296375_sample_table.txt norm	GSM1296375_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	C3H14 overexpressor
GSM1296374 1	Gene expression data from wild-type (Col-0) plants	plants in glasshouse	WT(Col-0), biological rep3	Col-0	EFO	EFO_0005148	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	basal stem of 12-17 cm-height plants	P-GSE53580-2	ArrayExpress	P-GSE53580-3	ArrayExpress	P-GSE53580-4	ArrayExpress	GSM1296374 extract 1	total RNA	P-GSE53580-5	ArrayExpress	GSM1296374 LE 1	biotin	P-GSE53580-6	ArrayExpress	GSM1296374	A-AFFY-2	ArrayExpress	array assay	P-GSE53580-7	ArrayExpress	GSM1296374_WT-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.raw.1.zip	P-GSE53580-1	ArrayExpress	GSM1296374_sample_table.txt norm	GSM1296374_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-53580/E-GEOD-53580.processed.1.zip	wild type
