Source Name	Characteristics[organism]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[growth condition]	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[specimen with known storage state]	Characteristics[stimulus]	Material Type	Protocol REF	Performer	Protocol REF	Performer	Protocol REF	Performer	Extract Name	Protocol REF	Performer	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[growth condition]
CHX 1	Arabidopsis thaliana	Col-0	AF7/ARF19 double knockout	10 �M cycloheximide added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	10 �M cycloheximide	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44060	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	CHX 1	P-MTAB-44063	Tatsuaki Goh	CHX 1:Biotin	Biotin	P-AFFY-3	Arab-0271	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	10 �M cycloheximide added to media
CHX 2	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	10 �M cycloheximide added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	10 �M cycloheximide	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44060	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	CHX 2	P-MTAB-44063	Tatsuaki Goh	CHX 2:Biotin	Biotin	P-AFFY-3	Arab-0272	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0272.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	10 �M cycloheximide added to media
Control 1	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	None	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44058	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	Control 1	P-MTAB-44063	Tatsuaki Goh	Control 1:Biotin	Biotin	P-AFFY-3	Arab-0267	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	media
Control 2	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	None	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44058	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	Control 2	P-MTAB-44063	Tatsuaki Goh	Control 2:Biotin	Biotin	P-AFFY-3	Arab-0268	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	media
DEX 1	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	2 �M dexamethasone added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	2 �M dexamethasone	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44059	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	DEX 1	P-MTAB-44063	Tatsuaki Goh	DEX 1:Biotin	Biotin	P-AFFY-3	Arab-0269	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	2 �M dexamethasone added to media
DEX 2	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	2 �M dexamethasone added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	2 �M dexamethasone	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44059	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	DEX 2	P-MTAB-44063	Tatsuaki Goh	DEX 2:Biotin	Biotin	P-AFFY-3	Arab-0270	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	2 �M dexamethasone added to media
DEX-CHX 1	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	2 �M dexamethasone, 10 �M cycloheximide  added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	2 �M dexamethason, 10 �M cycloheximide	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44061	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	DEX-CHX 1	P-MTAB-44063	Tatsuaki Goh	DEX-CHX 1:Biotin	Biotin	P-AFFY-3	Arab-0273	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	2 �M dexamethasone, 10 �M cycloheximide  added to media
DEX-CHX 2	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	2 �M dexamethasone, 10 �M cycloheximide  added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	2 �M dexamethason, 10 �M cycloheximide	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44061	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	DEX-CHX 2	P-MTAB-44063	Tatsuaki Goh	DEX-CHX 2:Biotin	Biotin	P-AFFY-3	Arab-0274	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	2 �M dexamethasone, 10 �M cycloheximide  added to media
NAA 1	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	1 �M NAA  added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	1 �M NAA	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44054	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	NAA 1	P-MTAB-44063	Tatsuaki Goh	NAA 1:Biotin	Biotin	P-AFFY-3	Arab-0233	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0233.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	1 �M NAA  added to media
NAA 2	Arabidopsis thaliana	Col0	AF7/ARF19 double knockout	1 �M NAA  added to media	root	PO	http://www.plantontology.org/amigo/go.cgi?view=details&query=PO:0025025	5	day	EFO	UO_0000033	fresh specimen	1 �M NAA	organism part	P-MTAB-44053	Tatsuaki Goh	P-MTAB-44054	Tatsuaki Goh	P-MTAB-44062	Tatsuaki Goh	NAA 2	P-MTAB-44063	Tatsuaki Goh	NAA 2:Biotin	Biotin	P-AFFY-3	Arab-0234	array assay	A-AFFY-2	ArrayExpress	P-AFFY-6	Arab-0234.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3451/E-MTAB-3451.raw.1.zip	1 �M NAA  added to media
