Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]
GSE5630GSM131495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	cotyledon	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: cotyledons	GSE5630GSM131495 sample	GSE5630GSM131495 extract	total_RNA	GSE5630GSM131495 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_1_A	A-AFFY-2	P-AFFY-6	ATGE_1_A	GSM131495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	cotyledon
GSE5630GSM131496	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	cotyledon	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: cotyledons	GSE5630GSM131496 sample	GSE5630GSM131496 extract	total_RNA	GSE5630GSM131496 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_1_B	A-AFFY-2	P-AFFY-6	ATGE_1_B	GSM131496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	cotyledon
GSE5630GSM131497	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	cotyledon	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: cotyledons	GSE5630GSM131497 sample	GSE5630GSM131497 extract	total_RNA	GSE5630GSM131497 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_1_C	A-AFFY-2	P-AFFY-6	ATGE_1_C	GSM131497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	cotyledon
GSE5630GSM131501	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131501 sample	GSE5630GSM131501 extract	total_RNA	GSE5630GSM131501 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_10_A	A-AFFY-2	P-AFFY-6	ATGE_10_A	GSM131501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131502	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131502 sample	GSE5630GSM131502 extract	total_RNA	GSE5630GSM131502 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_10_B	A-AFFY-2	P-AFFY-6	ATGE_10_B	GSM131502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131503	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: sampled tissue contaminated with soil. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131503 sample	GSE5630GSM131503 extract	total_RNA	GSE5630GSM131503 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_10_C	A-AFFY-2	P-AFFY-6	ATGE_10_C	GSM131503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131504	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	gl1T	rosette leaf #4	gl1T:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131504 sample	GSE5630GSM131504 extract	total_RNA	GSE5630GSM131504 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_11_A	A-AFFY-2	P-AFFY-6	ATGE_11_A	GSM131504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	gl1T	rosette leaf #4
GSE5630GSM131505	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	gl1T	rosette leaf #4	gl1T:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131505 sample	GSE5630GSM131505 extract	total_RNA	GSE5630GSM131505 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_11_B	A-AFFY-2	P-AFFY-6	ATGE_11_B	GSM131505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	gl1T	rosette leaf #4
GSE5630GSM131506	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	gl1T	rosette leaf #4	gl1T:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: rosette leaf #4, 1cm long	GSE5630GSM131506 sample	GSE5630GSM131506 extract	total_RNA	GSE5630GSM131506 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_11_C	A-AFFY-2	P-AFFY-6	ATGE_11_C	GSM131506.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	gl1T	rosette leaf #4
GSE5630GSM131507	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #2	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long, flowering time (n=20):, rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6, total: 13.9 +/- 1.1. Tissue: rosette leaf # 2	GSE5630GSM131507 sample	GSE5630GSM131507 extract	total_RNA	GSE5630GSM131507 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_12_A	A-AFFY-2	P-AFFY-6	ATGE_12_A	GSM131507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #2
