Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [antibody]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [sample type]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ANTIBODY]	FactorValue [SAMPLE TYPE]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]
GSM1199028 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h hypoxia +20' reoxy, Rep2	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hHypoxia+20'Reoxy_Rep2	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199028 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199028 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199028	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199028_3RT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199028_sample_table.txt norm	GSM1199028_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h hypoxia +20' reoxy
GSM1199027 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h hypoxia +20' reoxy, Rep1	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hHypoxia+20'Reoxy_Rep1	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199027 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199027 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199027	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199027_1RT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199027_sample_table.txt norm	GSM1199027_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h hypoxia +20' reoxy
GSM1199026 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 UBP1C IP RNA	ubp1c-1 35S:FLAG-UBP1C, FLAG-IP RNA, 2 h hypoxia +20' reoxy, Rep2	ubp1c-1/35S:FLAG-UBP1C_IP-RNA_2hHypoxia+20'Reoxy_Rep2	FLAG	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	UBP1C IP RNA	  	  	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199026 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199026 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199026	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199026_3RIP_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199026_sample_table.txt norm	GSM1199026_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	FLAG	UBP1C IP RNA	  	  	2 h hypoxia +20' reoxy
GSM1199025 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 UBP1C IP RNA	ubp1c-1 35S:FLAG-UBP1C, FLAG-IP RNA, 2 h hypoxia +20' reoxy, Rep1	ubp1c-1/35S:FLAG-UBP1C_IP-RNA_2hHypoxia+20'Reoxy_Rep1	FLAG	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	UBP1C IP RNA	  	  	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199025 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199025 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199025	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199025_1RIP_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199025_sample_table.txt norm	GSM1199025_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	FLAG	UBP1C IP RNA	  	  	2 h hypoxia +20' reoxy
GSM1199024 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h light, Rep2	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hLight_Rep2	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199024 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199024 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199024	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199024_3NLT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199024_sample_table.txt norm	GSM1199024_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h light
GSM1199023 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h light, Rep1	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hLight_Rep1	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199023 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199023 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199023	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199023_1NLT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199023_sample_table.txt norm	GSM1199023_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h light
GSM1199022 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 UBP1C IP RNA	ubp1c-1 35S:FLAG-UBP1C, FLAG-IP RNA, 2 h light, Rep2	ubp1c-1/35S:FLAG-UBP1C_IP-RNA_2hLight_Rep2	FLAG	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	UBP1C IP RNA	  	  	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199022 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199022 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199022	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199022_3NLIP_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199022_sample_table.txt norm	GSM1199022_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	FLAG	UBP1C IP RNA	  	  	2 h light
GSM1199021 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 UBP1C IP RNA	ubp1c-1 35S:FLAG-UBP1C, FLAG-IP RNA, 2 h light, Rep1	ubp1c-1/35S:FLAG-UBP1C_IP-RNA_2hLight_Rep1	FLAG	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	UBP1C IP RNA	  	  	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199021 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199021 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199021	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199021_1NLIP_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199021_sample_table.txt norm	GSM1199021_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	FLAG	UBP1C IP RNA	  	  	2 h light
GSM1199020 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h mock dark, Rep2	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hMockDark_Rep3	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199020 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199020 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199020	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199020_3HT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199020_sample_table.txt norm	GSM1199020_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h mock dark
GSM1199019 1	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1 Total RNA	ubp1c-1 35S:FLAG-UBP1C, Total RNA, 2 h hypoxia, Rep1	ubp1c-1/35S:FLAG-UBP1C_Total-RNA_2hHypoxia_Rep1	none	ubp1c-1 35S:FLAG-UBP1C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	total RNA	EFO	EFO_0004964	P-GSE49411-2	ArrayExpress	P-GSE49411-3	ArrayExpress	P-GSE49411-4	ArrayExpress	GSM1199019 extract 1	total RNA	P-GSE49411-5	ArrayExpress	GSM1199019 LE 1	biotin	P-GSE49411-6	ArrayExpress	GSM1199019	A-AFFY-2	ArrayExpress	array assay	P-GSE49411-7	ArrayExpress	GSM1199019_1HT_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.raw.1.zip	P-GSE49411-1	ArrayExpress	GSM1199019_sample_table.txt norm	GSM1199019_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49411/E-GEOD-49411.processed.1.zip	none	total RNA	EFO	EFO_0004964	2 h hypoxia
