Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]
GSE5758GSM134462	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134462 sample	GSE5758GSM134462 extract	total_RNA	GSE5758GSM134462 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-87_370_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-87_370_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134462.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
GSE5758GSM134459	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134459 sample	GSE5758GSM134459 extract	total_RNA	GSE5758GSM134459 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-84_379_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-84_379_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep3_ATH1	GSM134459.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
GSE5758GSM134461	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134461 sample	GSE5758GSM134461 extract	total_RNA	GSE5758GSM134461 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-86_305_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-86_305_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134461.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
GSE5758GSM134460	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134460 sample	GSE5758GSM134460 extract	total_RNA	GSE5758GSM134460 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-85_286b_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-85_286b_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134460.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
GSE5758GSM134457	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134457 sample	GSE5758GSM134457 extract	total_RNA	GSE5758GSM134457 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-82_294_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-82_294_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep1_ATH1	GSM134457.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
GSE5758GSM134450	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.02% silwet. na	Mt-0	GSE5758GSM134450 sample	GSE5758GSM134450 extract	total_RNA	GSE5758GSM134450 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-75_376_Mt-0_0.02%-silwet_Rep3_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-75_376_Mt-0_0.02%-silwet_Rep3_ATH1	GSM134450.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	none
GSE5758GSM134451	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.02% silwet. na	Mt-0	GSE5758GSM134451 sample	GSE5758GSM134451 extract	total_RNA	GSE5758GSM134451 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-76_283_Mt-0_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-76_283_Mt-0_0.02%-silwet_Rep1_ATH1	GSM134451.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	none
GSE5758GSM134455	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.02% silwet. na	Mt-0	GSE5758GSM134455 sample	GSE5758GSM134455 extract	total_RNA	GSE5758GSM134455 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-80_308_Mt-0_0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-80_308_Mt-0_0.02%-silwet_Rep2_ATH1	GSM134455.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	none
GSE5758GSM134448	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.02% silwet. na	Mt-0	GSE5758GSM134448 sample	GSE5758GSM134448 extract	total_RNA	GSE5758GSM134448 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-73_291_Mt-0_0.02%-silwet_Rep1_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-73_291_Mt-0_0.02%-silwet_Rep1_ATH1	GSM134448.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	none
GSE5758GSM134464	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mt-0:  Treatment: 0.30 mM SA in 0.02% silwet. na	Mt-0	GSE5758GSM134464 sample	GSE5758GSM134464 extract	total_RNA	GSE5758GSM134464 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	St.Clair_1-89_314_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	A-AFFY-2	P-AFFY-6	St.Clair_1-89_314_Mt-0_0.30mM-SA-in-0.02%-silwet_Rep2_ATH1	GSM134464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.raw.1.zip	E-GEOD-5758-processed-data-1628607622.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5758/E-GEOD-5758.processed.1.zip	salicylic acid
