Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[DevelopmentalStage]	Comment[stock code]	Characteristics[Ecotype]	Characteristics[OrganismPart]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM PART]	FactorValue [GROWTH CONDITION]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSM477911 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, 6hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-16	P-GSE19261-3	GSM477911 extract 1	total RNA	P-GSE19261-4	GSM477911 LE 1	biotin	P-GSE19261-5	GSM477911	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477911.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477911_sample_table.txt norm	GSM477911_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	light	6	hours
GSM477910 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, 6hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-16	P-GSE19261-3	GSM477910 extract 1	total RNA	P-GSE19261-4	GSM477910 LE 1	biotin	P-GSE19261-5	GSM477910	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477910.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477910_sample_table.txt norm	GSM477910_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	light	6	hours
GSM477909 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, 1hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-15	P-GSE19261-3	GSM477909 extract 1	total RNA	P-GSE19261-4	GSM477909 LE 1	biotin	P-GSE19261-5	GSM477909	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477909.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477909_sample_table.txt norm	GSM477909_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	light	1	hours
GSM477908 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, 1hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-15	P-GSE19261-3	GSM477908 extract 1	total RNA	P-GSE19261-4	GSM477908 LE 1	biotin	P-GSE19261-5	GSM477908	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477908.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477908_sample_table.txt norm	GSM477908_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	light	1	hours
GSM477907 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, dark	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-14	P-GSE19261-3	GSM477907 extract 1	total RNA	P-GSE19261-4	GSM477907 LE 1	biotin	P-GSE19261-5	GSM477907	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477907.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477907_sample_table.txt norm	GSM477907_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	dark	0	hours
GSM477906 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, cotyledon, dark	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	cotyledon minus petiole and tip	P-GSE19261-14	P-GSE19261-3	GSM477906 extract 1	total RNA	P-GSE19261-4	GSM477906 LE 1	biotin	P-GSE19261-5	GSM477906	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477906.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477906_sample_table.txt norm	GSM477906_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	cotyledon minus petiole and tip	dark	0	hours
GSM477905 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, shoot apex, 72hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	shoot apical meristem region and developing leaf primordia	P-GSE19261-13	P-GSE19261-3	GSM477905 extract 1	total RNA	P-GSE19261-4	GSM477905 LE 1	biotin	P-GSE19261-5	GSM477905	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477905.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477905_sample_table.txt norm	GSM477905_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	shoot apical meristem region and developing leaf primordia	light	72	hours
GSM477904 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, shoot apex, 48hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	shoot apical meristem region and developing leaf primordia	P-GSE19261-12	P-GSE19261-3	GSM477904 extract 1	total RNA	P-GSE19261-4	GSM477904 LE 1	biotin	P-GSE19261-5	GSM477904	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477904.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477904_sample_table.txt norm	GSM477904_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	shoot apical meristem region and developing leaf primordia	light	48	hours
GSM477903 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, shoot apex, 24hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	shoot apical meristem region	P-GSE19261-11	P-GSE19261-3	GSM477903 extract 1	total RNA	P-GSE19261-4	GSM477903 LE 1	biotin	P-GSE19261-5	GSM477903	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477903.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477903_sample_table.txt norm	GSM477903_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	shoot apical meristem region	light	24	hours
GSM477902 1	Imbibed (after sterilisation) in 0.1% agar for 3 days at 4 C in the dark. With ethanol, then dilute bleach, then rinses with sterile water. Growth chamber Agar 50-80 Murashige and Skoog basal salt mixture MES, pH 5.7	Landsberg erecta, shoot apex, 6hr light	Arabidopsis thaliana	Boyes key 0.7	N1642	Landsberg erecta	shoot apical meristem region	P-GSE19261-10	P-GSE19261-3	GSM477902 extract 1	total RNA	P-GSE19261-4	GSM477902 LE 1	biotin	P-GSE19261-5	GSM477902	A-AFFY-2	P-GSE19261-6	P-GSE19261-7	GSM477902.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.raw.1.zip	P-GSE19261-1	GSM477902_sample_table.txt norm	GSM477902_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19261/E-GEOD-19261.processed.1.zip	shoot apical meristem region	light	6	hours
