Source Name	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Protocol REF	Parameter Value [location]	Parameter Value [Lighting]	Parameter Value [Medium]	Parameter Value [Stratification]	Parameter Value [Temperature]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [gene_knock_out]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Coates_1-10_ara1OX_Rep3_ATH1	35S:Ara1YFP	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-10_ara1OX_Rep3_ATH1	NASC:ExtractProtocol:1	Coates_1-10_ara1OX_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-10_ara1OX_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.31.Hybridization	A-AFFY-2	P-AFFY-6	35S:Ara1YFP	Coates_1-10_3.10_Rep3_ATH1	Coates_1-10_3.10_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-2_ara1OX_Rep1_ATH1	35S:Ara1YFP	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-2_ara1OX_Rep1_ATH1	NASC:ExtractProtocol:1	Coates_1-2_ara1OX_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-2_ara1OX_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.3.Hybridization	A-AFFY-2	P-AFFY-6	35S:Ara1YFP	Coates_1-2_3.10_Rep1_ATH1	Coates_1-2_3.10_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-6_ara1OX_Rep2_ATH1	35S:Ara1YFP	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-6_ara1OX_Rep2_ATH1	NASC:ExtractProtocol:1	Coates_1-6_ara1OX_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-6_ara1OX_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.19.Hybridization	A-AFFY-2	P-AFFY-6	35S:Ara1YFP	Coates_1-6_3.10_Rep2_ATH1	Coates_1-6_3.10_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-9_Col-0_Rep3_ATH1	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	Columbia-0	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-9_Col-0_Rep3_ATH1	NASC:ExtractProtocol:1	Coates_1-9_Col-0_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-9_Col-0_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.28.Hybridization	A-AFFY-2	P-AFFY-6	Columbia-0	Coates_1-9_Col-0_Rep3_ATH1	Coates_1-9_Col-0_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-11_Col-3_Rep3_ATH1	Col-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-11_Col-3_Rep3_ATH1	NASC:ExtractProtocol:1	Coates_1-11_Col-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-11_Col-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.34.Hybridization	A-AFFY-2	P-AFFY-6	Col-3	Coates_1-11_Col-3_Rep3_ATH1	Coates_1-11_Col-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-7_Col-3_Rep2_ATH1	Col-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-7_Col-3_Rep2_ATH1	NASC:ExtractProtocol:1	Coates_1-7_Col-3_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-7_Col-3_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.22.Hybridization	A-AFFY-2	P-AFFY-6	Col-3	Coates_1-7_Col-3_Rep2_ATH1	Coates_1-7_Col-3_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-5_Col-0_Rep2_ATH1	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	Columbia-0	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-5_Col-0_Rep2_ATH1	NASC:ExtractProtocol:1	Coates_1-5_Col-0_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-5_Col-0_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.15.Hybridization	A-AFFY-2	P-AFFY-6	Columbia-0	Coates_1-5_col-0_Rep2_ATH1	Coates_1-5_col-0_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-3_Col-3_Rep1_ATH1	Col-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-3_Col-3_Rep1_ATH1	NASC:ExtractProtocol:1	Coates_1-3_Col-3_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-3_Col-3_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.7.Hybridization	A-AFFY-2	P-AFFY-6	Col-3	Coates_1-3_Col-3_Rep1_ATH1	Coates_1-3_Col-3_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-1_Col-0_Rep1_ATH1	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	Columbia-0	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-1_Col-0_Rep1_ATH1	NASC:ExtractProtocol:1	Coates_1-1_Col-0_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-1_Col-0_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.40.Hybridization	A-AFFY-2	P-AFFY-6	Columbia-0	Coates_1-1_Col-0_Rep1_ATH1	Coates_1-1_Col-0_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
Coates_1-12_ara1/2mut_Rep3_ATH1	ara-1/2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	between 1.0 and 1.02 (7 days)	  	P-TABM-beatrice1.74	Growth Room	16h day/8h night	0.5 x Murashige and Skoog 1% agar	sterilise seed 15 min parozone  rinse 3x distilled water  2 days at 4oC before germination	24oC	Coates_1-12_ara1/2mut_Rep3_ATH1	NASC:ExtractProtocol:1	Coates_1-12_ara1/2mut_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Coates_1-12_ara1/2mut_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-74.37.Hybridization	A-AFFY-2	P-AFFY-6	ara-1/2	Coates_1-12_aral_Rep3_ATH1	Coates_1-12_aral_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-74-processed-data-1359068295.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-74/E-NASC-74.processed.1.zip
