Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[developmental stage]	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[infect]	FactorValue[genotype]
GSE12856GSM322556	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants 12 hrs after inoculation with Bgh.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322556 sample	P-G12856-3	GSE12856GSM322556 extract	total_RNA	P-G12856-2	GSE12856GSM322556 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep3	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep3	GSM322556.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	ataf1-1
GSE12856GSM322555	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants 12 hrs after inoculation with Bgh.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322555 sample	P-G12856-3	GSE12856GSM322555 extract	total_RNA	P-G12856-2	GSE12856GSM322555 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep2	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep2	GSM322555.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	ataf1-1
GSE12856GSM322554	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants 12 hrs after inoculation with Bgh.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322554 sample	P-G12856-3	GSE12856GSM322554 extract	total_RNA	P-G12856-2	GSE12856GSM322554 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep1	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Bgh inoculated - rep1	GSM322554.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	ataf1-1
GSE12856GSM322551	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated):  Eight complete un-inoculated rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322551 sample	P-G12856-3	GSE12856GSM322551 extract	total_RNA	P-G12856-2	GSE12856GSM322551 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep1	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep1	GSM322551.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	none	ataf1-1
GSE12856GSM322552	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated):  Eight complete un-inoculated rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322552 sample	P-G12856-3	GSE12856GSM322552 extract	total_RNA	P-G12856-2	GSE12856GSM322552 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep2	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep2	GSM322552.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	none	ataf1-1
GSE12856GSM322553	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated):  Eight complete un-inoculated rosettes (Boyes' growth stage 3.90) of ataf1-1 mutant allelic plants.. Arabidopsis thaliana ecotype Columbia-0, homozygote Salk line N567648 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	ataf1-1	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322553 sample	P-G12856-3	GSE12856GSM322553 extract	total_RNA	P-G12856-2	GSE12856GSM322553 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep3	A-AFFY-2	P-AFFY-6	genotype: ataf1-1 mutant, ecotype Col-0 - treated or untreated: Un-inoculated - rep3	GSM322553.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	none	ataf1-1
GSE12856GSM322548	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of wild-type Col-0 plants 12 hrs after Bgh inoculation.. Arabidopsis thaliana ecotype Columbia-0 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	wild_type	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322548 sample	P-G12856-3	GSE12856GSM322548 extract	total_RNA	P-G12856-2	GSE12856GSM322548 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep1	A-AFFY-2	P-AFFY-6	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep1	GSM322548.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	wild type
GSE12856GSM322550	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of wild-type Col-0 plants 12 hrs after Bgh inoculation.. Arabidopsis thaliana ecotype Columbia-0 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	wild_type	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322550 sample	P-G12856-3	GSE12856GSM322550 extract	total_RNA	P-G12856-2	GSE12856GSM322550 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep3	A-AFFY-2	P-AFFY-6	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep3	GSM322550.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	wild type
GSE12856GSM322549	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated):  Eight complete rosettes (Boyes' growth stage 3.90) of wild-type Col-0 plants 12 hrs after Bgh inoculation.. Arabidopsis thaliana ecotype Columbia-0 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	wild_type	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322549 sample	P-G12856-3	GSE12856GSM322549 extract	total_RNA	P-G12856-2	GSE12856GSM322549 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep2	A-AFFY-2	P-AFFY-6	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Bgh inoculated - rep2	GSM322549.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	Blumeria graminis f.sp. hordei	wild type
GSE12856GSM322546	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf (genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Un-inoculated):  Eight complete un-inoculated rosettes (Boyes' growth stage 3.90)of wild-type Col-0 plants.. Arabidopsis thaliana ecotype Columbia-0 (Germplasm Name); Columbia-0 (Ecotype); PO:0000014 rosette leaf, (Organism Part); PO:0007078 rosette growth complete (Development Stage); 6-weeks after germination (Age); compost (Growth Media).	rosette leaf	wild_type	Col-0	Boyes key 3.90	P-G12856-1	GSE12856GSM322546 sample	P-G12856-3	GSE12856GSM322546 extract	total_RNA	P-G12856-2	GSE12856GSM322546 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Un-inoculated - rep2	A-AFFY-2	P-AFFY-6	genotype: Wild-type Arabidopsis, ecotype Col-0 - treated or untreated: Un-inoculated - rep2	GSM322546.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.raw.1.zip	E-GEOD-12856-processed-data-1681108259.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12856/E-GEOD-12856.processed.1.zip	none	wild type
